date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/26/2017,MIL,CIN,9,4,-123,+114
04/26/2017,CWS,KC,5,2,-131,+121
04/26/2017,CLE,HOU,7,6,-115,+106
04/26/2017,PHI,MIA,7,4,+102,-110
04/26/2017,BAL,TB,5,4,-144,+133
04/26/2017,PIT,CHC,6,5,+140,-152
04/26/2017,BOS,NYY,1,3,-115,+106
04/26/2017,NYM,ATL,2,8,-140,+129
04/26/2017,DET,SEA,0,8,+116,-126
04/26/2017,TEX,MIN,14,3,-140,+129
04/26/2017,COL,WSH,4,11,-119,+110
04/26/2017,ARI,SD,5,8,-125,+115
04/26/2017,LAA,OAK,8,5,-155,+143
04/26/2017,SF,LAD,4,3,-100,-108
