date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/09/2017,TB,TOR,7,2,+102,-110
04/09/2017,DET,BOS,5,7,-114,+105
04/09/2017,BAL,NYY,3,7,-119,+110
04/09/2017,PHI,WSH,4,3,+156,-170
04/09/2017,PIT,ATL,6,5,-130,+120
04/09/2017,MIL,CHC,4,7,+156,-170
04/09/2017,CWS,MIN,1,4,-127,+117
04/09/2017,HOU,KC,5,4,-192,+176
04/09/2017,STL,CIN,0,8,-180,+165
04/09/2017,TEX,OAK,8,1,+113,-122
04/09/2017,COL,LAD,6,10,+106,-115
04/09/2017,LAA,SEA,10,9,-126,+116
04/09/2017,ARI,CLE,3,2,+161,-175
04/09/2017,SD,SF,3,5,+144,-156
04/09/2017,NYM,MIA,5,2,-182,+167
