date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/07/2017,PIT,ATL,5,4,-139,+128
04/07/2017,DET,BOS,6,5,-127,+117
04/07/2017,PHI,WSH,6,7,+156,-170
04/07/2017,COL,LAD,2,1,+140,-152
04/07/2017,SD,SF,7,6,-111,+103
04/07/2017,BAL,NYY,6,5,-102,-106
04/07/2017,TB,TOR,10,8,+106,-115
04/07/2017,NYM,MIA,2,7,+106,-115
04/07/2017,TEX,OAK,10,5,-150,+138
04/07/2017,CWS,MIN,1,3,-111,+103
04/07/2017,MIL,CHC,2,1,+158,-172
04/07/2017,HOU,KC,1,5,-152,+140
04/07/2017,STL,CIN,0,2,-166,+153
04/07/2017,ARI,CLE,7,3,+124,-134
04/07/2017,LAA,SEA,5,1,-128,+118
