date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/12/2017,NYY,TB,8,4,-125,+115
04/12/2017,DET,MIN,5,3,-135,+125
04/12/2017,COL,SD,0,6,-153,+141
04/12/2017,WSH,STL,1,6,-178,+164
04/12/2017,CLE,CWS,1,2,-260,+236
04/12/2017,PHI,NYM,4,5,-117,+108
04/12/2017,PIT,CIN,2,9,-150,+138
04/12/2017,TOR,MIL,0,2,-213,+195
04/12/2017,BOS,BAL,5,12,-138,+127
04/12/2017,MIA,ATL,4,5,-108,+100
04/12/2017,CHC,LAD,0,2,-120,+111
04/12/2017,KC,OAK,3,8,-115,+106
04/12/2017,LAA,TEX,3,8,-141,+130
04/12/2017,SEA,HOU,5,10,+110,-119
04/12/2017,SF,ARI,6,2,-111,+103
