date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/08/2017,DET,BOS,4,1,-117,+108
04/08/2017,CWS,MIN,6,2,-120,+111
04/08/2017,STL,CIN,10,4,-199,+182
04/08/2017,BAL,NYY,5,4,-116,+107
04/08/2017,TB,TOR,3,2,-115,+106
04/08/2017,PIT,ATL,6,4,-155,+143
04/08/2017,PHI,WSH,17,3,-111,+103
04/08/2017,HOU,KC,3,7,-174,+160
04/08/2017,NYM,MIA,1,8,-117,+108
04/08/2017,MIL,CHC,6,11,+214,-235
04/08/2017,TEX,OAK,1,6,-164,+151
04/08/2017,COL,LAD,4,2,+189,-206
04/08/2017,ARI,CLE,11,2,-101,-107
04/08/2017,SD,SF,2,1,+185,-202
04/08/2017,LAA,SEA,5,4,+118,-128
