date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
04/30/2017,NYY,BAL,4,7,-119,+110
04/30/2017,TOR,TB,3,1,-102,-106
04/30/2017,CLE,SEA,12,4,-158,+146
04/30/2017,DET,CWS,7,3,-126,+116
04/30/2017,MIA,PIT,10,3,-116,+107
04/30/2017,WSH,NYM,23,5,+104,-113
04/30/2017,HOU,OAK,7,2,-194,+178
04/30/2017,MIL,ATL,4,3,-106,-102
04/30/2017,KC,MIN,5,7,-122,+113
04/30/2017,STL,CIN,4,5,-167,+154
04/30/2017,TEX,LAA,2,5,+110,-119
04/30/2017,SF,SD,2,5,-130,+120
04/30/2017,LAD,PHI,5,3,-203,+186
04/30/2017,ARI,COL,2,0,-119,+110
04/30/2017,BOS,CHC,6,2,-115,+106
