date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
07/25/2017,CHC,CWS,7,2,-200,+183
07/25/2017,PHI,HOU,0,5,+136,-148
07/25/2017,NYY,CIN,4,2,-155,+143
07/25/2017,WSH,MIL,0,8,-130,+120
07/25/2017,TOR,OAK,4,1,-115,+106
07/25/2017,TB,BAL,5,4,-119,+110
07/25/2017,DET,KC,1,3,-122,+113
07/25/2017,CLE,LAA,11,7,-166,+153
07/25/2017,TEX,MIA,10,4,-152,+140
07/25/2017,STL,COL,3,2,-117,+108
07/25/2017,ARI,ATL,3,8,-150,+138
07/25/2017,SEA,BOS,6,5,-104,-104
07/25/2017,LAD,MIN,6,2,-190,+174
07/25/2017,SD,NYM,5,6,+129,-140
07/25/2017,SF,PIT,11,3,-108,-100
