date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
07/30/2017,NYY,TB,3,5,-155,+143
07/30/2017,TOR,LAA,11,10,-110,+102
07/30/2017,MIA,CIN,4,6,+109,-118
07/30/2017,DET,HOU,13,1,+102,-110
07/30/2017,BOS,KC,3,5,-172,+158
07/30/2017,WSH,COL,6,10,-125,+115
07/30/2017,PHI,ATL,2,1,-137,+126
07/30/2017,CWS,CLE,3,1,+134,-145
07/30/2017,MIL,CHC,2,4,-113,+104
07/30/2017,STL,ARI,3,2,-119,+110
07/30/2017,TEX,BAL,6,10,-110,+102
07/30/2017,OAK,MIN,6,5,-133,+123
07/30/2017,SEA,NYM,9,1,-227,+207
07/30/2017,SD,PIT,1,7,+148,-161
07/30/2017,WSH,COL,3,1,-104,-104
07/30/2017,LAD,SF,3,2,-156,+144
