date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
07/01/2017,TOR,BOS,1,7,+143,-155
07/01/2017,DET,CLE,7,4,+115,-125
07/01/2017,CWS,TEX,4,10,+111,-120
07/01/2017,KC,MIN,11,6,+107,-116
07/01/2017,PIT,SF,1,2,-117,+108
07/01/2017,BAL,TB,3,10,-118,+109
07/01/2017,OAK,ATL,3,4,-131,+121
07/01/2017,MIL,MIA,8,4,-120,+111
07/01/2017,CIN,CHC,5,3,+107,-116
07/01/2017,NYM,PHI,7,6,-174,+160
07/01/2017,HOU,NYY,7,6,-125,+115
07/01/2017,STL,WSH,2,1,-100,-108
07/01/2017,DET,CLE,1,4,+165,-180
07/01/2017,KC,MIN,5,10,-145,+134
07/01/2017,LAA,SEA,4,0,+104,-113
07/01/2017,SD,LAD,0,8,+175,-191
07/01/2017,ARI,COL,6,2,-175,+161
