date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
07/04/2017,WSH,NYM,11,4,-166,+153
07/04/2017,NYY,TOR,1,4,+105,-114
07/04/2017,DET,SF,5,3,-202,+185
07/04/2017,MIN,LAA,5,4,-114,+105
07/04/2017,STL,MIA,2,5,-126,+116
07/04/2017,CHC,TB,5,6,-134,+124
07/04/2017,PHI,PIT,0,3,+131,-142
07/04/2017,OAK,CWS,7,6,-153,+141
07/04/2017,MIL,BAL,6,2,-178,+164
07/04/2017,SEA,KC,3,7,-125,+115
07/04/2017,CLE,SD,0,1,-315,+284
07/04/2017,ATL,HOU,4,16,+123,-133
07/04/2017,TEX,BOS,4,11,-102,-106
07/04/2017,COL,CIN,1,8,-133,+123
07/04/2017,LAD,ARI,4,3,-315,+284
