date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
07/16/2017,BOS,NYY,0,3,-136,+126
07/16/2017,MIA,LAD,2,3,+155,-168
07/16/2017,NYM,COL,4,13,-124,+115
07/16/2017,DET,TOR,6,5,-108,+100
07/16/2017,CIN,WSH,4,14,-114,+105
07/16/2017,ATL,ARI,7,1,-118,+109
07/16/2017,BAL,CHC,0,8,+144,-156
07/16/2017,PIT,STL,4,3,+107,-116
07/16/2017,MIL,PHI,2,5,-154,+142
07/16/2017,CWS,SEA,6,7,+123,-133
07/16/2017,HOU,MIN,5,3,-195,+179
07/16/2017,KC,TEX,4,3,+127,-138
07/16/2017,LAA,TB,4,3,+121,-131
07/16/2017,OAK,CLE,7,3,-105,-103
07/16/2017,SD,SF,7,1,+123,-133
07/16/2017,BOS,NYY,3,0,-135,+125
