date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/03/2017,MIA,PHI,1,3,-188,+173
09/03/2017,DET,CLE,1,11,+176,-192
09/03/2017,PIT,CIN,3,1,-113,+104
09/03/2017,BAL,TOR,5,4,-141,+130
09/03/2017,MIL,WSH,7,2,-129,+119
09/03/2017,HOU,NYM,8,6,-258,+235
09/03/2017,MIN,KC,4,5,-177,+163
09/03/2017,CWS,TB,6,2,+140,-152
09/03/2017,CHC,ATL,1,5,-240,+219
09/03/2017,TEX,LAA,7,6,+122,-132
09/03/2017,COL,ARI,1,5,-134,+124
09/03/2017,SF,STL,3,7,+106,-115
09/03/2017,SEA,OAK,10,2,-151,+139
09/03/2017,SD,LAD,6,4,+183,-200
09/03/2017,NYY,BOS,9,2,-101,-107
