date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/10/2017,TOR,DET,8,2,-156,+144
09/10/2017,NYM,CIN,5,10,-135,+125
09/10/2017,ATL,MIA,10,8,-150,+138
09/10/2017,WSH,PHI,3,2,-218,+199
09/10/2017,BOS,TB,1,4,-139,+128
09/10/2017,CWS,SF,8,1,+146,-158
09/10/2017,KC,MIN,11,3,-133,+123
09/10/2017,STL,PIT,7,0,-160,+147
09/10/2017,CHC,MIL,1,3,-151,+139
09/10/2017,TEX,NYY,7,16,+113,-122
09/10/2017,OAK,HOU,10,2,+160,-174
09/10/2017,ARI,SD,3,2,-237,+216
09/10/2017,SEA,LAA,3,5,-128,+118
09/10/2017,LAD,COL,1,8,-235,+214
09/10/2017,CLE,BAL,3,2,-195,+179
