date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/12/2017,KC,CWS,4,3,-190,+174
09/12/2017,PHI,MIA,9,8,+105,-114
09/12/2017,WSH,ATL,0,8,-165,+152
09/12/2017,TOR,BAL,3,2,-117,+108
09/12/2017,BOS,OAK,11,1,-175,+161
09/12/2017,CLE,DET,2,0,-434,+383
09/12/2017,TB,NYY,2,1,+123,-133
09/12/2017,MIL,PIT,5,2,-106,-102
09/12/2017,TEX,SEA,3,10,-104,-104
09/12/2017,CHC,NYM,8,3,-320,+288
09/12/2017,MIN,SD,16,0,-165,+152
09/12/2017,STL,CIN,13,4,-155,+143
09/12/2017,ARI,COL,2,4,-117,+108
09/12/2017,LAA,HOU,0,1,-106,-102
09/12/2017,SF,LAD,3,5,+253,-279
