date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/29/2017,NYY,TOR,4,0,-235,+214
09/29/2017,CHC,CIN,5,4,-174,+160
09/29/2017,PHI,NYM,6,2,-145,+134
09/29/2017,WSH,PIT,6,1,-204,+187
09/29/2017,BOS,HOU,2,3,+106,-115
09/29/2017,MIA,ATL,6,5,-127,+117
09/29/2017,CLE,CWS,10,1,-293,+265
09/29/2017,TB,BAL,7,0,-115,+106
09/29/2017,TEX,OAK,5,3,-125,+115
09/29/2017,COL,LAD,9,1,+136,-147
09/29/2017,MIN,DET,6,3,-170,+156
09/29/2017,KC,ARI,2,1,+137,-149
09/29/2017,STL,MIL,3,5,+102,-110
09/29/2017,LAA,SEA,6,5,-125,+115
09/29/2017,SF,SD,8,0,-120,+111
