date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/23/2017,HOU,LAA,6,2,-119,+110
09/23/2017,MIL,CHC,4,3,+127,-138
09/23/2017,TOR,NYY,1,5,+170,-185
09/23/2017,CIN,BOS,0,5,+122,-132
09/23/2017,SEA,CLE,4,11,+142,-154
09/23/2017,DET,MIN,4,10,+143,-155
09/23/2017,PIT,STL,11,6,-125,+115
09/23/2017,BAL,TB,6,9,+107,-116
09/23/2017,CWS,KC,2,8,+142,-154
09/23/2017,NYM,WSH,3,4,+177,-193
09/23/2017,ATL,PHI,4,2,-141,+130
09/23/2017,ARI,MIA,6,12,-148,+136
09/23/2017,SD,COL,5,0,-101,-107
09/23/2017,OAK,TEX,1,0,+112,-121
09/23/2017,LAD,SF,1,2,-139,+128
