date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/04/2017,CIN,MIL,5,4,+130,-141
09/04/2017,DET,KC,6,7,+144,-156
09/04/2017,NYM,PHI,11,7,-110,+102
09/04/2017,BAL,NYY,4,7,-143,+132
09/04/2017,CWS,CLE,3,5,+211,-231
09/04/2017,COL,SF,4,3,-176,+162
09/04/2017,OAK,LAA,9,11,+133,-144
09/04/2017,PIT,CHC,12,0,+151,-164
09/04/2017,SD,STL,0,2,+126,-137
09/04/2017,SEA,HOU,2,6,+121,-131
09/04/2017,BOS,TOR,4,10,-173,+159
09/04/2017,TB,MIN,11,4,-129,+119
09/04/2017,MIA,WSH,2,7,-128,+118
09/04/2017,ATL,TEX,2,8,-120,+111
09/04/2017,LAD,ARI,0,13,-170,+156
