date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
09/17/2017,NYY,BAL,4,6,-230,+210
09/17/2017,DET,CWS,12,0,-123,+114
09/17/2017,CIN,PIT,5,2,+102,-110
09/17/2017,TB,BOS,3,2,+128,-139
09/17/2017,CLE,KC,3,2,-260,+236
09/17/2017,PHI,OAK,3,6,+109,-118
09/17/2017,ATL,NYM,1,5,-172,+158
09/17/2017,MIN,TOR,13,7,-131,+121
09/17/2017,HOU,SEA,7,1,-220,+201
09/17/2017,MIA,MIL,3,10,+129,-140
09/17/2017,CHC,STL,4,3,-185,+170
09/17/2017,COL,SD,3,4,-230,+210
09/17/2017,LAA,TEX,2,4,-187,+172
09/17/2017,SF,ARI,7,2,+133,-144
09/17/2017,WSH,LAD,7,1,-171,+157
