date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
11/11/1111,Hi,Hi,0.0,0.0,Hi,Hi,0.0,0.0
09/29/02,TOR,DET,1.0,0.0,Roy Halladay,Mike Maroth,-260.0,240.0
09/28/02,TOR,DET,10.0,2.0,Justin Miller,J. Beverlin,-175.0,165.0
09/27/02,TOR,DET,5.0,2.0,Pete Walker,A.V. Hekken,-170.0,160.0
09/26/02,TOR,BAL,5.0,1.0,Esteban Loaiza,Pat Hentgen,-140.0,130.0
09/25/02,TOR,BAL,3.0,2.0,Mark Hendrickson,Rodrigo Lopez,-130.0,120.0
09/24/02,TOR,BAL,11.0,1.0,Roy Halladay,Sean Douglass,-250.0,230.0
09/22/02,TB,TOR,6.0,12.0,Paul Wilson,Justin Miller,120.0,-130.0
09/21/02,TB,TOR,4.0,3.0,Joe Kennedy,Pete Walker,-105.0,-105.0
09/20/02,TB,TOR,11.0,7.0,Tanyon Sturtze,Esteban Loaiza,125.0,-135.0
09/19/02,BAL,TOR,3.0,9.0,Rodrigo Lopez,Mark Hendrickson,-130.0,120.0
09/18/02,BAL,TOR,1.0,2.0,Sean Douglass,Roy Halladay,150.0,-160.0
09/17/02,BAL,TOR,10.0,4.0,J. Stephens,Justin Miller,100.0,-110.0
09/16/02,BAL,TOR,0.0,2.0,Sidney Ponson,Pete Walker,-125.0,115.0
09/15/02,TOR,TB,4.0,7.0,Esteban Loaiza,Joe Kennedy,-145.0,135.0
09/14/02,TOR,TB,8.0,4.0,Mark Hendrickson,Tanyon Sturtze,-160.0,150.0
09/13/02,TOR,TB,5.0,2.0,Roy Halladay,Dewon Brazelton,-230.0,210.0
09/11/02,CLE,TOR,5.0,6.0,Dave Burba,M. Smith,-130.0,120.0
09/10/02,CLE,TOR,4.0,5.0,Ricardo Rodriguez,Justin Miller,100.0,-110.0
09/09/02,CLE,TOR,9.0,11.0,Jaret Wright,Pete Walker,110.0,-120.0
09/08/02,BOS,TOR,4.0,9.0,Frank Castillo,Esteban Loaiza,-175.0,165.0
09/07/02,BOS,TOR,4.0,1.0,Casey Fossum,Mark Hendrickson,-210.0,193.0
09/06/02,BOS,TOR,7.0,2.0,Tim Wakefield,Roy Halladay,-155.0,145.0
09/05/02,BOS,TOR,4.0,5.0,J. Burkett,Justin Miller,-210.0,193.0
09/04/02,TOR,CHW,6.0,2.0,Pete Walker,Dan Wright,-105.0,-105.0
09/03/02,TOR,CHW,4.0,5.0,Esteban Loaiza,Rocky Biddle,-125.0,115.0
09/02/02,TOR,CHW,3.0,5.0,C. Thurman,Jon Garland,110.0,-120.0
09/01/02,TOR,NYY,7.0,6.0,Roy Halladay,David Wells,135.0,-145.0
08/31/02,TOR,NYY,5.0,1.0,Justin Miller,Orlando Hernandez,210.0,-230.0
08/30/02,TOR,NYY,7.0,9.0,Pete Walker,Jeff Weaver,155.0,-165.0
08/29/02,TOR,NYY,7.0,4.0,Esteban Loaiza,Roger Clemens,200.0,-220.0
08/28/02,CHW,TOR,8.0,0.0,Jon Garland,S. Parris,-155.0,145.0
08/27/02,CHW,TOR,8.0,4.0,Mark Buehrle,Roy Halladay,-130.0,120.0
08/26/02,CHW,TOR,4.0,8.0,Jim Parque,M. Smith,-135.0,125.0
08/25/02,BAL,TOR,2.0,5.0,Jason Johnson,Justin Miller,-145.0,135.0
08/24/02,BAL,TOR,3.0,8.0,Rick Bauer,Esteban Loaiza,-115.0,105.0
08/24/02,BAL,TOR,1.0,4.0,Travis Driskill,Pete Walker,-120.0,110.0
08/23/02,BAL,TOR,11.0,7.0,Scott Erickson,S. Parris,-125.0,115.0
08/21/02,TOR,KC,4.0,7.0,Roy Halladay,S. Sedlacek,-260.0,240.0
