date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
10/03/04,TOR,NYY,2.0,3.0,Josh Towers,Brad Halsey,115.0,-125.0
10/02/04,TOR,NYY,4.0,2.0,Roy Halladay,Kevin Brown,115.0,-125.0
10/01/04,TOR,NYY,7.0,0.0,David Bush,Orlando Hernandez,120.0,-130.0
09/30/04,BAL,TOR,9.0,3.0,Matt Riley,Josh Towers,-145.0,135.0
09/29/04,BAL,TOR,4.0,0.0,Rick Bauer,Gustavo Chacin,-115.0,105.0
09/29/04,BAL,TOR,7.0,6.0,Bruce Chen,Ted Lilly,-115.0,105.0
09/27/04,BAL,TOR,1.0,4.0,Sidney Ponson,Roy Halladay,-130.0,120.0
09/25/04,TB,TOR,6.0,5.0,Dewon Brazelton,David Bush,-115.0,105.0
09/24/04,TB,TOR,4.0,2.0,Mark Hendrickson,Josh Towers,-115.0,105.0
09/22/04,NYY,TOR,4.0,5.0,Orlando Hernandez,Ted Lilly,-260.0,230.0
09/21/04,NYY,TOR,5.0,3.0,Esteban Loaiza,Roy Halladay,-165.0,150.0
09/20/04,NYY,TOR,3.0,6.0,Javier Vazquez,Gustavo Chacin,-320.0,280.0
09/19/04,TOR,TB,9.0,7.0,Justin Miller,Scott Kazmir,-130.0,120.0
09/18/04,TOR,TB,4.0,2.0,David Bush,Todd Ritchie,-160.0,145.0
09/17/04,TOR,TB,4.0,11.0,Josh Towers,Doug Waechter,-160.0,145.0
09/16/04,TOR,BAL,5.0,9.0,Miguel Batista,Rodrigo Lopez,-110.0,100.0
09/15/04,TOR,BAL,3.0,0.0,Ted Lilly,Matt Riley,-140.0,130.0
09/13/04,TOR,BAL,1.0,9.0,Justin Miller,Bruce Chen,-115.0,105.0
09/12/04,TEX,TOR,7.0,6.0,Chan Ho Park,David Bush,-190.0,175.0
09/11/04,TEX,TOR,10.0,7.0,Kenny Rogers,Ryan Glynn,-200.0,185.0
09/10/04,TEX,TOR,10.0,3.0,Ryan Drese,Miguel Batista,-170.0,155.0
09/09/04,LAA,TOR,4.0,5.0,Jarrod Washburn,Ted Lilly,-220.0,200.0
09/08/04,LAA,TOR,0.0,1.0,Kelvim Escobar,Justin Miller,-360.0,320.0
09/07/04,LAA,TOR,5.0,2.0,Bartolo Colon,David Bush,-260.0,230.0
09/05/04,TOR,OAK,13.0,5.0,Ryan Glynn,Rich Harden,220.0,-250.0
09/04/04,TOR,OAK,5.0,9.0,Miguel Batista,Mark Mulder,165.0,-180.0
09/03/04,TOR,OAK,4.0,7.0,Ted Lilly,Tim Hudson,145.0,-160.0
09/02/04,TOR,SEA,8.0,6.0,Justin Miller,Cha Seung Baek,-140.0,130.0
09/01/04,TOR,SEA,4.0,2.0,David Bush,Gil Meche,-135.0,125.0
08/31/04,TOR,SEA,5.0,7.0,Josh Towers,Jamie Moyer,-130.0,120.0
08/29/04,TOR,NYY,6.0,4.0,Miguel Batista,Mike Mussina,150.0,-165.0
08/28/04,TOR,NYY,6.0,18.0,Ted Lilly,Kevin Brown,155.0,-170.0
08/27/04,TOR,NYY,7.0,8.0,Justin Miller,Esteban Loaiza,155.0,-170.0
08/26/04,TOR,NYY,4.0,7.0,David Bush,Jon Lieber,155.0,-170.0
08/25/04,TOR,BOS,5.0,11.0,Josh Towers,Curt Schilling,185.0,-200.0
08/24/04,TOR,BOS,4.0,5.0,Miguel Batista,Tim Wakefield,140.0,-155.0
08/23/04,TOR,BOS,3.0,0.0,Ted Lilly,Pedro Martinez,190.0,-210.0
08/22/04,BAL,TOR,5.0,8.0,Erik Bedard,Justin Miller,-160.0,145.0
08/21/04,BAL,TOR,4.0,10.0,Daniel Cabrera,David Bush,-155.0,140.0
08/20/04,BAL,TOR,4.0,14.0,Dave Borkowski,Josh Towers,-155.0,140.0
08/18/04,BOS,TOR,6.0,4.0,Tim Wakefield,Miguel Batista,-190.0,175.0
08/17/04,BOS,TOR,5.0,4.0,Pedro Martinez,Ted Lilly,-300.0,270.0
08/16/04,BOS,TOR,8.0,4.0,Derek Lowe,Justin Miller,-220.0,200.0
08/15/04,TOR,BAL,7.0,11.0,David Bush,Daniel Cabrera,125.0,-135.0
08/14/04,TOR,BAL,7.0,2.0,Josh Towers,Dave Borkowski,125.0,-135.0
08/13/04,TOR,BAL,0.0,4.0,Miguel Batista,Sidney Ponson,105.0,-115.0
08/12/04,CLE,TOR,6.0,2.0,Cliff Lee,Ted Lilly,-120.0,110.0
08/11/04,CLE,TOR,3.0,2.0,CC Sabathia,Justin Miller,-185.0,170.0
08/10/04,CLE,TOR,2.0,0.0,Chad Durbin,David Bush,-115.0,105.0
08/09/04,NYY,TOR,4.0,5.0,Esteban Loaiza,Josh Towers,-220.0,200.0
08/08/04,NYY,TOR,8.0,2.0,Jon Lieber,Miguel Batista,-190.0,175.0
08/07/04,NYY,TOR,6.0,0.0,Orlando Hernandez,Ted Lilly,-180.0,165.0
08/06/04,NYY,TOR,11.0,4.0,Javier Vazquez,Sean Douglass,-280.0,250.0
08/05/04,TOR,CLE,3.0,6.0,David Bush,Chad Durbin,-135.0,125.0
08/04/04,TOR,CLE,5.0,14.0,Josh Towers,Jake Westbrook,-115.0,105.0
08/03/04,TOR,CLE,7.0,6.0,Miguel Batista,Scott Elarton,-155.0,140.0
08/02/04,TOR,CLE,6.0,1.0,Ted Lilly,Cliff Lee,-125.0,115.0
08/01/04,TB,TOR,5.0,3.0,Dewon Brazelton,Sean Douglass,-145.0,135.0
07/31/04,TB,TOR,6.0,5.0,Jorge Sosa,David Bush,100.0,-110.0
07/30/04,TB,TOR,0.0,3.0,John Halama,Josh Towers,-125.0,115.0
07/28/04,TOR,NYY,3.0,2.0,Miguel Batista,Jon Lieber,125.0,-135.0
07/27/04,TOR,NYY,4.0,7.0,Ted Lilly,Orlando Hernandez,135.0,-145.0
07/26/04,TOR,NYY,5.0,6.0,Sean Douglass,Javier Vazquez,190.0,-210.0
07/25/04,TOR,TB,5.0,3.0,David Bush,Victor Zambrano,-115.0,105.0
07/24/04,TOR,TB,4.0,2.0,Josh Towers,Rob Bell,-130.0,120.0
07/23/04,TOR,TB,7.0,4.0,Miguel Batista,Mark Hendrickson,-140.0,130.0
07/22/04,NYY,TOR,1.0,0.0,Orlando Hernandez,Ted Lilly,-180.0,165.0
