date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
10/01/00,CLE,TOR,11.0,4.0,S. Woodard,David Wells,-115,105.0
09/30/00,CLE,TOR,6.0,5.0,C. Finley,Esteban Loaiza,-210,193.0
09/29/00,CLE,TOR,8.0,4.0,Dave Burba,Steve Trachsel,-175,165.0
09/28/00,BAL,TOR,23.0,1.0,P. Rapp,Chris Carpenter,115.0,-125.0
09/27/00,BAL,TOR,0.0,4.0,Sidney Ponson,Frank Castillo,110.0,-120.0
09/26/00,BAL,TOR,2.0,1.0,Jose Mercedes,David Wells,140.0,-150.0
09/25/00,TOR,TB,1.0,5.0,Esteban Loaiza,Paul Wilson,-200.0,188
09/24/00,TOR,TB,0.0,6.0,Steve Trachsel,Travis Harper,-200.0,188
09/23/00,TOR,TB,7.0,6.0,Roy Halladay,B. Rekar,-165.0,155
09/22/00,TOR,TB,2.0,3.0,Frank Castillo,Cory Lidle,-200.0,188
09/21/00,TOR,NYY,3.0,1.0,David Wells,Orlando Hernandez,-110.0,100
09/20/00,TOR,NYY,7.0,2.0,Esteban Loaiza,D. Cone,-130.0,120
09/19/00,TOR,NYY,16.0,3.0,Steve Trachsel,Andy Pettitte,125.0,-135
09/17/00,CHW,TOR,1.0,14.0,Kip Wells,J. Hamilton,-115,105.0
09/16/00,CHW,TOR,6.0,3.0,M. Sirotka,Chris Carpenter,-160,150.0
09/15/00,CHW,TOR,5.0,6.0,Jon Garland,Steve Trachsel,-135,125.0
09/14/00,NYY,TOR,2.0,3.0,Andy Pettitte,David Wells,-140,130.0
09/13/00,NYY,TOR,3.0,2.0,Roger Clemens,Esteban Loaiza,-180,170.0
09/12/00,NYY,TOR,10.0,2.0,Denny Neagle,J. Hamilton,-160,150.0
09/10/00,TOR,DET,6.0,2.0,Chris Carpenter,S. Sparks,105.0,-115.0
09/09/00,TOR,DET,6.0,5.0,David Wells,Hideo Nomo,-160.0,150.0
09/08/00,TOR,DET,3.0,0.0,Esteban Loaiza,Jeff Weaver,-130.0,120.0
09/07/00,TOR,SEA,1.0,8.0,Steve Trachsel,Freddy Garcia,105.0,-115
