date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
05/07/05,TB,MIN,1.0,8.0,Scott Kazmir,Kyle Lohse,-117.0,109.0
05/06/05,TB,MIN,1.0,7.0,Dewon Brazelton,Johan Santana,204.0,-220.0
04/28/05,KC,MIN,5.0,6.0,Runelvys Hernandez,Kyle Lohse,114.0,-123.0
04/27/05,KC,MIN,4.0,9.0,Brian Anderson,Joe Mays,127.0,-137.0
04/26/05,KC,MIN,1.0,2.0,Jose Lima,Johan Santana,230.0,-250.0
04/21/05,MIN,KC,10.0,9.0,Dave Gassner,Brian Anderson,-163.0,151.0
04/20/05,MIN,KC,5.0,4.0,Johan Santana,Jose Lima,-340.0,310.0
04/19/05,CHW,MIN,3.0,1.0,Orlando Hernandez,Brad Radke,-104.0,-103.0
04/18/05,CHW,MIN,5.0,4.0,Jose Contreras,Kyle Lohse,-120.0,112.0
04/10/05,MIN,CHW,5.0,2.0,Johan Santana,Mark Buehrle,-163.0,151.0
04/09/05,MIN,CHW,5.0,8.0,Brad Radke,Jon Garland,-137.0,127.0
04/08/05,MIN,CHW,1.0,5.0,Kyle Lohse,Orlando Hernandez,-133.0,123.0
04/06/05,SEA,MIN,1.0,4.0,Bobby Madritsch,Carlos Silva,-123.0,114.0
04/05/05,SEA,MIN,4.0,8.0,Gil Meche,Johan Santana,151.0,-163.0
04/04/05,SEA,MIN,5.0,1.0,Jamie Moyer,Brad Radke,-103.0,-104.0
09/29/05,MIL,CIN,2.0,0.0,Gary Glover,Eric Milton,-137.0,127.0
09/28/05,MIL,CIN,4.0,11.0,Chris Capuano,Aaron Harang,-133.0,123.0
09/27/05,MIL,CIN,6.0,2.0,Rick Helling,Brandon Claussen,-117.0,109.0
09/26/05,MIL,CIN,12.0,9.0,Tomo Ohka,Ramon Ortiz,-143.0,133.0
09/25/05,CIN,PHI,3.0,6.0,Randy Keisler,Cory Lidle,148.0,-160.0
09/24/05,CIN,PHI,3.0,2.0,Eric Milton,Eude Brito,137.0,-147.0
09/23/05,CIN,PHI,10.0,11.0,Aaron Harang,Vicente Padilla,114.0,-123.0
09/18/05,PIT,CIN,9.0,7.0,Oliver Perez,Eric Milton,-123.0,114.0
09/17/05,PIT,CIN,4.0,0.0,Paul Maholm,Aaron Harang,105.0,-113.0
09/16/05,PIT,CIN,5.0,4.0,Kip Wells,Ramon Ortiz,-104.0,-103.0
09/16/05,PIT,CIN,2.0,8.0,Zach Duke,Brandon Claussen,-133.0,123.0
09/14/05,CHC,CIN,4.0,7.0,Jerome Williams,Randy Keisler,-153.0,142.0
09/13/05,CHC,CIN,4.0,3.0,Carlos Zambrano,Eric Milton,-240.0,220.0
09/12/05,CHC,CIN,2.0,5.0,Greg Maddux,Aaron Harang,-127.0,118.0
09/11/05,CIN,PIT,5.0,3.0,Brandon Claussen,Paul Maholm,-133.0,123.0
