date,homeTeam,awayTeam,homeScore,awayScore,homePitcher,awayPitcher,homeLine,awayLine
09/28/03,TOR,CLE,6.0,2.0,Josh Towers,Cliff Lee,-135.0,125.0
09/27/03,TOR,CLE,5.0,4.0,Roy Halladay,Terry Mulholland,-300.0,270.0
09/26/03,TOR,CLE,1.0,2.0,Cory Lidle,Jason Stanford,-145.0,135.0
09/25/03,TOR,TB,10.0,8.0,Pete Walker,Jorge Sosa,-155.0,140.0
09/24/03,TOR,TB,5.0,3.0,Kelvim Escobar,Doug Waechter,-165.0,150.0
09/23/03,TOR,TB,8.0,5.0,Josh Towers,Victor Zambrano,-145.0,135.0
09/22/03,TOR,TB,2.0,5.0,Roy Halladay,Rob Bell,-270.0,240.0
09/21/03,BAL,TOR,4.0,7.0,Rodrigo Lopez,Mark Hendrickson,-105.0,-105.0
09/20/03,BAL,TOR,2.0,1.0,Matt Riley,Cory Lidle,110.0,-120.0
09/19/03,BAL,TOR,2.0,5.0,Omar Daal,Kelvim Escobar,125.0,-135.0
09/18/03,DET,TOR,6.0,10.0,Mike Maroth,Josh Towers,145.0,-160.0
09/17/03,DET,TOR,0.0,6.0,Shane Loux,Roy Halladay,250.0,-280.0
09/16/03,DET,TOR,6.0,9.0,Nate Cornejo,Pete Walker,135.0,-145.0
09/14/03,TOR,BAL,3.0,5.0,Cory Lidle,Matt Riley,-160.0,145.0
09/13/03,TOR,BAL,6.0,1.0,Kelvim Escobar,Pat Hentgen,-135.0,125.0
09/12/03,TOR,BAL,4.0,2.0,Josh Towers,Eric DuBose,-125.0,115.0
09/11/03,TB,TOR,1.0,3.0,Geremi Gonzalez,Roy Halladay,160.0,-175.0
09/10/03,TB,TOR,5.0,6.0,Jorge Sosa,Mark Hendrickson,-125.0,115.0
09/09/03,TB,TOR,11.0,6.0,Doug Waechter,Cory Lidle,-110.0,100.0
09/08/03,NYY,TOR,9.0,3.0,Mike Mussina,Kelvim Escobar,-190.0,180.0
09/07/03,TOR,DET,8.0,0.0,Josh Towers,C. Mears,-200.0,185.0
09/06/03,TOR,DET,1.0,0.0,Roy Halladay,Nate Cornejo,-250.0,220.0
09/05/03,TOR,DET,8.0,6.0,Mark Hendrickson,Mike Maroth,-190.0,175.0
09/04/03,TOR,NYY,2.0,3.0,Cory Lidle,Jose Contreras,125.0,-135.0
09/03/03,TOR,NYY,4.0,3.0,Kelvim Escobar,Mike Mussina,-130.0,-140.0
09/01/03,TOR,NYY,8.0,1.0,Roy Halladay,David Wells,-120.0,110.0
08/31/03,CLE,TOR,5.0,4.0,Billy Traber,Mark Hendrickson,-110.0,100.0
08/30/03,CLE,TOR,3.0,9.0,Jake Westbrook,Cory Lidle,-105.0,-105.0
08/29/03,CLE,TOR,3.0,7.0,CC Sabathia,Kelvim Escobar,-120.0,110.0
08/27/03,BOS,TOR,6.0,3.0,J. Burkett,Roy Halladay,100.0,-110.0
08/26/03,BOS,TOR,9.0,12.0,Tim Wakefield,Mark Hendrickson,-185.0,170.0
08/25/03,TOR,OAK,6.0,8.0,Cory Lidle,Ted Lilly,110.0,-120.0
08/24/03,TOR,OAK,2.0,17.0,Kelvim Escobar,Tim Hudson,120.0,-130.0
08/23/03,TOR,OAK,5.0,11.0,Pete Walker,John Halama,105.0,-115.0
08/22/03,TOR,OAK,6.0,3.0,Roy Halladay,Barry Zito,-105.0,-110.0
08/21/03,TOR,SEA,7.0,3.0,Mark Hendrickson,Jamie Moyer,140.0,-115.0
08/20/03,TOR,SEA,5.0,2.0,Josh Towers,Gil Meche,135.0,-145.0
08/19/03,TOR,SEA,1.0,9.0,Kelvim Escobar,Ryan Franklin,-115.0,105.0
08/17/03,OAK,TOR,7.0,3.0,Barry Zito,Roy Halladay,-120.0,110.0
08/16/03,OAK,TOR,6.0,4.0,Tim Hudson,Mark Hendrickson,-220.0,200.0
08/15/03,OAK,TOR,5.0,8.0,Rich Harden,Josh Towers,-230.0,210.0
08/14/03,SEA,TOR,2.0,5.0,Gil Meche,Kelvim Escobar,-140.0,130.0
08/13/03,SEA,TOR,13.0,6.0,Ryan Franklin,C. Thurman,-175.0,160.0
08/12/03,SEA,TOR,3.0,1.0,Freddy Garcia,Roy Halladay,100.0,100.0
08/11/03,SEA,TOR,3.0,5.0,Joel Pineiro,Mark Hendrickson,-210.0,190.0
08/10/03,TOR,TEX,4.0,5.0,Josh Towers,Colby Lewis,-135.0,125.0
08/09/03,TOR,TEX,5.0,3.0,Kelvim Escobar,Robert Ellis,-175.0,160.0
08/08/03,TOR,TEX,3.0,5.0,C. Thurman,R.A. Dickey,-145.0,135.0
08/06/03,TB,TOR,3.0,7.0,Joe Kennedy,Roy Halladay,185.0,-202.0
08/05/03,TB,TOR,5.0,4.0,Jorge Sosa,Mark Hendrickson,120.0,-130.0
08/04/03,TB,TOR,10.0,1.0,Victor Zambrano,Cory Lidle,105.0,-115.0
08/03/03,LAA,TOR,0.0,4.0,Scot Shields,Kelvim Escobar,-120.0,110.0
08/02/03,LAA,TOR,1.0,6.0,Jarrod Washburn,C. Thurman,-175.0,165.0
08/01/03,LAA,TOR,5.0,0.0,Ramon Ortiz,Roy Halladay,130.0,-140.0
07/31/03,TOR,TB,6.0,7.0,Mark Hendrickson,Jorge Sosa,-180.0,170.0
07/30/03,TOR,TB,3.0,5.0,Cory Lidle,Victor Zambrano,-160.0,150.0
