date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/20/2017,BAL,CLE,6,5,+137,-149
06/20/2017,PHI,STL,1,8,+143,-155
06/20/2017,NYY,LAA,3,8,-287,+260
06/20/2017,MIA,WSH,3,12,+112,-121
06/20/2017,TB,CIN,6,5,-144,+133
06/20/2017,ATL,SF,3,6,-109,+101
06/20/2017,MIL,PIT,3,7,-120,+111
06/20/2017,TEX,TOR,6,1,+113,-122
06/20/2017,CHC,SD,4,0,-187,+172
06/20/2017,MIN,CWS,9,7,-171,+157
06/20/2017,KC,BOS,3,8,+174,-190
06/20/2017,COL,ARI,4,3,-118,+109
06/20/2017,OAK,HOU,4,8,-109,+101
06/20/2017,SEA,DET,5,4,-116,+107
06/20/2017,LAD,NYM,12,0,-207,+190
