date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/02/2017,CHC,STL,3,2,-183,+168
06/02/2017,BAL,BOS,3,2,+121,-131
06/02/2017,PHI,SF,0,10,-125,+115
06/02/2017,TOR,NYY,7,5,+112,-121
06/02/2017,CIN,ATL,3,2,-119,+110
06/02/2017,MIA,ARI,7,5,-115,+106
06/02/2017,DET,CWS,15,5,-191,+175
06/02/2017,NYM,PIT,7,12,-109,+101
06/02/2017,TEX,HOU,1,7,+106,-115
06/02/2017,MIL,LAD,1,2,+185,-202
06/02/2017,KC,CLE,4,0,-100,-108
06/02/2017,OAK,WSH,3,13,+126,-136
06/02/2017,LAA,MIN,5,11,-126,+116
06/02/2017,SEA,TB,12,4,+108,-117
06/02/2017,SD,COL,8,5,+104,-112
