date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/24/2017,NYY,TEX,1,8,-159,+146
06/24/2017,CWS,OAK,2,10,-100,-108
06/24/2017,KC,TOR,3,2,+104,-113
06/24/2017,WSH,CIN,18,3,-143,+132
06/24/2017,CLE,MIN,2,4,-287,+260
06/24/2017,MIA,CHC,3,5,+140,-152
06/24/2017,TB,BAL,3,8,-167,+154
06/24/2017,ATL,MIL,3,1,-106,-102
06/24/2017,STL,PIT,3,7,-113,+104
06/24/2017,BOS,LAA,3,6,-177,+163
06/24/2017,SF,NYM,2,5,-108,+100
06/24/2017,LAD,COL,4,0,-250,+228
06/24/2017,ARI,PHI,9,2,-231,+211
06/24/2017,SEA,HOU,2,5,+141,-153
06/24/2017,SD,DET,7,3,-116,+107
