date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/07/2017,COL,CLE,8,1,+103,-111
06/07/2017,LAD,WSH,2,1,-168,+155
06/07/2017,OAK,TOR,5,7,-100,-108
06/07/2017,NYY,BOS,8,0,-108,-100
06/07/2017,BAL,PIT,9,6,-151,+139
06/07/2017,TB,CWS,3,1,-192,+176
06/07/2017,DET,LAA,4,0,-137,+126
06/07/2017,CIN,STL,6,4,-106,-102
06/07/2017,ATL,PHI,14,1,-132,+122
06/07/2017,TEX,NYM,3,4,-141,+130
06/07/2017,CHC,MIA,5,6,-190,+174
06/07/2017,MIL,SF,6,3,-118,+109
06/07/2017,KC,HOU,7,5,,
06/07/2017,ARI,SD,7,4,-208,+190
06/07/2017,SEA,MIN,6,5,+100,-108
