date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/23/2017,WSH,CIN,6,5,-235,+214
06/23/2017,NYY,TEX,2,1,-126,+116
06/23/2017,MIA,CHC,2,0,+105,-114
06/23/2017,BOS,LAA,9,4,-164,+151
06/23/2017,CLE,MIN,0,5,-160,+147
06/23/2017,TB,BAL,15,5,-231,+211
06/23/2017,ATL,MIL,5,4,-107,-101
06/23/2017,CWS,OAK,0,3,+105,-114
06/23/2017,STL,PIT,3,4,-111,+103
06/23/2017,KC,TOR,5,4,+125,-135
06/23/2017,ARI,PHI,1,6,-176,+162
06/23/2017,SD,DET,1,0,+113,-122
06/23/2017,LAD,COL,6,1,-233,+213
06/23/2017,SEA,HOU,13,3,-104,-104
06/23/2017,SF,NYM,4,11,-118,+109
