date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/09/2017,CHC,COL,3,5,-144,+133
06/09/2017,PIT,MIA,7,12,-122,+113
06/09/2017,WSH,TEX,2,5,-169,+156
06/09/2017,BOS,DET,5,3,-131,+121
06/09/2017,CLE,CWS,7,3,-280,+254
06/09/2017,TB,OAK,13,4,-128,+118
06/09/2017,NYY,BAL,8,2,-165,+152
06/09/2017,ATL,NYM,3,2,+108,-117
06/09/2017,HOU,LAA,4,9,-163,+150
06/09/2017,STL,PHI,3,2,-181,+166
06/09/2017,ARI,MIL,6,8,-140,+129
06/09/2017,LAD,CIN,7,2,-205,+188
06/09/2017,SEA,TOR,4,2,+108,-117
06/09/2017,SD,KC,6,3,-118,+109
06/09/2017,SF,MIN,0,4,-129,+119
