date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
06/11/2017,NYY,BAL,14,3,-170,+156
06/11/2017,CLE,CWS,4,2,-185,+170
06/11/2017,TB,OAK,5,4,-202,+185
06/11/2017,PIT,MIA,3,1,-170,+156
06/11/2017,ATL,NYM,1,2,-139,+128
06/11/2017,HOU,LAA,6,12,-175,+161
06/11/2017,STL,PHI,6,5,-135,+125
06/11/2017,CHC,COL,7,5,-223,+204
06/11/2017,WSH,TEX,1,5,-258,+235
06/11/2017,SF,MIN,13,8,-130,+120
06/11/2017,ARI,MIL,11,1,-145,+134
06/11/2017,LAD,CIN,9,7,-170,+156
06/11/2017,SEA,TOR,0,4,-150,+138
06/11/2017,SD,KC,3,8,-108,-100
06/11/2017,BOS,DET,3,8,-160,+147
