"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Gonzalez Germen","Rockies","1","1","3.0","3.00","3.00","0.00",".125","100.0 %","37.5 %","0.0 %","0.00","3.47","5.44","0.1","5876"
"Daniel Hudson","Diamondbacks","1","1","3.1","13.50","5.40","0.00",".286","100.0 %","66.7 %","0.0 %","0.00","1.93","1.93","0.1","7146"
"Alex Wilson","Tigers","1","1","3.0","3.00","3.00","0.00",".000","100.0 %","57.1 %","0.0 %","0.00","3.47","4.94","0.1","9239"
"Tony Zych","Mariners","1","1","2.2","13.50","0.00","0.00",".429","100.0 %","28.6 %","0.0 %","0.00","0.13","1.24","0.2","12876"
"Adam Wainwright","Cardinals","4","4","25.0","6.48","1.08","0.00",".299","76.9 %","50.0 %","0.0 %","1.44","2.05","3.00","0.8","2233"
"Rich Hill","Red Sox","4","4","29.0","11.17","1.55","0.62",".197","87.9 %","48.4 %","9.1 %","1.55","2.27","2.50","1.1","4806"
"Zack Greinke","Dodgers","32","32","222.2","8.08","1.62","0.57",".229","86.5 %","48.0 %","7.3 %","1.66","2.76","3.22","5.8","1943"
"Marcus Stroman","Blue Jays","4","4","27.0","6.00","2.00","0.67",".237","90.9 %","64.1 %","14.3 %","1.67","3.54","3.34","0.4","13431"
"Jake Arrieta","Cubs","33","33","229.0","9.28","1.89","0.39",".246","80.0 %","56.2 %","7.8 %","1.77","2.35","2.61","7.3","4153"
"Ian Thomas","Dodgers","1","1","5.0","9.00","0.00","0.00",".250","66.7 %","50.0 %","0.0 %","1.80","1.13","2.31","0.2","13881"
"Craig Breslow","Red Sox","2","2","9.1","3.86","1.93","1.93",".179","100.0 %","36.7 %","13.3 %","1.93","5.71","5.29","0.0","4363"
"Clayton Kershaw","Dodgers","33","33","232.2","11.64","1.62","0.58",".281","78.3 %","50.0 %","10.1 %","2.13","1.99","2.09","8.5","2036"
"Steve Geltz","Rays","2","2","4.0","4.50","2.25","0.00",".167","66.7 %","58.3 %","0.0 %","2.25","2.88","4.36","0.1","8402"
"J.R. Graham","Twins","1","1","4.0","6.75","0.00","2.25",".417","100.0 %","33.3 %","33.3 %","2.25","4.88","2.74","0.0","12042"
"Steven Matz","Mets","6","6","35.2","8.58","2.52","1.01",".300","91.4 %","45.5 %","11.8 %","2.27","3.61","3.56","0.6","13361"
"Jaime Garcia","Cardinals","20","20","129.2","6.73","2.08","0.42",".267","78.1 %","61.2 %","7.1 %","2.43","3.00","3.36","2.8","8137"
"David Price","- - -","32","32","220.1","9.19","1.92","0.69",".290","78.6 %","40.4 %","7.8 %","2.45","2.78","3.24","6.5","3184"
"Dallas Keuchel","Astros","33","33","232.0","8.38","1.98","0.66",".269","79.4 %","61.7 %","13.6 %","2.48","2.91","2.75","5.9","9434"
"Jacob deGrom","Mets","30","30","191.0","9.66","1.79","0.75",".271","78.0 %","44.4 %","9.5 %","2.54","2.70","2.92","5.2","10954"
"Gerrit Cole","Pirates","32","32","208.0","8.74","1.90","0.48",".304","74.9 %","48.0 %","6.5 %","2.60","2.66","3.16","5.5","13125"
"Jerad Eickhoff","Phillies","8","8","51.0","8.65","2.29","0.88",".257","80.4 %","37.9 %","8.9 %","2.65","3.25","3.60","1.2","12664"
"Matt Harvey","Mets","29","29","189.1","8.94","1.76","0.86",".272","78.7 %","46.0 %","9.8 %","2.71","3.05","3.24","4.4","11713"
"Sonny Gray","Athletics","31","31","208.0","7.31","2.55","0.74",".255","76.8 %","52.7 %","9.3 %","2.73","3.45","3.69","3.8","12768"
"Brandon Morrow","Padres","5","5","33.0","6.27","1.91","0.82",".280","81.8 %","47.4 %","10.0 %","2.73","3.56","3.72","0.5","9346"
"John Lackey","Cardinals","33","33","218.0","7.22","2.19","0.87",".295","82.6 %","46.0 %","9.8 %","2.77","3.57","3.77","3.6","1507"
"Max Scherzer","Nationals","33","33","228.2","10.86","1.34","1.06",".268","79.6 %","35.8 %","10.5 %","2.79","2.77","2.88","6.4","3137"
"Luis Severino","Yankees","11","11","62.1","8.09","3.18","1.30",".265","87.0 %","50.3 %","17.3 %","2.89","4.37","3.72","0.7","15890"
"Jose Fernandez","Marlins","11","11","64.2","10.99","1.95","0.56",".343","78.4 %","40.1 %","7.7 %","2.92","2.24","2.62","2.1","11530"
"Madison Bumgarner","Giants","32","32","218.1","9.65","1.61","0.87",".282","77.9 %","41.7 %","10.2 %","2.93","2.87","3.02","5.2","5524"
"Clayton Richard","Cubs","3","3","18.0","4.00","1.00","1.00",".246","80.3 %","58.7 %","20.0 %","3.00","4.02","3.40","0.2","3551"
"Josh Tomlin","Indians","10","10","65.2","7.81","1.10","1.78",".199","90.2 %","37.5 %","15.3 %","3.02","4.43","3.77","0.5","9388"
"Shelby Miller","Braves","33","33","205.1","7.50","3.20","0.57",".285","73.8 %","47.7 %","6.4 %","3.02","3.45","4.07","3.4","10197"
"Lance Lynn","Cardinals","31","31","175.1","8.57","3.49","0.67",".319","78.9 %","44.2 %","7.7 %","3.03","3.44","3.90","3.1","2520"
