"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Zack Godley","Diamondbacks","6","6","29.2","8.49","4.25","1.21",".264","87.2 %","47.3 %","14.8 %","3.03","4.72","4.31","0.1","14862"
"Carlos Martinez","Cardinals","29","29","174.2","9.33","2.99","0.67",".319","78.8 %","54.5 %","11.1 %","3.04","3.16","3.18","3.5","11682"
"Jhoulys Chacin","Diamondbacks","4","4","23.2","6.46","3.42","1.52",".250","86.1 %","48.6 %","16.7 %","3.04","5.04","4.33","0.0","2608"
"Cody Anderson","Indians","15","15","91.1","4.34","2.36","0.89",".237","78.3 %","45.9 %","9.2 %","3.05","4.27","4.58","1.0","12799"
"Scott Kazmir","- - -","31","31","183.0","7.62","2.90","0.98",".273","75.7 %","42.9 %","10.2 %","3.10","3.98","4.14","2.3","4897"
"Tyler Duffey","Twins","10","10","58.0","8.22","3.10","0.62",".315","79.6 %","49.7 %","7.8 %","3.10","3.24","3.64","1.3","13758"
"Drew Smyly","Rays","12","12","66.2","10.39","2.70","1.48",".283","86.5 %","36.8 %","14.3 %","3.10","3.91","3.47","0.9","11760"
"Tim Cooney","Cardinals","6","6","31.1","8.33","2.87","0.86",".287","77.6 %","37.9 %","8.8 %","3.16","3.58","3.94","0.5","13762"
"Chris Young","Royals","18","18","99.0","6.00","3.00","1.18",".222","79.7 %","27.2 %","8.0 %","3.18","4.51","5.22","0.8","3196"
"A.J. Burnett","Pirates","26","26","164.0","7.85","2.69","0.60",".336","77.8 %","53.4 %","9.3 %","3.18","3.36","3.55","2.9","512"
"Lance McCullers","Astros","22","22","125.2","9.24","3.08","0.72",".288","75.0 %","46.5 %","9.3 %","3.22","3.26","3.50","2.7","14120"
"Chris Archer","Rays","34","34","212.0","10.70","2.80","0.81",".295","73.1 %","46.1 %","10.4 %","3.23","2.90","3.01","5.2","6345"
"Noah Syndergaard","Mets","24","24","150.0","9.96","1.86","1.14",".279","75.0 %","46.5 %","14.3 %","3.24","3.25","2.91","3.1","11762"
"Clay Buchholz","Red Sox","18","18","113.1","8.50","1.83","0.48",".329","70.4 %","48.3 %","5.9 %","3.26","2.68","3.30","3.2","3543"
"Tyson Ross","Padres","33","33","196.0","9.73","3.86","0.41",".320","74.0 %","61.5 %","8.8 %","3.26","2.98","3.15","4.3","7872"
"Marco Estrada","Blue Jays","28","28","170.1","6.34","2.64","1.22",".220","77.7 %","31.5 %","8.6 %","3.28","4.43","4.99","1.7","1118"
"Jon Lester","Cubs","32","32","205.0","9.09","2.06","0.70",".303","71.8 %","48.9 %","9.9 %","3.34","2.92","3.06","5.0","4930"
"Wei-Yin Chen","Orioles","31","31","191.1","7.20","1.93","1.32",".290","80.5 %","40.5 %","12.3 %","3.34","4.16","4.01","2.7","13071"
"Erik Johnson","White Sox","6","6","35.0","7.71","4.37","2.06",".253","92.8 %","23.8 %","15.1 %","3.34","5.93","5.20","-0.1","12520"
"Jake Odorizzi","Rays","28","28","169.1","7.97","2.44","0.96",".271","77.0 %","37.3 %","9.0 %","3.35","3.61","3.96","2.9","6397"
"Jesse Hahn","Athletics","16","16","96.2","5.96","2.33","0.47",".273","65.8 %","52.6 %","7.1 %","3.35","3.51","3.90","1.6","13287"
"Jose Quintana","White Sox","32","32","206.1","7.72","1.92","0.70",".327","76.3 %","47.1 %","8.6 %","3.36","3.18","3.51","4.7","11423"
"Justin Verlander","Tigers","20","20","133.1","7.63","2.16","0.88",".267","70.9 %","34.6 %","7.5 %","3.37","3.49","4.15","2.9","8700"
"Michael Wacha","Cardinals","30","30","181.1","7.59","2.88","0.94",".272","76.2 %","45.8 %","11.2 %","3.37","3.87","3.88","2.3","14078"
"Francisco Liriano","Pirates","31","31","186.2","9.88","3.38","0.72",".293","74.2 %","51.2 %","11.7 %","3.38","3.19","3.16","3.7","3201"
"Chris Sale","White Sox","31","31","208.2","11.82","1.81","0.99",".323","73.2 %","42.6 %","12.5 %","3.41","2.73","2.60","6.1","10603"
"Yovani Gallardo","Rangers","33","33","184.1","5.91","3.32","0.73",".303","77.2 %","49.3 %","8.8 %","3.42","4.00","4.31","2.4","8173"
"Johnny Cueto","- - -","32","32","212.0","7.47","1.95","0.89",".281","73.7 %","42.4 %","9.5 %","3.44","3.53","3.78","4.0","6893"
"Danny Salazar","Indians","30","30","185.0","9.49","2.58","1.12",".278","74.5 %","43.9 %","12.4 %","3.45","3.62","3.48","3.1","5867"
"Stephen Strasburg","Nationals","23","23","127.1","10.96","1.84","0.99",".311","70.7 %","42.2 %","12.4 %","3.46","2.81","2.69","3.4","10131"
"Corey Kluber","Indians","32","32","222.0","9.93","1.82","0.89",".297","71.4 %","42.4 %","10.7 %","3.49","2.97","3.05","5.6","2429"
"Mike Fiers","- - -","30","30","175.1","8.93","3.13","1.18",".280","76.4 %","38.0 %","11.3 %","3.49","4.00","4.00","2.5","7754"
"Andrew Heaney","Angels","18","18","105.2","6.64","2.38","0.77",".284","76.4 %","38.3 %","7.0 %","3.49","3.73","4.41","1.7","15423"
"Masahiro Tanaka","Yankees","24","24","154.0","8.12","1.58","1.46",".242","74.0 %","47.0 %","16.9 %","3.51","3.98","3.29","2.3","15764"
"Erasmo Ramirez","Rays","27","27","151.1","6.90","2.20","0.89",".272","72.8 %","46.4 %","10.2 %","3.51","3.76","3.91","2.3","10314"
"Robbie Ray","Diamondbacks","23","23","127.2","8.39","3.45","0.63",".311","73.8 %","43.3 %","7.3 %","3.52","3.53","4.03","2.2","11486"
"Felix Hernandez","Mariners","31","31","201.2","8.52","2.59","1.03",".288","77.8 %","56.2 %","15.3 %","3.53","3.72","3.33","2.9","4772"
"Hisashi Iwakuma","Mariners","20","20","129.2","7.70","1.46","1.25",".271","75.6 %","50.4 %","15.3 %","3.54","3.74","3.27","1.9","13048"
"Aaron Sanchez","Blue Jays","11","11","66.0","5.73","5.05","1.09",".260","80.4 %","58.1 %","17.8 %","3.55","5.21","4.64","0.0","11490"
"Matt Andriese","Rays","8","8","35.1","5.86","2.29","1.02",".286","74.3 %","47.4 %","9.8 %","3.57","4.15","4.39","0.4","12022"
"Jake Peavy","Giants","19","19","110.2","6.34","2.03","0.98",".263","74.2 %","37.9 %","7.9 %","3.58","3.87","4.47","1.2","1051"
"Chris Bassitt","Athletics","13","13","75.1","6.69","2.51","0.48",".307","74.2 %","45.8 %","5.5 %","3.58","3.41","4.15","1.5","12304"
"Edinson Volquez","Royals","33","33","198.1","6.90","3.18","0.73",".292","72.9 %","46.0 %","8.1 %","3.58","3.83","4.25","2.5","3990"
"Aaron Nola","Phillies","13","13","77.2","7.88","2.20","1.27",".289","80.4 %","47.6 %","15.1 %","3.59","4.04","3.58","0.9","16149"
"Casey Sadler","Pirates","1","1","5.0","9.00","1.80","1.80",".250","83.3 %","41.7 %","33.3 %","3.60","4.33","2.62","0.0","11209"
"Sean Gilmartin","Mets","1","1","5.0","5.40","1.80","1.80",".143","76.9 %","28.6 %","10.0 %","3.60","5.13","5.49","0.0","12781"
"Patrick Corbin","Diamondbacks","16","16","85.0","8.26","1.80","0.95",".327","78.0 %","46.9 %","12.0 %","3.60","3.35","3.27","1.5","9323"
"Dan Haren","- - -","32","32","187.1","6.34","1.83","1.49",".256","79.8 %","30.6 %","11.0 %","3.60","4.61","4.69","0.9","1757"
"Mike Bolsinger","Dodgers","21","21","109.1","8.07","3.70","0.91",".299","75.0 %","53.1 %","12.2 %","3.62","3.91","3.82","1.1","11137"
"Carlos Carrasco","Indians","30","30","183.2","10.58","2.11","0.88",".304","71.8 %","51.2 %","13.2 %","3.63","2.84","2.66","4.8","6632"
"Logan Verrett","Mets","4","4","22.1","7.66","2.82","1.21",".228","76.9 %","40.4 %","13.0 %","3.63","4.39","4.16","0.1","12905"
"J.A. Happ","- - -","31","31","171.0","7.84","2.37","0.84",".313","75.4 %","41.5 %","9.2 %","3.63","3.43","3.72","3.4","7410"
"Cole Hamels","- - -","32","32","212.1","9.11","2.63","0.93",".294","75.3 %","47.7 %","12.0 %","3.65","3.47","3.40","4.2","4972"
"Garrett Richards","Angels","32","32","207.1","7.64","3.30","0.87",".274","71.8 %","54.9 %","12.0 %","3.65","3.86","3.80","2.7","9784"
"Adam Warren","Yankees","17","17","96.0","6.28","2.81","0.75",".279","72.2 %","46.0 %","8.3 %","3.66","3.92","4.31","1.5","9029"
"Jordan Zimmermann","Nationals","33","33","201.2","7.32","1.74","1.07",".302","74.5 %","42.0 %","10.9 %","3.66","3.75","3.82","3.0","4505"
"Hector Santiago","Angels","32","32","177.0","8.08","3.61","1.47",".253","79.6 %","29.9 %","10.5 %","3.66","4.82","4.99","0.8","4026"
"Adam Conley","Marlins","11","11","58.2","8.44","2.91","0.92",".325","78.5 %","40.4 %","8.6 %","3.68","3.66","4.09","1.0","14457"
"Nathan Karns","Rays","26","26","144.0","8.81","3.44","1.12",".283","78.0 %","42.3 %","12.4 %","3.69","4.05","3.91","1.6","12638"
"Brett Anderson","Dodgers","31","31","180.1","5.79","2.30","0.90",".310","73.8 %","66.3 %","17.0 %","3.69","3.94","3.51","1.6","8223"
"Mike Leake","- - -","30","30","192.0","5.58","2.30","1.03",".260","74.8 %","51.8 %","13.8 %","3.70","4.20","3.93","1.6","10130"
"Zach Davies","Brewers","6","6","34.0","6.35","3.97","0.53",".245","70.7 %","57.6 %","9.5 %","3.71","3.81","3.96","0.5","13183"
"Tsuyoshi Wada","Cubs","7","7","31.1","8.90","3.16","1.44",".289","82.4 %","43.0 %","17.2 %","3.73","4.38","3.67","0.2","13046"
"Jason Hammel","Cubs","31","31","170.2","9.07","2.11","1.21",".288","72.8 %","38.3 %","12.8 %","3.74","3.68","3.47","2.4","4538"
"Daniel Norris","- - -","13","13","60.0","6.75","2.85","1.35",".250","70.0 %","39.3 %","11.4 %","3.75","4.63","4.63","0.5","13475"
"Taylor Jungmann","Brewers","21","21","119.1","8.07","3.54","0.83",".290","72.8 %","46.3 %","9.9 %","3.77","3.92","4.10","1.6","13119"
"Joe Ross","Nationals","13","13","73.2","8.31","2.44","0.86",".268","68.7 %","49.5 %","10.1 %","3.79","3.42","3.57","1.3","12972"
"Carlos Rodon","White Sox","23","23","133.0","9.14","4.53","0.74",".311","74.8 %","46.9 %","10.7 %","3.79","3.87","3.94","1.9","16137"
"Gio Gonzalez","Nationals","31","31","175.2","8.66","3.54","0.41",".341","72.1 %","53.8 %","5.9 %","3.79","3.05","3.59","3.7","7448"
"Mark Buehrle","Blue Jays","32","32","198.2","4.12","1.49","1.00",".285","69.0 %","45.9 %","10.0 %","3.81","4.26","4.46","2.0","225"
"Kyle Gibson","Twins","32","32","194.2","6.70","3.01","0.83",".287","73.0 %","53.4 %","11.4 %","3.84","3.96","3.95","2.6","10123"
"Alex Wood","- - -","32","32","189.2","6.60","2.80","0.71",".313","72.9 %","49.5 %","9.4 %","3.84","3.69","3.90","2.6","13781"
"Eduardo Rodriguez","Red Sox","21","21","121.2","7.25","2.74","0.96",".289","74.2 %","43.0 %","10.4 %","3.85","3.92","4.05","1.7","13164"
"C.J. Wilson","Angels","21","21","132.0","7.50","3.14","0.89",".281","73.8 %","43.1 %","9.7 %","3.89","4.02","4.24","1.5","3580"
"Collin McHugh","Astros","32","32","203.2","7.56","2.34","0.84",".310","74.3 %","45.4 %","8.9 %","3.89","3.58","3.91","3.7","7531"
"James Paxton","Mariners","13","13","67.0","7.52","3.90","1.07",".289","73.1 %","48.3 %","11.1 %","3.90","4.31","4.35","0.5","11828"
"Scott Feldman","Astros","18","18","108.1","5.07","2.24","1.08",".291","75.1 %","48.9 %","13.3 %","3.90","4.32","4.09","0.9","6283"
"R.A. Dickey","Blue Jays","33","33","214.1","5.29","2.56","1.05",".257","73.3 %","41.9 %","9.8 %","3.91","4.48","4.72","2.0","1245"
"James Shields","Padres","33","33","202.1","9.61","3.60","1.47",".299","79.9 %","44.9 %","17.6 %","3.91","4.45","3.70","1.0","7059"
"Nick Tropeano","Angels","7","7","36.2","9.33","2.45","0.49",".346","67.1 %","38.1 %","4.8 %","3.93","2.59","3.57","1.1","12385"
"Tommy Milone","Twins","23","23","127.2","6.27","2.54","1.20",".280","71.5 %","41.7 %","12.0 %","3.95","4.34","4.25","1.4","7608"
"Kyle Hendricks","Cubs","32","32","180.0","8.35","2.15","0.85",".296","69.9 %","51.3 %","12.4 %","3.95","3.36","3.25","3.4","12049"
"Chris Heston","Giants","31","31","177.2","7.14","3.24","0.81",".299","73.4 %","53.0 %","11.8 %","3.95","4.02","3.98","1.4","10302"
"Steven Wright","Red Sox","9","9","52.1","6.88","2.92","1.55",".240","72.0 %","41.9 %","12.3 %","3.96","4.87","4.70","0.1","8185"
"Jason Vargas","Royals","9","9","43.0","5.65","2.51","1.05",".297","75.0 %","40.8 %","8.8 %","3.98","4.30","4.74","0.4","8044"
"Raisel Iglesias","Reds","16","16","92.1","9.94","2.63","1.07",".273","71.3 %","47.0 %","14.9 %","4.00","3.58","3.21","1.5","17130"
"Ervin Santana","Twins","17","17","108.0","6.83","3.00","1.00",".285","73.9 %","40.9 %","9.7 %","4.00","4.17","4.42","1.4","3200"
"Justin Nicolino","Marlins","12","12","74.0","2.80","2.43","0.97",".259","74.0 %","44.4 %","8.6 %","4.01","4.85","5.30","0.0","11754"
"Vince Velasquez","Astros","7","7","38.0","9.00","3.32","0.71",".317","71.4 %","28.8 %","5.8 %","4.03","3.27","4.26","0.9","11189"
"Chi Chi Gonzalez","Rangers","10","10","60.1","4.18","4.18","0.75",".221","69.0 %","49.2 %","8.9 %","4.03","4.82","5.12","0.2","14663"
"Julio Teheran","Braves","33","33","200.2","7.67","3.27","1.21",".288","73.8 %","39.5 %","13.0 %","4.04","4.40","4.19","1.1","6797"
"Anthony DeSclafani","Reds","31","31","184.2","7.36","2.68","0.83",".318","69.9 %","45.1 %","9.1 %","4.05","3.67","3.97","3.1","13050"
"Kendall Graveman","Athletics","21","21","115.2","5.99","2.96","1.17",".302","75.7 %","50.0 %","13.9 %","4.05","4.60","4.30","0.5","15514"
"Ariel Pena","Brewers","5","5","24.1","9.25","4.81","0.74",".303","72.3 %","40.9 %","7.7 %","4.07","3.87","4.38","0.4","10240"
"Wandy Rodriguez","Rangers","15","15","84.0","7.29","3.54","0.96",".309","76.5 %","41.9 %","9.8 %","4.07","4.19","4.42","1.1","2586"
"Yordano Ventura","Royals","28","28","163.1","8.60","3.20","0.77",".307","72.5 %","52.2 %","11.0 %","4.08","3.57","3.60","2.6","11855"
"Tyler Matzek","Rockies","5","5","22.0","6.14","7.77","0.82",".302","82.1 %","39.7 %","8.3 %","4.09","5.95","6.38","-0.1","10058"
"Nick Martinez","Rangers","21","21","121.0","5.43","3.27","1.19",".292","73.7 %","42.1 %","11.6 %","4.09","5.06","5.02","0.3","12730"
"Tyler Lyons","Cardinals","8","8","41.2","9.07","2.81","1.73",".308","79.1 %","38.5 %","19.0 %","4.10","4.55","3.54","0.2","11334"
"Ubaldo Jimenez","Orioles","32","32","184.0","8.22","3.33","0.98",".309","73.8 %","49.1 %","13.0 %","4.11","4.01","3.83","2.7","3374"
"Jimmy Nelson","Brewers","30","30","177.1","7.51","3.30","0.91",".285","70.4 %","50.6 %","11.8 %","4.11","4.10","4.06","2.0","10547"
"Tim Lincecum","Giants","15","15","76.1","7.07","4.48","0.83",".300","73.9 %","44.3 %","8.8 %","4.13","4.29","4.64","0.3","5705"
"Tom Koehler","Marlins","31","31","184.1","6.49","3.76","1.07",".283","71.7 %","46.2 %","11.1 %","4.15","4.59","4.64","0.5","6570"
"Jon Niese","Mets","29","29","173.0","5.83","2.81","1.04",".296","71.0 %","54.5 %","14.5 %","4.16","4.43","4.11","0.9","4424"
"Jorge de la Rosa","Rockies","26","26","149.0","8.09","3.93","1.03",".288","72.9 %","52.0 %","14.8 %","4.17","4.19","3.84","1.7","2047"
"Roenis Elias","Mariners","20","20","114.0","7.58","3.39","1.18",".283","73.7 %","44.3 %","12.5 %","4.18","4.53","4.37","0.7","12673"
"Chase Whitley","Yankees","4","4","19.1","7.45","2.33","1.40",".293","79.0 %","49.2 %","13.6 %","4.19","4.58","4.24","0.1","10982"
"Nathan Eovaldi","Yankees","27","27","154.1","7.06","2.86","0.58",".337","72.8 %","52.2 %","7.8 %","4.20","3.42","3.81","3.2","9132"
"Bartolo Colon","Mets","31","31","192.2","6.21","1.12","1.17",".307","71.8 %","42.1 %","10.7 %","4.20","3.88","3.97","2.4","375"
"Kevin Gausman","Orioles","17","17","100.1","8.07","2.15","1.35",".289","72.8 %","44.8 %","13.6 %","4.22","4.06","3.74","1.4","14107"
"Chad Bettis","Rockies","20","20","115.0","7.67","3.29","0.86",".313","72.9 %","49.3 %","11.0 %","4.23","3.85","3.89","1.8","10587"
"Mike Pelfrey","Twins","30","30","164.2","4.70","2.46","0.60",".334","70.5 %","50.8 %","7.4 %","4.26","4.00","4.45","2.1","5203"
"Colin Rea","Padres","6","6","31.2","7.39","3.13","0.57",".290","65.5 %","46.2 %","7.1 %","4.26","3.45","3.93","0.5","12317"
"Ian Kennedy","Padres","30","30","168.1","9.30","2.78","1.66",".301","71.6 %","38.5 %","17.2 %","4.28","4.51","3.70","0.7","6986"
"Chase Anderson","Diamondbacks","27","27","152.2","6.54","2.36","1.06",".302","72.3 %","42.0 %","11.1 %","4.30","4.14","4.17","1.7","6895"
"Tyler Wilson","Orioles","5","5","25.0","3.60","3.24","0.36",".298","69.4 %","52.9 %","4.0 %","4.32","4.05","5.01","0.3","12691"
"Andrew Cashner","Padres","31","31","184.2","8.04","3.22","0.93",".330","65.6 %","47.4 %","11.5 %","4.34","3.85","3.84","2.2","8782"
"Danny Duffy","Royals","24","24","128.1","6.31","3.58","1.05",".301","75.0 %","38.3 %","10.3 %","4.35","4.65","4.80","0.8","3542"
"Michael Pineda","Yankees","27","27","160.2","8.74","1.18","1.18",".332","68.6 %","48.2 %","14.7 %","4.37","3.34","2.95","3.5","5372"
"Jesse Chavez","Athletics","26","26","150.1","7.60","2.81","1.08",".312","71.0 %","43.5 %","11.6 %","4.37","3.96","3.92","2.1","5448"
"David Phelps","Marlins","19","19","106.2","6.16","2.53","0.93",".305","70.1 %","41.7 %","9.2 %","4.39","4.03","4.35","1.0","6316"
"Carlos Frias","Dodgers","13","13","71.1","5.05","2.90","0.88",".323","71.6 %","54.0 %","12.7 %","4.42","4.38","4.24","0.3","3547"
"Matt Shoemaker","Angels","24","24","134.1","7.70","2.34","1.54",".286","73.9 %","39.2 %","13.5 %","4.42","4.52","4.16","0.9","4776"
"Trevor May","Twins","16","16","83.1","7.88","1.94","0.86",".344","69.9 %","38.0 %","7.6 %","4.43","3.35","3.96","1.8","6398"
"Phil Hughes","Twins","25","25","152.1","5.49","0.95","1.65",".307","77.7 %","35.1 %","13.3 %","4.43","4.66","4.30","1.1","7450"
"Brett Oberholtzer","Astros","8","8","38.1","6.34","3.99","0.94",".328","72.7 %","48.8 %","9.5 %","4.46","4.49","4.75","0.2","3855"
"Wade Miley","Red Sox","32","32","193.2","6.83","2.97","0.79",".307","69.7 %","48.8 %","9.2 %","4.46","3.81","4.08","2.6","8779"
"Martin Perez","Rangers","14","14","78.2","5.49","2.75","0.34",".324","62.8 %","59.9 %","5.2 %","4.46","3.40","3.99","1.7","6902"
"Adam Morgan","Phillies","15","15","84.1","5.23","1.81","1.49",".276","71.6 %","30.6 %","10.2 %","4.48","4.88","5.12","0.4","12580"
"Jeff Locke","Pirates","30","30","168.1","6.90","3.21","0.80",".312","67.1 %","51.0 %","11.5 %","4.49","3.95","3.94","1.7","2929"
"Ryan Vogelsong","Giants","22","22","116.0","6.98","3.88","1.24",".276","73.5 %","44.7 %","12.2 %","4.50","4.72","4.59","-0.1","1011"
"Juan Nicasio","Dodgers","1","1","2.0","4.50","0.00","0.00",".375","66.7 %","62.5 %","0.0 %","4.50","2.13","2.87","0.1","7731"
"Kris Medlen","Royals","8","8","44.0","5.32","2.66","1.02",".289","64.8 %","51.0 %","10.4 %","4.50","4.45","4.58","0.3","9417"
"Jarred Cosart","Marlins","13","13","65.2","6.03","4.11","1.37",".247","74.3 %","54.6 %","18.2 %","4.52","5.19","4.45","-0.3","10304"
"Tim Hudson","Giants","22","22","121.1","4.60","2.74","0.96",".299","72.2 %","56.2 %","14.1 %","4.52","4.59","4.32","0.1","921"
"Taijuan Walker","Mariners","29","29","169.2","8.33","2.12","1.33",".291","67.8 %","38.6 %","13.0 %","4.56","4.07","3.82","2.0","11836"
"Henry Owens","Red Sox","11","11","63.0","7.14","3.43","1.00",".293","68.2 %","34.7 %","7.5 %","4.57","4.28","5.01","0.7","13143"
"Trevor Bauer","Indians","30","30","175.0","8.64","4.06","1.18",".275","71.5 %","39.2 %","11.7 %","4.58","4.36","4.31","1.8","12703"
"Mike Montgomery","Mariners","16","16","90.0","6.40","3.70","1.10",".290","71.4 %","51.2 %","13.3 %","4.60","4.67","4.44","0.3","4869"
"Doug Fister","Nationals","15","15","86.0","5.02","1.88","1.26",".312","71.7 %","42.0 %","11.5 %","4.60","4.63","4.60","0.2","9425"
"Williams Perez","Braves","20","20","113.1","5.64","3.73","0.95",".316","72.5 %","50.8 %","11.2 %","4.61","4.74","4.76","0.0","11592"
"Jeremy Hellickson","Diamondbacks","27","27","146.0","7.46","2.65","1.36",".291","71.5 %","42.4 %","13.3 %","4.62","4.44","4.16","0.9","4371"
"Jon Moscot","Reds","3","3","11.2","4.63","3.86","1.54",".243","75.8 %","41.0 %","11.8 %","4.63","5.62","5.54","0.0","13849"
"Drew Pomeranz","Athletics","9","9","44.2","7.25","3.43","1.01",".275","59.6 %","38.1 %","9.4 %","4.63","4.19","4.48","0.6","11426"
"Jered Weaver","Angels","26","26","159.0","5.09","1.87","1.36",".273","71.1 %","34.4 %","9.9 %","4.64","4.81","5.10","0.8","4235"
"Colby Lewis","Rangers","33","33","204.2","6.24","1.85","1.14",".289","65.9 %","33.7 %","8.9 %","4.66","4.17","4.62","2.5","1259"
"Rubby de la Rosa","Diamondbacks","32","32","188.2","7.16","3.01","1.53",".288","73.0 %","49.1 %","16.8 %","4.67","4.81","4.10","0.5","3862"
"Alex Colome","Rays","13","13","69.0","5.74","3.13","1.17",".296","72.6 %","40.7 %","11.7 %","4.70","4.64","4.59","0.4","6661"
"John Danks","White Sox","30","30","177.2","6.28","2.84","1.22",".305","68.1 %","38.2 %","10.4 %","4.71","4.49","4.65","1.6","6329"
"Brandon Finnegan","Reds","4","4","21.0","8.57","3.00","2.14",".281","81.0 %","46.7 %","21.7 %","4.71","5.32","3.85","-0.1","16208"
