"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Brad Lidge","Astros","1","1","3.0","12.00","6.00","0.00",".333","100.0 %","20.0 %","0.0 %","0.00","3.30","4.68","0.1","563"
"Mike Crudale","Cardinals","1","1","2.0","0.00","4.50","0.00",".250","100.0 %","12.5 %","0.0 %","0.00","4.46","7.23","0.0","1148"
"Eric Junge","Phillies","1","1","5.0","9.00","7.20","0.00",".267","87.5 %","21.4 %","0.0 %","0.00","3.36","5.30","0.1","1611"
"Mark Hendrickson","Blue Jays","4","4","26.0","4.50","1.73","0.35",".187","86.0 %","42.7 %","3.0 %","1.04","3.04","4.30","0.7","1574"
"Brian Tallet","Indians","2","2","12.0","3.75","3.00","0.00",".243","78.6 %","36.1 %","0.0 %","1.50","3.38","5.34","0.3","1646"
"Jason Davis","Indians","2","2","10.2","5.91","3.37","0.00",".265","84.6 %","51.6 %","0.0 %","1.69","2.77","3.68","0.3","1598"
"Cliff Lee","Indians","2","2","10.1","5.23","6.97","0.00",".200","85.7 %","34.5 %","0.0 %","1.74","4.12","5.87","0.1","1636"
"Danny Graves","Reds","4","4","19.0","5.68","1.42","0.47",".259","86.7 %","66.1 %","12.5 %","1.89","3.17","3.07","0.4","326"
"Pedro Martinez","Red Sox","30","30","199.1","10.79","1.81","0.59",".273","75.8 %","42.2 %","7.4 %","2.26","2.24","2.61","7.4","200"
"Randy Johnson","Diamondbacks","35","35","260.0","11.56","2.46","0.90",".289","83.0 %","46.6 %","12.5 %","2.32","2.66","2.47","8.1","60"
"Clay Condrey","Padres","3","3","19.1","5.12","2.33","0.47",".203","68.2 %","47.4 %","4.8 %","2.33","3.43","4.26","0.3","1579"
"Tim Wakefield","Red Sox","15","15","98.0","6.89","2.11","0.83",".223","79.4 %","40.2 %","7.5 %","2.39","3.45","3.95","2.2","219"
"Kurt Ainsworth","Giants","4","4","21.2","5.40","4.15","0.42",".273","80.4 %","50.8 %","4.8 %","2.49","3.89","4.63","0.3","1431"
"Woody Williams","Cardinals","17","17","103.1","6.62","2.18","0.87",".249","83.8 %","41.4 %","8.7 %","2.53","3.59","3.87","1.9","1190"
"Victor Alvarez","Dodgers","1","1","7.0","6.43","1.29","0.00",".211","60.0 %","31.6 %","0.0 %","2.57","1.96","4.14","0.4","1559"
"Derek Lowe","Red Sox","32","32","219.2","5.20","1.97","0.49",".235","77.0 %","67.0 %","9.5 %","2.58","3.34","3.42","4.6","199"
"Greg Maddux","Braves","34","34","199.1","5.33","2.03","0.63",".282","78.8 %","56.1 %","8.9 %","2.62","3.43","3.61","3.9","104"
"Wayne Franklin","Brewers","4","4","24.0","6.38","6.38","0.38",".221","79.1 %","38.8 %","3.3 %","2.63","4.21","5.40","0.4","557"
"Andy Benes","Cardinals","17","17","94.0","5.94","4.69","0.86",".250","79.7 %","35.9 %","7.2 %","2.68","4.61","5.21","0.8","1144"
"Salomon Torres","Pirates","5","5","30.0","3.60","3.90","0.60",".268","82.5 %","54.7 %","6.7 %","2.70","4.63","5.15","0.2","1628"
"Barry Zito","Athletics","35","35","229.1","7.14","3.06","0.94",".245","80.7 %","34.8 %","8.2 %","2.75","3.87","4.28","4.5","944"
"Bartolo Colon","- - -","33","33","233.1","5.75","2.70","0.77",".274","78.3 %","46.1 %","8.2 %","2.93","3.73","4.06","4.4","375"
"Roy Halladay","Blue Jays","34","34","239.1","6.32","2.33","0.38",".286","71.6 %","59.7 %","6.6 %","2.93","2.97","3.30","6.8","1303"
"Tom Glavine","Braves","36","36","224.2","5.09","3.12","0.84",".269","79.1 %","40.1 %","8.0 %","2.96","4.20","4.59","2.9","90"
