"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Hector Noesi","Mariners","1","1","4.1","8.31","2.08","0.00",".250","80.0 %","33.3 %","0.0 %","0.00","2.59","4.48","0.1","3292"
"Enny Romero","Rays","1","1","4.2","0.00","7.71","0.00",".071","100.0 %","64.3 %","0.0 %","0.00","5.62","6.79","0.0","4001"
"Matt Shoemaker","Angels","1","1","5.0","9.00","3.60","0.00",".167","100.0 %","41.7 %","0.0 %","0.00","2.25","3.34","0.2","4776"
"David Hale","Braves","2","2","11.0","11.45","0.82","0.00",".355","91.7 %","63.3 %","0.0 %","0.82","0.78","1.27","0.6","9756"
"Tyler Thornburg","Brewers","7","7","43.0","7.12","3.35","0.00",".286","82.4 %","35.3 %","0.0 %","1.47","2.65","4.11","1.2","10688"
"James Paxton","Mariners","4","4","24.0","7.88","2.63","0.75",".203","88.5 %","59.1 %","12.5 %","1.50","3.26","3.08","0.4","11828"
"Tanner Roark","Nationals","5","5","31.0","6.10","1.16","0.29",".247","79.0 %","50.5 %","4.0 %","1.74","2.50","3.18","0.9","8753"
"Clay Buchholz","Red Sox","16","16","108.1","7.98","2.99","0.33",".254","83.7 %","47.7 %","4.5 %","1.74","2.78","3.41","2.8","3543"
"Charlie Leesman","White Sox","1","1","5.0","14.40","9.00","1.80",".300","100.0 %","54.5 %","33.3 %","1.80","5.45","3.67","0.0","9124"
"Jimmy Nelson","Brewers","1","1","5.0","7.20","5.40","0.00",".083","75.0 %","50.0 %","0.0 %","1.80","3.25","4.34","0.1","10547"
"Clayton Kershaw","Dodgers","33","33","236.0","8.85","1.98","0.42",".251","80.6 %","46.0 %","5.8 %","1.83","2.39","2.88","7.1","2036"
"Danny Duffy","Royals","5","5","24.1","8.14","5.18","0.00",".284","85.3 %","31.8 %","0.0 %","1.85","3.09","4.60","0.5","3542"
"Jarred Cosart","Astros","10","10","60.0","4.95","5.25","0.45",".246","85.9 %","54.5 %","7.0 %","1.95","4.35","4.68","0.4","10304"
"Vidal Nuno","Yankees","3","3","17.0","3.71","3.18","0.53",".189","84.3 %","38.9 %","4.2 %","2.12","4.22","5.39","0.3","9674"
