"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Juan Guzman","- - -","33","33","200.0","6.98","3.87","1.26",".281","76.8 %","","","3.74","4.75","","2.5","1005162"
"Brad Radke","Twins","33","33","218.2","4.98","1.81","1.15",".295","76.4 %","","","3.75","4.31","","3.7","748"
"Andy Ashby","Padres","31","31","206.0","5.77","2.36","1.14",".277","74.4 %","","","3.80","4.38","","2.7","637"
"Russ Ortiz","Giants","33","33","207.2","7.11","5.42","1.04",".274","73.7 %","","","3.81","4.95","","1.7","1124"
"Doug Johns","Orioles","5","5","33.0","5.18","1.09","1.09",".238","71.4 %","","","3.82","4.10","","0.7","1006449"
"Scott Elarton","Astros","15","15","84.2","7.65","3.08","0.43",".314","66.1 %","","","3.83","3.15","","2.2","426"
"Esteban Loaiza","Rangers","15","15","91.2","5.30","3.24","0.69",".289","72.9 %","","","3.83","4.03","","2.0","1310"
"Garrett Stephenson","Cardinals","12","12","75.0","5.88","3.12","1.08",".277","75.8 %","","","3.84","4.63","","1.0","1185"
"Shane Reynolds","Astros","35","35","231.2","7.65","1.44","0.89",".322","70.4 %","","","3.85","3.22","","6.0","574"
"Jose Rosado","Royals","33","33","208.0","6.10","3.12","1.04",".270","71.1 %","","","3.85","4.39","","3.7","1011192"
"C.J. Nitkowski","Tigers","7","7","37.1","6.99","5.06","0.48",".260","67.1 %","","","3.86","4.12","","0.8","570"
"Rick Ankiel","Cardinals","5","5","28.0","9.64","4.50","0.64",".297","74.6 %","","","3.86","3.53","","0.7","1142"
"Jamie Moyer","Mariners","32","32","228.0","5.41","1.89","0.91",".291","70.8 %","","","3.87","3.99","","4.6","1091"
"Bartolo Colon","Indians","32","32","205.0","7.07","3.34","1.05",".273","73.0 %","","","3.95","4.30","","3.8","375"
"Roy Halladay","Blue Jays","18","18","104.1","5.26","4.92","1.21",".295","77.7 %","","","3.97","5.43","","0.6","1303"
"Kent Bottenfield","Cardinals","31","31","190.1","5.86","4.21","0.99",".291","76.5 %","","","3.97","4.75","","2.3","1001226"
"Ismael Valdez","Dodgers","32","32","203.1","6.33","2.57","1.42",".286","77.5 %","","","3.98","4.72","","2.2","1283"
"Lance Painter","Cardinals","4","4","18.0","6.00","2.50","0.50",".316","57.5 %","","","4.00","3.36","","0.5","1675"
"Mike Sirotka","White Sox","32","32","209.0","5.38","2.45","1.03",".303","71.7 %","","","4.00","4.29","","3.8","1012015"
"Jeff Williams","Dodgers","3","3","15.2","4.02","4.60","1.15",".170","59.2 %","","","4.02","5.43","","0.1","674"
"Kip Wells","White Sox","7","7","35.2","7.32","3.79","0.50",".298","70.5 %","","","4.04","3.75","","0.9","1012"
"Freddy Garcia","Mariners","33","33","201.1","7.60","4.02","0.80",".312","74.7 %","","","4.07","4.10","","3.8","1077"
"Jon Lieber","Cubs","31","31","203.1","8.23","2.04","1.24",".322","71.0 %","","","4.07","3.79","","4.5","287"
"Kris Benson","Pirates","31","31","196.2","6.36","3.80","0.73",".282","67.0 %","","","4.07","4.14","","3.4","982"
"Todd Stottlemyre","Diamondbacks","17","17","101.1","6.57","3.55","1.07",".299","74.7 %","","","4.09","4.57","","1.4","75"
"Joe Nathan","Giants","14","14","81.1","4.87","4.54","1.55",".237","78.8 %","","","4.09","5.84","","0.0","1122"
"Mike Thurman","Expos","27","27","144.2","5.23","3.17","1.06",".265","65.2 %","","","4.11","4.70","","1.7","852"
"Sterling Hitchcock","Padres","33","33","205.2","8.49","3.33","1.27",".294","75.9 %","","","4.11","4.26","","3.0","824"
"Orlando Hernandez","Yankees","33","33","214.1","6.59","3.65","1.01",".257","70.1 %","","","4.12","4.45","","3.4","823"
"Tom Glavine","Braves","35","35","234.0","5.31","3.19","0.69",".309","72.0 %","","","4.12","4.07","","4.2","90"
"Robert Person","Phillies","22","22","126.0","8.36","4.43","1.50",".286","77.1 %","","","4.14","4.97","","1.1","966"
"Steve Karsay","Indians","3","3","13.0","5.54","3.46","2.08",".216","85.9 %","","","4.15","6.29","","0.0","829"
"Omar Olivares","- - -","32","32","205.2","3.72","3.54","0.83",".287","72.0 %","","","4.16","4.82","","2.7","1009771"
"Jason Schmidt","Pirates","33","33","212.2","6.26","3.60","1.02",".288","72.1 %","","","4.19","4.45","","3.0","1131"
"Kenny Rogers","- - -","31","31","195.1","5.81","3.18","0.74",".306","70.4 %","","","4.19","4.17","","3.5","1277"
"Dustin Hermanson","Expos","34","34","216.1","6.03","2.87","0.83",".298","70.0 %","","","4.20","4.05","","4.0","195"
"John Halama","Mariners","24","24","152.0","5.15","2.78","1.07",".303","74.3 %","","","4.20","4.55","","2.1","1080"
"Wilson Alvarez","Devil Rays","28","28","160.0","7.20","4.44","1.24",".293","71.3 %","","","4.22","4.92","","1.8","1193"
"Al Leiter","Mets","32","32","213.0","6.85","3.93","0.80",".297","71.7 %","","","4.23","4.21","","3.3","883"
"Masato Yoshii","Mets","29","29","170.0","5.51","2.96","1.27",".271","75.2 %","","","4.24","4.82","","1.5","807"
"Kyle Peterson","Brewers","12","12","70.0","3.99","2.96","0.39",".302","64.8 %","","","4.24","3.88","","1.4","1010235"
"Dave Burba","Indians","34","34","220.0","7.12","3.93","1.23",".286","74.0 %","","","4.25","4.74","","3.0","1239"
"Darren Oliver","Cardinals","30","30","196.1","5.46","3.39","0.73",".291","71.7 %","","","4.26","4.28","","3.3","206"
"Brian Anderson","Diamondbacks","19","19","111.2","5.32","1.93","1.21",".298","72.4 %","","","4.27","4.34","","1.8","44"
"Denny Neagle","Reds","19","19","109.1","6.09","3.05","1.81",".223","78.5 %","","","4.28","5.52","","0.5","441"
"Armando Reynoso","Diamondbacks","27","27","161.0","4.25","3.69","1.06",".281","72.4 %","","","4.30","5.07","","1.4","72"
"Pat Rapp","Red Sox","26","26","126.0","5.50","4.14","0.93",".292","69.6 %","","","4.36","4.75","","1.4","1010700"
"Blake Stein","- - -","12","12","70.0","5.66","5.66","1.41",".248","79.7 %","","","4.37","6.06","","0.1","632"
"Chris Carpenter","Blue Jays","24","24","150.0","6.36","2.88","0.96",".329","71.5 %","","","4.38","4.13","","2.9","1292"
"Woody Williams","Padres","33","33","208.1","5.92","3.15","1.43",".280","75.3 %","","","4.41","4.96","","1.5","1190"
"Francisco Cordova","Pirates","27","27","160.2","5.49","3.30","0.90",".297","70.7 %","","","4.43","4.38","","2.4","1002623"
"Terry Mulholland","- - -","24","24","146.1","4.24","2.28","1.11",".320","69.8 %","","","4.43","4.57","","2.0","665"
"Chuck Finley","Angels","33","33","213.1","8.44","3.97","0.97",".296","68.2 %","","","4.43","4.09","","4.4","384"
"Matt Clement","Padres","31","31","180.2","6.73","4.28","0.90",".310","68.9 %","","","4.48","4.51","","2.1","271"
"Eric Milton","Twins","34","34","206.1","7.11","2.75","1.22",".270","66.9 %","","","4.49","4.28","","3.6","743"
"Chris Holt","Astros","26","26","158.0","6.38","3.02","0.68",".346","70.3 %","","","4.50","3.86","","2.8","1005983"
"Esteban Yan","Devil Rays","1","1","4.0","11.25","9.00","0.00",".500","80.0 %","","","4.50","3.63","","0.1","1236"
"Gil Meche","Mariners","15","15","84.0","4.93","5.68","0.96",".244","71.4 %","","","4.50","5.40","","0.5","1089"
"Jeff Suppan","Royals","32","32","208.2","4.44","2.67","1.21",".281","70.2 %","","","4.53","4.83","","2.8","633"
"Steve Woodard","Brewers","29","29","182.1","5.82","1.78","1.14",".318","70.0 %","","","4.54","4.17","","3.2","1285"
"Hideo Nomo","Brewers","28","28","176.1","8.22","3.98","1.38",".293","73.1 %","","","4.54","4.68","","2.1","666"
"Ryan Rupe","Devil Rays","24","24","142.1","6.13","3.60","1.07",".276","68.4 %","","","4.55","4.78","","1.8","1223"
"Miguel Batista","Expos","17","17","98.2","6.75","3.19","0.55",".320","61.6 %","","","4.56","3.67","","2.2","46"
"Orel Hershiser","Mets","32","32","179.0","4.47","3.87","0.70",".275","70.3 %","","","4.58","4.63","","1.9","1005741"
"Rick Reed","Mets","26","26","149.1","6.27","2.83","1.39",".303","74.9 %","","","4.58","4.71","","1.5","750"
"Ted Lilly","Expos","3","3","17.2","9.68","2.55","2.55",".244","86.7 %","","","4.58","5.85","","0.0","833"
"Paul Byrd","Phillies","32","32","199.2","4.78","3.16","1.53",".265","70.8 %","","","4.60","5.59","","0.5","594"
"Dave Mlicki","Tigers","31","31","191.2","5.59","3.29","1.13",".296","71.1 %","","","4.60","4.80","","2.7","569"
"Roger Clemens","Yankees","30","30","187.2","7.82","4.32","0.96",".306","71.5 %","","","4.60","4.36","","3.2","815"
"Butch Henry","Mariners","4","4","23.1","5.01","3.09","0.39",".338","67.4 %","","","4.63","3.73","","0.5","1005667"
"Vladimir Nunez","Marlins","12","12","68.0","6.62","4.10","1.19",".268","61.2 %","","","4.63","4.88","","0.6","532"
"Livan Hernandez","- - -","30","30","199.2","6.49","3.43","1.04",".318","71.5 %","","","4.64","4.36","","2.9","1116"
"Kent Mercker","- - -","23","23","117.0","5.85","4.38","1.08",".304","70.1 %","","","4.69","4.93","","1.2","439"
"Andy Pettitte","Yankees","31","31","191.2","5.68","4.18","0.94",".317","72.5 %","","","4.70","4.67","","2.6","840"
"Sidney Ponson","Orioles","32","32","210.0","4.80","3.43","1.50",".287","73.4 %","","","4.71","5.39","","1.4","161"
"Ryan Dempster","Marlins","25","25","147.0","7.71","5.69","1.29",".298","77.9 %","","","4.71","5.30","","0.7","517"
"Jeremy Powell","Expos","17","17","97.0","4.08","4.08","1.30",".302","72.2 %","","","4.73","5.71","","0.1","1010490"
"Ron Villone","Reds","22","22","125.0","5.69","4.68","0.58",".258","65.4 %","","","4.75","4.38","","2.0","1010"
"Ramiro Mendoza","Yankees","6","6","39.2","5.22","2.04","0.91",".340","67.9 %","","","4.76","4.12","","0.8","836"
"Scott Karl","Brewers","33","33","197.2","3.37","3.14","0.96",".316","68.8 %","","","4.78","4.93","","1.8","1006703"
"Aaron Sele","Rangers","33","33","205.0","8.17","3.07","0.92",".353","71.1 %","","","4.79","3.85","","4.9","34"
"Pat Hentgen","Blue Jays","34","34","199.0","5.34","2.94","1.45",".296","71.7 %","","","4.79","5.06","","1.9","145"
"Ken Hill","Angels","22","22","123.2","5.46","5.17","1.02",".290","72.1 %","","","4.80","5.21","","1.2","1005827"
"Scott Erickson","Orioles","34","34","230.1","4.14","3.87","1.05",".289","71.8 %","","","4.81","5.17","","2.0","137"
"Gil Heredia","Athletics","33","33","200.1","5.26","1.53","0.99",".307","63.1 %","","","4.81","4.02","","4.2","1005686"
"Andy Benes","Diamondbacks","32","32","196.1","6.37","3.76","1.51",".292","72.5 %","","","4.81","5.22","","1.4","1144"
"David Wells","Blue Jays","34","34","231.2","6.57","2.41","1.24",".298","67.6 %","","","4.82","4.35","","3.9","855"
"Darren Dreifort","Dodgers","29","29","177.0","7.02","3.86","1.02",".297","66.7 %","","","4.83","4.45","","2.5","647"
"Kevin Tapani","Cubs","23","23","136.0","4.83","2.18","0.79",".296","62.5 %","","","4.83","4.02","","2.6","1012824"
"Charles Nagy","Indians","32","32","201.0","5.60","2.60","1.12",".315","68.9 %","","","4.84","4.46","","3.4","397"
"Hideki Irabu","Yankees","27","27","158.0","6.78","2.51","1.42",".296","69.4 %","","","4.84","4.63","","2.2","1255"
"Rick Helling","Rangers","35","35","219.1","5.38","3.49","1.68",".275","73.4 %","","","4.84","5.61","","1.3","58"
"Jamey Wright","Rockies","16","16","94.1","4.67","5.15","0.95",".327","75.3 %","","","4.87","5.32","","1.0","715"
"Jay Ryan","Twins","8","8","40.2","3.32","3.76","1.99",".268","80.5 %","","","4.87","6.75","","-0.3","1011340"
"Brian Cooper","Angels","5","5","27.2","4.88","5.86","0.98",".238","73.5 %","","","4.88","5.84","","0.1","1295"
"Brian Rose","Red Sox","18","18","92.0","4.50","2.74","1.66",".283","71.0 %","","","4.89","5.48","","0.4","1011201"
"Dave Eiland","Devil Rays","15","15","68.0","6.09","2.91","1.06",".310","62.8 %","","","4.90","4.33","","1.2","1003714"
"Shawn Estes","Giants","32","32","203.0","7.05","4.97","0.93",".305","69.1 %","","","4.92","4.64","","2.4","873"
"Jarrod Washburn","Angels","10","10","54.2","5.60","3.46","0.66",".292","65.3 %","","","4.94","4.05","","1.2","40"
"Mike Judd","Dodgers","4","4","23.2","5.70","2.28","1.52",".296","72.0 %","","","4.94","4.95","","0.2","1006639"
"Bruce Chen","Braves","7","7","40.0","7.43","3.83","1.80",".212","68.8 %","","","4.95","5.51","","0.1","769"
"Dennis Springer","Marlins","29","29","174.1","3.87","2.94","1.03",".310","68.1 %","","","4.96","4.85","","1.6","672"
"Javier Vazquez","Expos","26","26","154.2","6.58","3.03","1.16",".280","61.5 %","","","5.00","4.44","","2.2","801"
"James Baldwin","White Sox","33","33","196.2","5.49","3.66","1.56",".284","72.9 %","","","5.03","5.49","","1.2","1064"
"Brian Moehler","Tigers","32","32","196.1","4.86","2.70","1.01",".311","67.8 %","","","5.04","4.52","","3.4","480"
"Pedro Astacio","Rockies","34","34","232.0","8.15","2.91","1.47",".326","70.2 %","","","5.04","4.56","","4.2","862"
"Carlton Loewer","Phillies","13","13","82.0","5.16","2.30","0.77",".308","62.0 %","","","5.05","3.87","","1.7","1713"
"Justin Thompson","Tigers","24","24","142.2","5.24","3.72","1.51",".281","71.7 %","","","5.11","5.48","","1.1","8217"
"Larry Luebbers","Cardinals","8","8","45.2","3.15","3.15","1.58",".244","70.6 %","","","5.12","5.96","","0.0","1007817"
"Brett Tomko","Reds","26","26","157.1","6.86","3.03","1.60",".290","67.6 %","","","5.15","5.01","","1.5","1056"
"Steve Avery","Reds","19","19","96.0","4.78","7.31","1.03",".225","66.4 %","","","5.16","6.03","","0.0","1706"
"Kevin Appier","- - -","34","34","209.0","5.64","3.62","1.16",".300","67.1 %","","","5.17","4.87","","2.7","3"
"Jim Parque","White Sox","30","30","170.2","5.59","4.11","1.16",".323","70.1 %","","","5.17","5.11","","1.7","250"
"Rolando Arrojo","Devil Rays","24","24","140.2","6.85","3.84","1.47",".326","74.6 %","","","5.18","5.32","","1.1","174"
"Frank Rodriguez","Mariners","5","5","26.0","6.23","4.50","1.38",".337","77.8 %","","","5.19","5.60","","0.1","1011106"
"Sean Bergman","Astros","16","16","93.0","3.58","2.13","0.77",".345","67.5 %","","","5.23","4.23","","1.3","1000881"
"Chan Ho Park","Dodgers","33","33","194.1","8.06","4.63","1.44",".314","72.5 %","","","5.23","5.18","","1.2","1267"
"Kyle Farnsworth","Cubs","21","21","116.2","4.86","3.70","2.01",".264","72.7 %","","","5.25","6.26","","-0.4","278"
"Pat Daneker","White Sox","2","2","12.0","2.25","3.75","0.75",".256","57.7 %","","","5.25","4.97","","0.1","1002964"
"Steve Sparks","Angels","26","26","145.0","4.47","4.90","1.30",".285","68.9 %","","","5.34","5.84","","0.5","499"
"Octavio Dotel","Mets","14","14","79.0","8.89","4.90","1.25",".264","66.6 %","","","5.35","4.83","","0.7","555"
"Pete Schourek","Pirates","17","17","84.0","6.75","3.75","1.71",".316","68.9 %","","","5.36","5.43","","0.3","1011608"
"Mark Portugal","Red Sox","27","27","143.2","4.57","2.32","1.69",".288","67.4 %","","","5.39","5.42","","0.6","1010460"
"Joe Grahe","Phillies","5","5","23.1","3.47","3.09","0.39",".359","64.9 %","","","5.40","4.08","","0.4","1004939"
"Kirk Rueter","Giants","33","33","184.2","4.58","2.68","1.36",".306","66.7 %","","","5.41","5.01","","1.4","1128"
"Jason Johnson","Orioles","21","21","114.2","5.57","4.24","1.18",".281","66.2 %","","","5.42","5.09","","1.1","147"
"Randy Wolf","Phillies","21","21","120.2","8.58","4.92","1.49",".306","71.3 %","","","5.44","5.15","","0.8","976"
"Chris Brock","Giants","19","19","106.2","6.41","3.46","1.52",".312","69.5 %","","","5.48","5.17","","0.7","130"
"Jin Ho Cho","Red Sox","7","7","36.0","3.75","1.50","1.75",".272","66.3 %","","","5.50","5.49","","0.1","1002203"
"Donovan Osborne","Cardinals","6","6","29.1","6.44","3.07","1.23",".323","69.3 %","","","5.52","4.70","","0.4","299"
"Andrew Lorraine","Cubs","11","11","61.2","5.84","3.21","1.31",".308","63.4 %","","","5.55","4.80","","0.7","1583"
"Steve Trachsel","Cubs","34","34","205.2","6.52","2.80","1.40",".300","64.5 %","","","5.56","4.68","","2.5","898"
"Scott Sanders","Cubs","6","6","30.2","7.34","3.23","2.35",".278","76.2 %","","","5.58","5.97","","0.0","1011423"
"Jeff Weaver","Tigers","29","29","162.2","6.25","3.10","1.49",".297","68.7 %","","","5.59","5.25","","1.6","503"
"Carl Pavano","Expos","18","18","103.0","6.03","2.88","0.70",".318","61.8 %","","","5.59","3.88","","2.1","790"
"Jason Bere","- - -","14","14","62.2","6.32","6.75","1.15",".310","67.4 %","","","5.60","5.73","","0.1","266"
"Brian Meadows","Marlins","31","31","178.1","3.63","2.88","1.56",".290","68.4 %","","","5.60","5.63","","0.3","998"
"Jay Witasick","Royals","28","28","151.0","6.08","4.47","1.31",".331","69.3 %","","","5.60","5.33","","1.3","1138"
"Mike Oquist","Athletics","24","24","125.0","5.76","4.18","1.01",".320","67.4 %","","","5.62","4.75","","1.6","1009828"
"Dan Serafini","Cubs","4","4","19.0","2.37","5.21","0.95",".286","62.9 %","","","5.68","5.71","","0.0","1812"
"Jose Jimenez","Cardinals","28","28","161.0","6.20","3.80","0.89",".300","61.0 %","","","5.70","4.52","","2.3","435"
"Chad Ogea","Phillies","28","28","153.0","4.18","3.41","1.88",".279","70.6 %","","","5.71","6.14","","-0.5","1009744"
"Doug Linton","Orioles","8","8","47.0","4.79","3.06","1.91",".310","74.2 %","","","5.74","5.98","","0.0","1662"
"Mark Redman","Twins","1","1","4.2","5.79","5.79","0.00",".267","57.1 %","","","5.79","3.78","","0.1","491"
"Jimmy Haynes","Athletics","25","25","135.0","5.93","4.73","1.13",".299","62.0 %","","","5.80","5.07","","1.3","329"
"Bobby Jones","Mets","9","9","52.2","4.27","1.54","0.51",".321","57.3 %","","","5.81","3.55","","1.2","1039"
"Bobby Witt","Devil Rays","32","32","180.1","6.14","4.79","1.15",".333","65.1 %","","","5.84","5.07","","1.8","1014170"
"Kelvim Escobar","Blue Jays","30","30","168.0","6.54","4.18","1.02",".336","65.9 %","","","5.84","4.72","","2.2","1298"
"Tim Wakefield","Red Sox","17","17","93.2","5.67","4.42","1.25",".306","62.5 %","","","5.86","5.31","","0.5","219"
"Dan Wheeler","Devil Rays","6","6","30.2","9.39","3.82","2.05",".333","73.3 %","","","5.87","5.29","","0.2","120"
"Buddy Carlyle","Padres","7","7","37.2","6.93","4.06","1.67",".271","59.7 %","","","5.97","5.52","","0.0","2010"
"John Burkett","Rangers","25","25","129.1","5.98","2.99","1.11",".340","64.5 %","","","5.98","4.48","","2.2","179"
"Bryan Rekar","Devil Rays","12","12","63.0","4.43","3.00","1.29",".348","65.4 %","","","6.00","5.24","","0.5","625"
"Rafael Roque","Brewers","9","9","39.0","5.54","4.85","1.62",".331","71.4 %","","","6.00","5.85","","0.0","1011191"
"Bobby Jones","Rockies","20","20","100.0","5.94","6.39","1.62",".298","68.2 %","","","6.03","6.43","","0.1","1454"
"Anthony Shumaker","Phillies","4","4","19.1","6.98","5.59","0.93",".323","62.1 %","","","6.05","4.94","","0.2","1011943"
"Jaret Wright","Indians","26","26","133.2","6.13","5.18","1.21",".303","63.6 %","","","6.06","5.41","","1.0","415"
"Odalis Perez","Braves","17","17","92.0","7.83","5.18","1.17",".318","64.6 %","","","6.07","4.85","","0.9","668"
"Ed Yarnall","Yankees","2","2","10.1","5.23","6.10","0.87",".278","60.2 %","","","6.10","5.26","","0.1","1014322"
"Bill Pulsipher","Brewers","16","16","82.1","4.04","3.72","1.97",".269","63.9 %","","","6.12","6.39","","-0.4","842"
"Dan Smith","Expos","17","17","83.2","7.21","3.98","1.18",".340","64.0 %","","","6.13","4.71","","1.0","1521"
"Robert Ramsay","Mariners","3","3","14.2","6.14","4.30","1.23",".356","67.6 %","","","6.14","4.97","","0.1","1010682"
"Mac Suzuki","- - -","13","13","61.0","5.61","4.87","1.48",".299","60.9 %","","","6.20","5.89","","0.1","1485"
"Brian Bohanon","Rockies","33","33","197.1","5.47","4.20","1.37",".318","65.3 %","","","6.20","5.51","","1.8","1001126"
"Jaime Navarro","White Sox","27","27","151.1","4.16","4.04","1.67",".311","64.0 %","","","6.24","6.16","","0.0","1009465"
"Chris Peters","Pirates","11","11","55.2","5.66","3.56","2.26",".304","69.4 %","","","6.31","6.44","","-0.3","1010225"
"Chris Haney","Indians","4","4","21.1","6.33","3.80","0.84",".357","61.4 %","","","6.33","4.35","","0.4","192"
"Joey Hamilton","Blue Jays","18","18","94.2","5.13","3.42","1.24",".316","62.0 %","","","6.37","5.01","","0.9","328"
"Heath Murray","Padres","8","8","39.1","4.12","3.66","1.60",".319","69.3 %","","","6.41","5.83","","-0.1","1510"
"Dwight Gooden","Indians","22","22","106.2","6.67","5.06","1.35",".322","62.5 %","","","6.41","5.54","","0.6","1004852"
"Mike Fyhrie","Angels","7","7","33.2","4.28","3.74","1.34",".311","63.3 %","","","6.42","5.36","","0.3","1447"
"Tony Saunders","Devil Rays","9","9","42.0","6.43","6.21","1.29",".348","60.6 %","","","6.43","5.92","","0.1","1011463"
"Steve Schrenk","Phillies","2","2","8.1","4.32","2.16","0.00",".355","57.1 %","","","6.48","3.25","","0.2","1011614"
"Juan Acevedo","Cardinals","12","12","59.2","4.37","4.68","1.51",".303","64.4 %","","","6.49","6.05","","0.0","458"
"Mike Morgan","Rangers","25","25","123.0","3.66","3.29","1.61",".322","62.0 %","","","6.51","5.89","","0.4","67"
"Ramon Ortiz","Angels","9","9","48.1","8.19","4.66","1.30",".307","62.5 %","","","6.52","4.87","","0.6","27"
"Aaron Myette","White Sox","3","3","13.2","6.59","7.90","1.32",".295","71.4 %","","","6.59","6.43","","0.0","1263"
"Darryl Kile","Rockies","32","32","190.2","5.48","5.15","1.56",".308","64.7 %","","","6.61","5.98","","0.9","1163"
"LaTroy Hawkins","Twins","33","33","174.1","5.32","3.10","1.50",".343","63.1 %","","","6.66","5.16","","1.4","729"
"John Snyder","White Sox","25","25","129.1","4.66","3.41","1.88",".309","64.6 %","","","6.68","6.09","","0.1","1012253"
"Mark Gardner","Giants","21","21","122.1","5.74","3.83","1.77",".261","59.6 %","","","6.69","5.88","","-0.1","1004529"
"Tim Belcher","Angels","24","24","132.1","3.54","3.13","1.84",".300","63.5 %","","","6.73","6.16","","0.1","1000789"
"Jeff Fassero","- - -","27","27","145.0","6.39","4.59","2.17",".325","68.2 %","","","6.77","6.46","","-0.6","279"
"Dave Borkowski","Tigers","12","12","66.1","5.83","4.88","1.36",".310","58.4 %","","","6.92","5.52","","0.5","2002"
"Jim Pittsley","Royals","5","5","23.1","2.70","5.79","0.77",".344","58.4 %","","","6.94","5.71","","0.1","1010379"
"Jesus Sanchez","Marlins","10","10","42.2","7.59","7.17","2.32",".328","74.0 %","","","6.96","7.33","","-0.6","1476"
