"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Al Levine","Angels","1","1","4.0","4.50","0.00","0.00",".231","100.0 %","","","0.00","2.13","","0.2","20"
"Mike Stanton","Yankees","1","1","4.0","6.75","2.25","0.00",".200","100.0 %","","","0.00","2.38","","0.2","849"
"Tanyon Sturtze","White Sox","1","1","6.0","3.00","3.00","0.00",".222","100.0 %","","","0.00","3.47","","0.2","1230"
"Matt Perisho","Rangers","1","1","6.0","18.00","0.00","0.00",".286","100.0 %","","","0.00","-0.87","","0.5","1423"
"Juan Pena","Red Sox","2","2","13.0","10.38","2.08","0.00",".290","91.7 %","","","0.69","1.52","","0.7","1010149"
"Tony Armas Jr.","Expos","1","1","6.0","3.00","3.00","0.00",".333","60.0 %","","","1.50","3.47","","0.2","761"
"Ron Mahay","Athletics","1","1","5.0","9.00","3.60","0.00",".250","80.0 %","","","1.80","2.33","","0.2","290"
"Reid Cornelius","Marlins","2","2","13.2","5.27","1.98","0.00",".244","76.9 %","","","1.98","2.62","","0.5","1002634"
"Pedro Martinez","Red Sox","29","29","208.1","13.22","1.56","0.35",".325","76.9 %","","","2.07","1.33","","11.6","200"
"Eric Gagne","Dodgers","5","5","30.0","9.00","4.50","0.90",".211","86.8 %","","","2.10","3.93","","0.6","650"
"Jeff Juden","Yankees","1","1","3.2","17.18","7.36","2.45",".286","17.9 %","","","2.45","6.13","","0.0","1006643"
"Randy Johnson","Diamondbacks","35","35","271.2","12.06","2.32","0.99",".292","82.0 %","","","2.48","2.76","","9.5","60"
"Jimmy Anderson","Pirates","4","4","20.1","4.43","3.54","0.44",".258","74.2 %","","","2.66","4.12","","0.4","977"
"Kevin Millwood","Braves","33","33","228.0","8.09","2.33","0.95",".235","76.5 %","","","2.68","3.53","","5.5","106"
"Mark Thompson","Cardinals","5","5","29.1","6.75","5.22","0.31",".284","75.7 %","","","2.76","4.02","","0.6","1013019"
"Mike Hampton","Astros","34","34","239.0","6.67","3.80","0.45",".284","76.6 %","","","2.90","3.64","","4.9","430"
"Bret Saberhagen","Red Sox","22","22","119.0","6.13","0.83","0.83",".296","76.9 %","","","2.95","3.30","","3.3","1011355"
"Kevin Brown","Dodgers","35","35","252.0","7.89","2.11","0.68",".268","71.0 %","","","3.00","3.15","","7.3","642"
"Ramon Martinez","Red Sox","4","4","20.2","6.53","3.48","0.87",".211","75.5 %","","","3.05","4.39","","0.3","1008193"
"John Smoltz","Braves","29","29","186.1","7.53","1.93","0.68",".289","73.8 %","","","3.19","3.14","","5.4","115"
"Brian Boehringer","Padres","11","11","61.2","4.09","2.77","0.88",".284","78.6 %","","","3.21","4.46","","0.8","984"
"Tim Hudson","Athletics","21","21","136.1","8.71","4.09","0.53",".302","74.5 %","","","3.23","3.41","","3.8","921"
"Paul Abbott","Mariners","7","7","43.2","8.66","3.30","1.44",".231","69.7 %","","","3.30","4.39","","0.7","1061"
"Steve Parris","Reds","21","21","125.1","6.10","3.59","1.08",".282","77.6 %","","","3.37","4.67","","1.6","1316"
"Alex Fernandez","Marlins","24","24","141.0","5.81","2.62","0.64",".282","72.3 %","","","3.38","3.72","","3.1","1003993"
"David Cone","Yankees","31","31","193.1","8.24","4.19","0.98",".271","76.8 %","","","3.44","4.28","","3.4","1680"
"A.J. Burnett","Marlins","7","7","41.1","7.19","5.44","0.65",".281","67.5 %","","","3.48","4.30","","0.6","512"
"Mike Mussina","Orioles","31","31","203.1","7.61","2.30","0.71",".318","72.4 %","","","3.50","3.25","","6.0","837"
"Bryce Florie","- - -","5","5","23.0","5.87","2.74","0.78",".311","75.3 %","","","3.52","3.87","","0.5","1004172"
"Todd Ritchie","Pirates","26","26","170.2","5.59","2.85","0.90",".285","73.1 %","","","3.53","4.21","","2.8","253"
"Allen Watson","Mets","4","4","20.1","6.64","4.43","1.33",".250","84.0 %","","","3.54","5.20","","0.1","1013675"
"Curt Schilling","Phillies","24","24","180.1","7.59","2.20","1.25",".263","77.5 %","","","3.54","4.07","","3.3","73"
"Greg Maddux","Braves","33","33","219.1","5.58","1.52","0.66",".324","70.9 %","","","3.57","3.40","","5.6","104"
"Jose Lima","Astros","35","35","246.1","6.83","1.61","1.10",".297","74.6 %","","","3.58","3.76","","4.7","475"
"Omar Daal","Diamondbacks","32","32","214.2","6.20","3.31","0.88",".261","74.4 %","","","3.65","4.23","","3.7","646"
"Pete Harnisch","Reds","33","33","198.1","5.45","2.59","1.13",".264","76.5 %","","","3.68","4.50","","2.9","1005374"
"Joe Mays","Twins","20","20","118.2","6.22","3.26","0.91",".271","72.9 %","","","3.72","4.18","","2.2","740"
