"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Yusmeiro Petit","Angels","1","1","4.0","11.25","0.00","0.00",".300","66.7 %","30.0 %","0.0 %","0.00","0.66","2.88","0.3","4020"
"Matt Grace","Nationals","1","1","4.1","2.08","2.08","0.00",".154","100.0 %","54.5 %","0.0 %","0.00","3.39","4.62","0.1","11449"
"Zach Lee","Padres","1","1","5.1","5.06","6.75","0.00",".133","100.0 %","33.3 %","0.0 %","0.00","4.28","7.28","0.1","11468"
"Ross Stripling","Dodgers","2","2","5.0","9.00","3.60","0.00",".167","100.0 %","50.0 %","0.0 %","0.00","2.36","3.78","0.2","13273"
"Tyler Danish","White Sox","1","1","5.0","10.80","10.80","0.00",".273","100.0 %","36.4 %","0.0 %","0.00","4.36","5.78","0.1","15126"
"Bud Norris","Angels","3","3","8.1","7.56","3.24","0.00",".261","88.9 %","52.2 %","0.0 %","1.08","2.56","4.27","0.3","9492"
"Bryan Mitchell","Yankees","1","1","5.0","3.60","3.60","0.00",".316","75.0 %","57.9 %","0.0 %","1.80","3.56","5.34","0.1","11479"
"Ryan Merritt","Indians","4","4","19.2","3.20","1.83","0.00",".338","79.3 %","54.1 %","0.0 %","1.83","3.06","4.41","0.6","13688"
"Daniel Wright","Angels","2","2","9.1","6.75","2.89","0.00",".333","69.2 %","30.8 %","0.0 %","1.93","2.94","4.47","0.3","15179"
"Corey Kluber","Indians","29","29","203.2","11.71","1.59","0.93",".267","82.6 %","44.5 %","13.5 %","2.25","2.50","2.52","7.3","2429"
"Garrett Richards","Angels","6","6","27.2","8.78","2.28","0.33",".233","72.0 %","54.2 %","4.8 %","2.28","2.43","3.32","1.0","9784"
"Clayton Kershaw","Dodgers","27","27","175.0","10.39","1.54","1.18",".267","87.4 %","47.9 %","15.9 %","2.31","3.07","2.84","4.6","2036"
"Lucas Giolito","White Sox","7","7","45.1","6.75","2.38","1.59",".189","92.0 %","45.0 %","17.8 %","2.38","4.94","4.42","0.3","15474"
"Ryan Weber","Mariners","1","1","3.2","0.00","0.00","0.00",".214","66.7 %","50.0 %","0.0 %","2.45","3.16","5.58","0.1","10160"
"Max Scherzer","Nationals","31","31","200.2","12.02","2.47","0.99",".245","80.7 %","36.5 %","10.8 %","2.51","2.90","3.28","6.0","3137"
"Stephen Strasburg","Nationals","28","28","175.1","10.47","2.41","0.67",".274","77.9 %","46.8 %","8.7 %","2.52","2.72","3.27","5.6","10131"
"Randall Delgado","Diamondbacks","5","5","25.0","8.64","1.80","0.72",".338","80.9 %","45.6 %","11.8 %","2.52","2.88","3.05","0.8","5985"
"Tyler Mahle","Reds","4","4","20.0","6.30","4.95","0.00",".302","82.4 %","52.5 %","0.0 %","2.70","4.01","5.79","0.3","16358"
"Chase Anderson","Brewers","25","25","141.1","8.47","2.61","0.89",".265","80.6 %","39.2 %","8.6 %","2.74","3.58","4.33","3.3","6895"
"Alex Wood","Dodgers","25","25","147.0","9.00","2.27","0.92",".277","80.0 %","52.4 %","13.9 %","2.82","3.36","3.34","3.3","13781"
"Mike Clevinger","Indians","21","21","114.0","9.95","4.26","0.87",".269","80.4 %","39.6 %","10.7 %","2.84","3.70","4.05","2.3","12808"
"Robbie Ray","Diamondbacks","28","28","162.0","12.11","3.94","1.28",".267","84.5 %","40.3 %","15.6 %","2.89","3.72","3.49","3.2","11486"
"Chris Sale","Red Sox","32","32","214.1","12.93","1.81","1.01",".301","78.4 %","38.7 %","12.1 %","2.90","2.45","2.65","7.7","10603"
"Dallas Keuchel","Astros","23","23","145.2","7.72","2.90","0.93",".256","79.9 %","66.8 %","21.1 %","2.90","3.79","3.32","2.5","9434"
"Gio Gonzalez","Nationals","32","32","201.0","8.42","3.54","0.94",".258","81.6 %","45.8 %","11.1 %","2.96","3.93","4.24","3.3","7448"
"Noah Syndergaard","Mets","7","7","30.1","10.09","0.89","0.00",".337","57.6 %","57.6 %","0.0 %","2.97","1.31","2.48","1.4","11762"
"James Paxton","Mariners","24","24","136.0","10.32","2.45","0.60",".300","75.5 %","44.9 %","7.8 %","2.98","2.61","3.25","4.6","11828"
"Luis Severino","Yankees","31","31","193.1","10.71","2.37","0.98",".272","75.5 %","50.6 %","14.0 %","2.98","3.07","3.04","5.7","15890"
"Chris Stratton","Giants","10","10","51.1","7.71","4.38","0.88",".299","83.8 %","40.9 %","11.1 %","2.98","4.23","4.52","0.5","13761"
"Kyle Hendricks","Cubs","24","24","139.2","7.93","2.58","1.10",".281","82.5 %","50.1 %","14.8 %","3.03","3.88","3.76","2.5","12049"
"Marcus Stroman","Blue Jays","33","33","201.0","7.34","2.78","0.94",".310","78.1 %","62.1 %","17.8 %","3.09","3.90","3.58","3.4","13431"
"Luis Castillo","Reds","15","15","89.1","9.87","3.22","1.11",".247","80.1 %","58.8 %","17.2 %","3.12","3.74","3.41","1.7","15689"
"Daniel Mengden","Athletics","7","7","43.0","6.07","1.88","1.26",".240","79.2 %","39.2 %","11.1 %","3.14","4.25","4.67","0.6","16980"
"Andrew Albers","Mariners","6","6","31.1","7.18","2.01","1.15",".300","68.7 %","34.0 %","10.0 %","3.16","3.99","4.60","0.5","7853"
"Zack Greinke","Diamondbacks","32","32","202.1","9.56","2.00","1.11",".285","75.3 %","46.8 %","13.4 %","3.20","3.31","3.34","5.1","1943"
"Paul Blackburn","Athletics","10","10","58.2","3.38","2.45","0.77",".273","77.9 %","56.3 %","10.2 %","3.22","4.38","4.76","0.6","14739"
"Brad Peacock","Astros","21","21","111.2","10.88","3.71","0.73",".298","76.6 %","43.7 %","8.8 %","3.22","3.08","3.65","3.1","5401"
"Jake Thompson","Phillies","8","8","41.1","6.97","3.92","1.74",".295","80.7 %","48.1 %","17.0 %","3.27","5.79","5.30","0.0","14371"
"Ervin Santana","Twins","33","33","211.1","7.11","2.60","1.32",".245","79.5 %","41.2 %","11.8 %","3.28","4.46","4.77","2.9","3200"
"Carlos Carrasco","Indians","32","32","200.0","10.17","2.07","0.95",".307","78.2 %","45.2 %","12.4 %","3.29","3.10","3.24","5.5","6632"
"Drew Pomeranz","Red Sox","32","32","173.2","9.02","3.58","0.98",".310","80.0 %","43.2 %","11.2 %","3.32","3.84","4.15","3.1","11426"
"Rich Hill","Dodgers","25","25","135.2","11.01","3.25","1.19",".261","80.4 %","36.9 %","12.5 %","3.32","3.72","3.88","2.6","4806"
