"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Eric Knott","Diamondbacks","1","1","3.2","9.82","0.00","0.00",".467","11.1 %","","","0.00","2.50","","0.1","62"
"Chad Zerbe","Giants","1","1","5.0","3.60","5.40","0.00",".125","60.0 %","","","0.00","4.05","","0.1","1140"
"Jason Standridge","Devil Rays","1","1","6.1","7.11","1.42","0.00",".235","100.0 %","","","0.00","1.94","","0.3","1229"
"Carlos Hernandez","Astros","3","3","17.2","8.66","3.57","0.51",".222","96.4 %","","","1.02","3.05","","0.5","560"
"Derek Lowe","Red Sox","3","3","16.0","8.44","1.13","0.00",".308","85.7 %","","","1.13","1.55","","0.8","199"
"Josh Beckett","Marlins","4","4","24.0","9.00","4.13","1.13",".183","78.0 %","","","1.50","4.17","","0.3","510"
"Kevin Olsen","Marlins","2","2","12.0","8.25","1.50","0.00",".324","84.6 %","","","1.50","1.72","","0.5","533"
"Lou Pote","Angels","1","1","5.0","1.80","1.80","1.80",".188","100.0 %","","","1.80","5.85","","0.0","30"
"Manny Aybar","Cubs","1","1","5.0","7.20","1.80","1.80",".083","100.0 %","","","1.80","4.65","","0.0","1107"
"Mark Leiter","Brewers","3","3","12.2","6.39","0.71","1.42",".143","80.7 %","","","2.13","4.15","","0.2","1007501"
"Giovanni Carrara","Dodgers","3","3","16.0","5.63","2.81","1.69",".174","100.0 %","","","2.25","5.17","","0.1","643"
"Joel Pineiro","Mariners","11","11","61.0","6.34","2.36","0.30",".256","67.5 %","","","2.36","2.95","","1.8","1094"
"Pedro Martinez","Red Sox","18","18","116.2","12.57","1.93","0.39",".307","75.9 %","","","2.39","1.61","","5.5","200"
"Rolando Arrojo","Red Sox","9","9","48.1","7.26","3.17","0.37",".226","74.2 %","","","2.42","3.34","","1.1","174"
"Randy Johnson","Diamondbacks","34","34","242.2","13.20","2.60","0.70",".317","80.4 %","","","2.56","2.22","","9.7","60"
"Kevin Brown","Dodgers","19","19","114.1","8.11","2.99","0.63",".275","75.5 %","","","2.68","3.21","","3.0","642"
"Roy Halladay","Blue Jays","16","16","103.0","8.30","1.92","0.26",".297","72.0 %","","","2.71","2.25","","4.0","1303"
"Roy Oswalt","Astros","20","20","127.2","9.16","1.20","0.92",".291","78.3 %","","","2.82","2.85","","4.0","571"
"Curt Schilling","Diamondbacks","35","35","256.2","10.27","1.37","1.30",".307","84.8 %","","","2.98","3.11","","7.2","73"
"Alan Benes","Cardinals","1","1","6.0","9.00","4.50","1.50",".143","87.0 %","","","3.00","4.72","","0.1","265"
"Steve Green","Angels","1","1","6.0","6.00","9.00","0.00",".235","80.0 %","","","3.00","4.72","","0.1","1005012"
"John Burkett","Braves","34","34","219.1","7.67","2.87","0.70",".273","75.3 %","","","3.04","3.39","","5.1","179"
"Greg Maddux","Braves","34","34","233.0","6.68","1.04","0.77",".286","74.3 %","","","3.05","3.12","","6.3","104"
"Freddy Garcia","Mariners","34","34","238.2","6.15","2.60","0.60",".255","73.8 %","","","3.05","3.48","","5.3","1077"
"Darryl Kile","Cardinals","34","34","227.1","7.09","2.57","0.87",".303","80.9 %","","","3.09","3.74","","4.5","1163"
"Mike Mussina","Yankees","34","34","228.2","8.42","1.65","0.79",".289","73.2 %","","","3.15","2.92","","6.9","837"
"Joe Mays","Twins","34","34","233.2","4.74","2.47","0.96",".243","78.2 %","","","3.16","4.27","","3.1","740"
