"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Brian Reith","Reds","1","1","5.0","1.80","3.60","0.00",".133","100.0 %","20.0 %","0.0 %","0.00","3.83","6.75","0.1","347"
"Jorge DePaula","Yankees","1","1","6.1","8.53","1.42","0.00",".071","100.0 %","35.7 %","0.0 %","0.00","1.61","3.22","0.3","1827"
"Rodrigo Rosario","Astros","2","2","8.0","6.75","3.38","0.00",".217","77.8 %","26.1 %","0.0 %","1.13","3.03","5.04","0.2","1747"
"Kevin Gregg","Angels","3","3","20.0","5.85","2.25","0.45",".185","89.7 %","30.9 %","4.2 %","1.35","3.28","4.38","0.6","1793"
"Edwin Jackson","Dodgers","3","3","19.0","7.11","4.74","0.95",".191","99.0 %","43.8 %","11.8 %","1.42","4.56","4.49","0.2","1841"
"Brandon Claussen","Yankees","1","1","6.1","7.11","1.42","1.42",".333","92.1 %","40.9 %","11.1 %","1.42","3.98","4.00","0.1","814"
"Ryan Rupe","Red Sox","1","1","6.0","6.00","0.00","1.50",".318","75.8 %","39.1 %","11.1 %","1.50","3.86","3.89","0.1","1223"
"Matt Riley","Orioles","2","2","10.0","7.20","4.50","0.90",".222","94.3 %","42.9 %","8.3 %","1.80","4.23","4.68","0.2","164"
"Kiko Calero","Cardinals","1","1","5.0","16.20","3.60","0.00",".333","80.0 %","37.5 %","0.0 %","1.80","0.63","0.92","0.3","1676"
"Chad Zerbe","Giants","1","1","4.2","1.93","3.86","0.00",".333","87.5 %","50.0 %","0.0 %","1.93","3.89","4.83","0.1","1140"
"Trey Hodges","Braves","1","1","4.2","5.79","3.86","0.00",".167","75.0 %","33.3 %","0.0 %","1.93","3.03","4.91","0.1","1608"
"Pedro Martinez","Red Sox","29","29","186.2","9.93","2.27","0.34",".292","78.2 %","41.2 %","4.0 %","2.22","2.21","3.08","7.4","200"
"Jason Schmidt","Giants","29","29","207.2","9.01","1.99","0.61",".253","80.2 %","37.0 %","6.2 %","2.34","2.64","3.35","6.6","1131"
"Jose Contreras","Yankees","9","9","57.2","8.90","2.97","0.62",".233","81.6 %","50.0 %","9.3 %","2.34","3.20","3.39","1.5","1660"
"Kevin Brown","Dodgers","32","32","211.0","7.89","2.39","0.47",".289","77.5 %","62.5 %","10.7 %","2.39","2.82","2.86","6.1","642"
"Mark Prior","Cubs","30","30","211.1","10.43","2.13","0.64",".309","79.2 %","41.0 %","7.5 %","2.43","2.47","2.92","7.8","301"
"Tony Armas Jr.","Expos","5","5","31.0","6.68","2.32","1.16",".239","88.0 %","30.0 %","9.5 %","2.61","4.10","4.39","0.5","761"
"Eric Milton","Twins","3","3","17.0","3.71","0.53","1.06",".232","83.3 %","25.9 %","6.9 %","2.65","3.91","4.87","0.3","743"
"Wilson Alvarez","Dodgers","12","12","70.2","7.13","2.29","0.38",".301","76.7 %","36.8 %","3.8 %","2.67","2.85","3.93","2.1","1193"
"Tim Hudson","Athletics","34","34","240.0","6.07","2.29","0.56",".253","74.5 %","57.9 %","9.0 %","2.70","3.38","3.58","5.8","921"
"Masao Kida","Dodgers","2","2","10.0","5.40","2.70","0.00",".361","75.0 %","52.8 %","0.0 %","2.70","2.73","4.48","0.3","1800"
"Jose Acevedo","Reds","4","4","26.0","7.96","1.73","1.04",".197","78.7 %","36.4 %","9.7 %","2.77","3.45","3.69","0.7","307"
"Johan Santana","Twins","18","18","110.1","8.89","2.20","1.14",".244","81.0 %","30.2 %","9.9 %","2.85","3.47","3.68","2.5","755"
"Brandon Webb","Diamondbacks","28","28","179.2","8.57","3.36","0.60",".265","76.3 %","63.7 %","15.4 %","2.86","3.33","3.10","4.3","1692"
"Esteban Loaiza","White Sox","34","34","226.1","8.23","2.23","0.68",".283","78.5 %","46.4 %","8.7 %","2.90","3.05","3.34","6.9","1310"
"Curt Schilling","Diamondbacks","24","24","168.0","10.39","1.71","0.91",".297","78.0 %","41.5 %","10.8 %","2.95","2.66","2.71","5.6","73"
"Roy Oswalt","Astros","21","21","127.1","7.63","2.05","1.06",".283","79.1 %","46.3 %","12.9 %","2.97","3.67","3.46","2.6","571"
"Dustin Hermanson","Giants","6","6","33.1","5.94","2.70","1.35",".248","85.3 %","42.9 %","12.5 %","2.97","4.65","4.45","0.3","195"
"Josh Beckett","Marlins","23","23","141.0","9.64","3.57","0.57",".322","76.5 %","47.1 %","7.3 %","3.06","2.95","3.41","4.0","510"
"Hideo Nomo","Dodgers","33","33","218.1","7.30","4.04","0.99",".253","79.9 %","39.8 %","10.4 %","3.09","4.20","4.31","3.3","666"
"Carlos Zambrano","Cubs","32","32","214.0","7.07","3.95","0.38",".286","73.0 %","55.4 %","6.4 %","3.11","3.47","3.88","4.7","305"
"Mark Mulder","Athletics","26","26","186.2","6.17","1.93","0.72",".294","77.6 %","55.7 %","10.6 %","3.13","3.38","3.44","4.5","932"
