"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"James Russell","Braves","1","1","4.0","9.00","2.25","0.00",".222","100.0 %","66.7 %","0.0 %","0.00","1.88","2.19","0.1","4089"
"Carlos Torres","Mets","1","1","5.0","10.80","3.60","0.00",".250","100.0 %","41.7 %","0.0 %","0.00","1.93","3.42","0.2","7624"
"Nick Greenwood","Cardinals","1","1","3.0","3.00","0.00","0.00",".111","100.0 %","66.7 %","0.0 %","0.00","2.47","2.88","0.1","8182"
"Steven Wright","Red Sox","1","1","5.0","7.20","3.60","0.00",".250","66.7 %","60.0 %","0.0 %","0.00","2.73","3.47","0.1","8185"
"Kyle Ryan","Tigers","1","1","6.0","1.50","3.00","0.00",".238","100.0 %","71.4 %","0.0 %","0.00","3.80","4.83","0.1","11753"
"Alex Colome","Rays","3","3","18.2","6.27","2.89","0.00",".231","94.4 %","38.5 %","0.0 %","0.48","2.70","4.03","0.5","6661"
"Derek Holland","Rangers","5","5","34.1","6.29","1.05","0.00",".295","82.9 %","39.2 %","0.0 %","1.31","2.08","3.63","1.2","4141"
"Jason Lane","Padres","1","1","6.0","3.00","0.00","1.50",".227","100.0 %","43.5 %","12.5 %","1.50","4.63","4.11","0.0","1397"
"Clayton Kershaw","Dodgers","27","27","198.1","10.85","1.41","0.41",".278","81.6 %","51.8 %","6.6 %","1.77","1.81","2.08","7.6","2036"
"Esmil Rogers","Yankees","1","1","5.0","5.40","1.80","0.00",".250","80.0 %","31.3 %","0.0 %","1.80","2.53","3.77","0.1","6317"
"Michael Pineda","Yankees","13","13","76.1","6.96","0.83","0.59",".233","80.4 %","39.1 %","5.4 %","1.89","2.71","3.37","2.2","5372"
"Red Patterson","Dodgers","1","1","4.2","1.93","5.79","0.00",".133","80.0 %","60.0 %","0.0 %","1.93","4.63","5.96","0.0","10710"
"Mike Fiers","Brewers","10","10","64.2","9.88","1.95","0.84",".221","81.1 %","35.3 %","8.5 %","2.09","2.79","2.94","1.8","7754"
"Lisalverto Bonilla","Rangers","3","3","17.0","7.41","5.29","0.53",".225","86.7 %","46.3 %","7.7 %","2.12","4.19","4.37","0.1","11266"
"Felix Hernandez","Mariners","34","34","236.0","9.46","1.75","0.61",".258","77.0 %","56.2 %","10.1 %","2.14","2.56","2.51","6.1","4772"
"Chris Sale","White Sox","26","26","174.0","10.76","2.02","0.67",".280","81.5 %","40.7 %","7.5 %","2.17","2.57","2.83","5.2","10603"
"Eric Jokisch","Cubs","1","1","4.0","4.50","9.00","2.25",".154","89.3 %","38.5 %","16.7 %","2.25","8.38","6.99","-0.1","11157"
"Johnny Cueto","Reds","34","34","243.2","8.94","2.40","0.81",".238","82.5 %","46.2 %","10.3 %","2.25","3.30","3.21","4.6","6893"
"Cory Rasmus","Angels","6","6","19.0","9.00","2.37","0.95",".196","83.3 %","39.6 %","9.5 %","2.37","3.29","3.29","0.4","2413"
"Adam Wainwright","Cardinals","32","32","227.0","7.10","1.98","0.40",".267","78.0 %","46.3 %","5.3 %","2.38","2.88","3.34","4.9","2233"
"Doug Fister","Nationals","25","25","164.0","5.38","1.32","0.99",".262","83.1 %","48.9 %","10.1 %","2.41","3.93","3.85","1.4","9425"
"Jose Fernandez","Marlins","8","8","51.2","12.19","2.26","0.70",".271","69.1 %","48.8 %","9.5 %","2.44","2.18","2.18","1.6","11530"
"Corey Kluber","Indians","34","34","235.2","10.27","1.95","0.53",".316","78.6 %","48.0 %","7.4 %","2.44","2.35","2.57","7.4","2429"
"David Hale","Braves","6","6","33.0","6.00","4.36","0.27",".263","76.9 %","46.5 %","3.3 %","2.45","3.65","4.38","0.4","9756"
"Jon Lester","- - -","32","32","219.2","9.01","1.97","0.66",".299","76.1 %","42.4 %","7.2 %","2.46","2.80","3.10","5.6","4930"
"Cole Hamels","Phillies","30","30","204.2","8.71","2.59","0.62",".295","81.9 %","46.4 %","8.2 %","2.46","3.07","3.21","4.3","4972"
