"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Hector Carrasco","Red Sox","1","1","2.0","9.00","4.50","0.00",".571","100.0 %","","","0.00","2.63","","0.1","1240"
"Derrick Turnbow","Angels","1","1","3.2","2.45","9.82","0.00",".182","100.0 %","","","0.00","5.86","","0.0","1694"
"Chuck McElroy","Orioles","2","2","11.0","4.09","2.45","0.00",".182","90.9 %","","","0.82","3.59","","0.3","1008477"
"Robert Ramsay","Mariners","1","1","6.0","6.00","4.50","0.00",".278","87.5 %","","","1.50","3.30","","0.2","1010682"
"Pedro Martinez","Red Sox","29","29","217.0","11.78","1.33","0.71",".236","86.6 %","","","1.74","2.17","","9.4","200"
"Randy Keisler","Yankees","1","1","5.0","3.60","5.40","0.00",".286","85.7 %","","","1.80","4.13","","0.1","830"
"Lou Pote","Angels","1","1","4.1","10.38","2.08","0.00",".333","80.0 %","","","2.08","1.52","","0.2","30"
"Kevin Brown","Dodgers","33","33","230.0","8.45","1.84","0.82",".255","77.6 %","","","2.58","3.17","","6.8","642"
"Randy Johnson","Diamondbacks","35","35","248.2","12.56","2.75","0.83",".326","77.4 %","","","2.64","2.53","","9.6","60"
"Jeff D'Amico","Brewers","23","23","162.1","5.60","2.55","0.78",".258","79.8 %","","","2.66","3.97","","3.3","871"
"Barry Zito","Athletics","14","14","92.2","7.58","4.37","0.58",".237","79.0 %","","","2.72","3.81","","2.1","944"
"Paxton Crawford","Red Sox","4","4","23.0","5.09","3.91","0.00",".264","63.3 %","","","2.74","3.44","","0.6","1002747"
"Tanyon Sturtze","- - -","6","6","32.2","6.61","1.93","0.83",".310","81.5 %","","","2.76","3.50","","0.9","1230"
"Amaury Telemaco","Phillies","2","2","12.2","7.82","2.13","1.42",".294","57.4 %","","","2.84","4.16","","0.2","1802"
"Scott Williamson","Reds","10","10","55.1","8.62","4.72","0.65",".281","78.7 %","","","2.93","3.84","","1.3","361"
"Greg Maddux","Braves","35","35","249.1","6.86","1.52","0.69",".274","74.3 %","","","3.00","3.23","","7.2","104"
"Joel Pineiro","Mariners","1","1","6.0","6.00","3.00","1.50",".222","89.3 %","","","3.00","4.97","","0.1","1094"
"Britt Reames","Cardinals","7","7","38.2","7.22","5.12","0.93",".221","74.3 %","","","3.03","4.66","","0.5","794"
"Carl Pavano","Expos","15","15","97.0","5.94","3.15","0.74",".276","76.0 %","","","3.06","4.19","","1.8","790"
"Mike Hampton","Mets","33","33","217.2","6.24","4.09","0.41",".278","73.9 %","","","3.14","3.82","","4.6","430"
"Tomo Ohka","Red Sox","12","12","68.0","5.16","3.44","0.93",".281","82.4 %","","","3.18","4.56","","0.9","788"
"Al Leiter","Mets","31","31","208.0","8.65","3.29","0.82",".276","75.7 %","","","3.20","3.65","","4.8","883"
"Chuck Smith","Marlins","19","19","122.2","8.66","3.96","0.44",".316","72.1 %","","","3.23","3.24","","3.4","1012114"
"Cliff Politte","Phillies","8","8","50.0","7.74","3.78","1.44",".263","87.4 %","","","3.24","4.75","","0.6","967"
"Stan Spencer","Padres","8","8","49.2","7.25","3.44","1.27",".264","77.9 %","","","3.26","4.62","","0.6","1012329"
"Chan Ho Park","Dodgers","34","34","226.0","8.64","4.94","0.84",".258","77.6 %","","","3.27","4.23","","3.9","1267"
"Paul Wilson","Devil Rays","7","7","41.0","7.24","2.20","0.22",".259","65.7 %","","","3.29","2.79","","1.5","1234"
"Tom Glavine","Braves","35","35","241.0","5.68","2.43","0.90",".265","73.8 %","","","3.40","4.03","","4.7","90"
"Rick Ankiel","Cardinals","30","30","173.0","9.99","4.58","1.09",".274","74.8 %","","","3.54","4.12","","3.4","1142"
"Joey Hamilton","Blue Jays","6","6","33.0","4.09","3.27","0.82",".243","76.7 %","","","3.55","4.68","","0.5","328"
"Brian Tollberg","Padres","19","19","118.0","5.80","2.67","0.99",".300","73.1 %","","","3.58","4.30","","1.7","1055"
"Frank Castillo","Blue Jays","24","24","137.0","6.83","3.68","1.18",".241","77.8 %","","","3.61","4.66","","2.0","180"
"Bruce Chen","Phillies","15","15","94.1","7.63","2.58","1.34",".257","78.3 %","","","3.63","4.26","","1.6","769"
"Robert Person","Phillies","28","28","173.1","8.52","4.93","0.67",".282","75.8 %","","","3.63","3.96","","3.4","966"
"Osvaldo Fernandez","Reds","14","14","79.0","4.10","3.53","0.68",".249","73.4 %","","","3.65","4.46","","1.3","1004000"
"Ryan Dempster","Marlins","33","33","226.1","8.31","3.86","1.19",".284","77.8 %","","","3.66","4.36","","3.4","517"
"Roger Clemens","Yankees","32","32","204.1","8.28","3.70","1.15",".277","75.3 %","","","3.70","4.33","","3.6","815"
"Mark Gardner","Giants","20","20","126.1","5.41","1.85","1.00",".273","74.0 %","","","3.70","4.06","","2.2","1004529"
