"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Brian Tallet","Blue Jays","1","1","2.1","7.71","15.43","0.00",".000","75.0 %","25.0 %","0.0 %","0.00","6.58","8.38","0.0","1646"
"Chris Sampson","Astros","3","3","14.2","3.68","1.84","0.61",".149","83.3 %","58.7 %","11.1 %","0.61","3.83","3.81","0.3","2651"
"Marty McLeary","Pirates","2","2","12.0","3.00","3.00","0.75",".211","100.0 %","36.1 %","5.6 %","0.75","4.56","5.59","0.1","2022"
"Matt Belisle","Reds","2","2","9.2","3.72","6.52","0.00",".267","93.3 %","56.7 %","0.0 %","0.93","4.49","5.51","0.1","1837"
"Tim Stauffer","Padres","1","1","6.0","3.00","1.50","0.00",".167","50.0 %","64.7 %","0.0 %","1.50","2.98","3.92","0.2","6432"
"Rick Bauer","Rangers","1","1","5.1","5.06","1.69","0.00",".294","83.3 %","41.2 %","0.0 %","1.69","2.58","4.69","0.2","125"
"Brian Slocum","Indians","2","2","10.0","6.30","2.70","0.90",".355","95.6 %","28.1 %","5.9 %","1.80","3.95","5.04","0.2","4705"
"Francisco Liriano","Twins","16","16","98.2","10.22","2.55","0.73",".237","85.2 %","56.7 %","14.5 %","1.92","2.81","2.54","2.9","3201"
"Ryan O'Malley","Cubs","2","2","12.2","2.84","4.97","0.00",".233","83.3 %","21.4 %","0.0 %","2.13","4.41","6.41","0.2","4412"
"Roger Clemens","Astros","19","19","113.1","8.10","2.30","0.56",".265","78.4 %","49.0 %","6.5 %","2.30","3.02","3.55","3.4","815"
"Anibal Sanchez","Marlins","17","17","110.0","5.48","3.60","0.49",".234","80.4 %","45.0 %","4.5 %","2.37","3.92","4.90","2.1","3284"
"Eric Stults","Dodgers","2","2","11.0","3.27","3.27","0.82",".156","69.8 %","35.5 %","7.1 %","2.45","4.69","5.30","0.1","8011"
"Jered Weaver","Angels","19","19","123.0","7.68","2.41","1.10",".237","86.2 %","30.3 %","8.4 %","2.56","3.90","4.36","2.5","4235"
"Devern Hansack","Red Sox","2","2","10.0","7.20","0.90","1.80",".160","95.2 %","48.1 %","22.2 %","2.70","4.45","3.11","0.1","4939"
"Johan Santana","Twins","34","34","233.2","9.44","1.81","0.92",".269","77.7 %","40.4 %","9.9 %","2.77","3.04","3.16","6.7","755"
"Roy Oswalt","Astros","32","32","219.2","6.76","1.56","0.70",".302","78.5 %","48.7 %","8.2 %","2.95","3.25","3.58","6.2","571"
