"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jon Rauch","Nationals","1","1","3.0","9.00","6.00","0.00",".250","100.0 %","28.6 %","0.0 %","0.00","3.02","3.94","0.1","1475"
"Cal Eldred","Cardinals","1","1","3.0","6.00","3.00","0.00",".222","100.0 %","62.5 %","0.0 %","0.00","2.69","3.15","0.1","1653"
"Jorge Campillo","Mariners","1","1","1.0","0.00","0.00","0.00",".250","100.0 %","0.0 %","0.0 %","0.00","3.02","5.78","0.0","8686"
"Brian Cooper","Giants","1","1","7.0","3.86","2.57","0.00",".190","83.3 %","30.0 %","0.0 %","1.29","3.02","5.38","0.2","1295"
"Lenny DiNardo","Red Sox","1","1","6.0","9.00","1.50","1.50",".353","60.6 %","72.2 %","25.0 %","1.50","3.69","2.44","0.1","1894"
"Clay Hensley","Padres","1","1","5.0","0.00","3.60","0.00",".211","50.0 %","52.6 %","0.0 %","1.80","4.22","5.60","0.0","4593"
"Zach Duke","Pirates","14","14","84.2","6.17","2.44","0.32",".298","84.2 %","47.2 %","4.5 %","1.81","3.00","3.61","2.2","3840"
"Roger Clemens","Astros","32","32","211.1","7.88","2.64","0.47",".243","82.3 %","49.0 %","6.4 %","1.87","2.87","3.31","6.0","815"
"Hector Carrasco","Nationals","5","5","26.2","9.11","4.39","0.34",".234","83.3 %","42.6 %","5.0 %","2.02","2.95","3.49","0.7","1240"
"Paul Maholm","Pirates","6","6","41.1","5.66","3.70","0.44",".242","85.1 %","55.4 %","6.7 %","2.18","3.84","4.21","0.6","8678"
"Rick Helling","Brewers","7","7","41.1","7.62","3.27","0.44",".259","83.7 %","30.1 %","3.4 %","2.18","3.12","4.42","1.2","58"
"Jonathan Papelbon","Red Sox","3","3","16.0","8.44","5.63","1.13",".310","90.9 %","41.9 %","12.5 %","2.25","5.02","4.77","0.1","5975"
"Matt Cain","Giants","7","7","46.1","5.83","3.69","0.78",".156","82.9 %","29.5 %","5.9 %","2.33","4.08","4.98","0.7","4732"
"Andy Pettitte","Astros","33","33","222.1","6.92","1.66","0.69",".266","79.7 %","50.2 %","9.8 %","2.39","3.07","3.15","5.8","840"
"Roy Halladay","Blue Jays","19","19","141.2","6.86","1.14","0.70",".262","81.5 %","60.9 %","12.4 %","2.41","3.03","2.89","3.8","1303"
"Jae Seo","Mets","14","14","90.1","5.88","1.59","0.90",".270","84.8 %","37.3 %","8.3 %","2.59","3.57","3.93","1.9","895"
"Jorge Sosa","Braves","20","20","106.2","5.74","3.80","0.93",".263","87.0 %","36.6 %","8.5 %","2.62","4.35","4.69","1.1","1228"
"Dontrelle Willis","Marlins","34","34","236.1","6.47","2.09","0.42",".282","75.6 %","44.6 %","4.9 %","2.63","2.99","3.68","6.5","1703"
"Rich Harden","Athletics","19","19","123.0","8.34","3.07","0.51",".252","74.1 %","42.7 %","6.8 %","2.63","2.98","3.39","3.4","1772"
"Felix Hernandez","Mariners","12","12","84.1","8.22","2.45","0.53",".253","76.0 %","67.1 %","11.9 %","2.67","2.85","2.77","2.3","4772"
"Kameron Loe","Rangers","8","8","46.2","3.28","3.09","0.39",".252","74.7 %","58.1 %","5.0 %","2.70","3.88","4.50","0.8","4422"
"Pedro Martinez","Mets","31","31","217.0","8.63","1.95","0.79",".248","76.9 %","37.8 %","7.5 %","2.82","2.95","3.42","6.1","200"
"Chris Carpenter","Cardinals","33","33","241.2","7.93","1.90","0.67",".278","75.6 %","54.5 %","10.3 %","2.83","2.90","2.93","6.3","1292"
"Anthony Reyes","Cardinals","1","1","6.1","7.11","1.42","1.42",".067","62.5 %","43.8 %","12.5 %","2.84","3.97","3.66","0.1","7105"
"Kevin Millwood","Indians","30","30","192.0","6.84","2.44","0.94",".281","79.1 %","46.0 %","10.3 %","2.86","3.73","3.77","3.4","106"
"Robinson Tejeda","Phillies","13","13","69.0","7.70","4.57","0.52",".270","80.5 %","36.3 %","5.1 %","2.87","3.80","4.63","1.4","2575"
"Johan Santana","Twins","33","33","231.2","9.25","1.75","0.85",".262","76.3 %","39.4 %","8.4 %","2.87","2.80","3.12","7.1","755"
"Jake Peavy","Padres","30","30","203.0","9.58","2.22","0.80",".276","76.9 %","44.0 %","9.6 %","2.88","2.89","3.00","5.4","1051"
"Roy Oswalt","Astros","35","35","241.2","6.85","1.79","0.67",".302","78.2 %","49.1 %","8.3 %","2.94","3.16","3.43","6.1","571"
"John Smoltz","Braves","33","33","229.2","6.62","2.08","0.71",".278","75.8 %","47.9 %","8.7 %","3.06","3.27","3.50","5.2","115"
"Mark Buehrle","White Sox","33","33","236.2","5.67","1.52","0.76",".290","72.3 %","45.8 %","8.0 %","3.12","3.42","3.77","5.9","225"
"John Patterson","Nationals","31","31","198.1","8.39","2.95","0.86",".282","79.4 %","30.2 %","7.5 %","3.13","3.46","3.98","4.3","71"
"Jarrod Washburn","Angels","29","29","177.1","4.77","2.59","0.96",".290","81.8 %","39.2 %","8.3 %","3.20","4.35","4.73","2.0","40"
"Jason Grilli","Tigers","2","2","14.0","2.57","3.86","0.64",".209","75.3 %","44.2 %","5.9 %","3.21","4.66","5.41","0.1","521"
"Carlos Zambrano","Cubs","33","33","223.1","8.14","3.47","0.85",".252","75.0 %","50.0 %","12.0 %","3.26","3.70","3.55","4.2","305"
"Roman Colon","- - -","7","7","33.0","4.91","1.91","1.64",".294","84.7 %","54.4 %","21.4 %","3.27","4.93","3.74","0.1","2242"
