"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Mark Mulder","Cardinals","1","1","0.1","27.00","54.00","0.00",".000","100.0 %","0.0 %","0.0 %","0.00","15.13","15.13","0.0","932"
"Brian Bruney","Yankees","1","1","2.0","18.00","4.50","0.00",".333","100.0 %","66.7 %","0.0 %","0.00","0.63","0.63","0.1","1929"
"Angel Guzman","Cubs","1","1","2.0","18.00","0.00","0.00",".333","100.0 %","0.0 %","0.0 %","0.00","-0.87","0.45","0.1","2145"
"Lance Cormier","Orioles","1","1","3.0","3.00","0.00","0.00",".222","100.0 %","55.6 %","0.0 %","0.00","2.47","3.78","0.1","4346"
"Merkin Valdez","Giants","1","1","2.0","18.00","0.00","0.00",".000","100.0 %","0.0 %","0.0 %","0.00","-0.87","0.45","0.1","7019"
"Cesar Jimenez","Mariners","2","2","6.2","5.40","6.75","0.00",".176","87.5 %","37.5 %","0.0 %","1.35","4.18","5.57","0.1","3762"
"David Price","Rays","1","1","5.1","5.06","5.06","0.00",".222","71.4 %","61.1 %","0.0 %","1.69","3.69","5.18","0.1","3184"
"Robinson Tejeda","Royals","1","1","5.0","3.60","5.40","0.00",".143","80.0 %","21.4 %","0.0 %","1.80","4.13","6.77","0.1","2575"
"Anthony Reyes","Indians","6","6","34.1","3.93","3.15","0.52",".259","89.8 %","45.5 %","5.3 %","1.83","4.15","4.85","0.4","7105"
"Yovani Gallardo","Brewers","4","4","24.0","7.50","3.00","1.13",".288","96.9 %","40.0 %","9.7 %","1.88","4.09","4.17","0.4","8173"
"Chris Carpenter","Cardinals","3","3","14.1","3.77","2.51","0.00",".292","72.2 %","48.9 %","0.0 %","1.88","3.13","4.24","0.4","1292"
"John Smoltz","Braves","5","5","27.0","12.00","2.67","0.67",".308","88.2 %","51.5 %","8.3 %","2.00","2.32","2.53","1.0","115"
"Rich Harden","- - -","25","25","148.0","11.01","3.71","0.67",".251","84.4 %","30.0 %","6.5 %","2.07","2.95","3.50","4.5","1772"
"Chan Ho Park","Dodgers","5","5","25.0","10.80","2.88","0.72",".323","81.6 %","51.6 %","10.0 %","2.16","2.85","2.87","0.7","1267"
"J.A. Happ","Phillies","4","4","23.2","5.70","4.18","0.38",".211","82.0 %","31.9 %","3.3 %","2.28","3.81","4.93","0.5","7410"
"Alberto Arias","Astros","2","2","7.2","9.39","7.04","0.00",".368","85.7 %","78.9 %","0.0 %","2.35","3.78","3.78","0.1","3087"
"Johan Santana","Mets","34","34","234.1","7.91","2.42","0.88",".274","82.6 %","41.2 %","9.4 %","2.53","3.51","3.61","5.3","755"
"Cliff Lee","Indians","31","31","223.1","6.85","1.37","0.48",".301","78.3 %","45.9 %","5.1 %","2.54","2.83","3.52","6.7","1636"
"Justin Duchscherer","Athletics","22","22","141.2","6.04","2.16","0.70",".235","77.8 %","41.4 %","6.9 %","2.54","3.69","4.16","2.5","910"
"Jason Johnson","Dodgers","2","2","10.1","4.35","1.74","0.87",".281","86.2 %","54.5 %","12.5 %","2.61","4.29","4.06","0.1","147"
"Tim Lincecum","Giants","33","33","223.0","10.53","3.23","0.44",".303","77.6 %","43.8 %","5.7 %","2.62","2.59","3.08","7.1","5705"
"Scott Lewis","Indians","4","4","24.0","5.63","2.25","1.50",".222","83.3 %","36.5 %","10.5 %","2.63","4.80","4.72","0.2","7322"
"Josh Geer","Padres","5","5","27.0","5.33","3.00","0.67",".300","85.2 %","34.8 %","5.9 %","2.67","3.91","4.61","0.4","4781"
"CC Sabathia","- - -","35","35","253.0","8.93","2.10","0.68",".297","77.7 %","46.6 %","8.8 %","2.70","2.91","3.06","7.3","404"
"Alfredo Aceves","Yankees","4","4","23.0","3.52","3.13","1.17",".236","88.2 %","47.3 %","11.1 %","2.74","5.09","4.94","0.1","5164"
"Joba Chamberlain","Yankees","12","12","65.1","10.19","3.44","0.55",".331","78.6 %","47.6 %","6.3 %","2.76","2.90","3.38","1.9","2692"
"Roy Halladay","Blue Jays","33","33","243.2","7.53","1.44","0.66",".284","74.4 %","53.7 %","9.4 %","2.81","3.05","3.12","6.6","1303"
"Jake Peavy","Padres","27","27","173.2","8.60","3.06","0.88",".279","82.2 %","40.6 %","9.7 %","2.85","3.60","3.65","3.6","1051"
"Daisuke Matsuzaka","Red Sox","29","29","167.2","8.27","5.05","0.64",".258","80.6 %","38.6 %","6.1 %","2.90","4.03","4.64","2.6","7775"
"Chris Volstad","Marlins","14","14","82.1","5.68","3.72","0.33",".272","76.3 %","54.1 %","4.2 %","2.95","3.76","4.44","1.5","9901"
"Ryan Dempster","Cubs","33","33","206.2","8.14","3.31","0.61",".280","76.7 %","48.1 %","7.7 %","2.96","3.41","3.69","4.7","517"
"Ramon Ramirez","Reds","4","4","24.0","7.13","4.13","1.13",".226","84.7 %","42.9 %","11.5 %","3.00","4.67","4.48","0.3","2899"
"Ty Taubenheim","Pirates","1","1","6.0","6.00","4.50","0.00",".350","80.0 %","15.0 %","0.0 %","3.00","3.30","5.06","0.2","5561"
"Warner Madrigal","Rangers","1","1","3.0","3.00","0.00","0.00",".400","75.0 %","30.0 %","0.0 %","3.00","2.47","4.22","0.1","6419"
"Ben Sheets","Brewers","31","31","198.1","7.17","2.13","0.77",".278","75.5 %","40.6 %","7.0 %","3.09","3.38","3.88","4.7","710"
"Cole Hamels","Phillies","33","33","227.1","7.76","2.10","1.11",".259","76.0 %","39.5 %","11.2 %","3.09","3.72","3.58","4.8","4972"
"Jake Westbrook","Indians","5","5","34.2","4.93","1.82","1.30",".262","82.4 %","55.1 %","16.7 %","3.12","4.60","3.87","0.3","412"
"Chad Billingsley","Dodgers","32","32","196.1","9.03","3.62","0.64",".311","77.9 %","49.6 %","8.5 %","3.16","3.38","3.56","4.3","5842"
"Tim Hudson","Braves","22","22","141.0","5.43","2.55","0.70",".264","75.2 %","59.4 %","11.6 %","3.19","3.83","3.71","2.3","921"
"Adam Wainwright","Cardinals","20","20","132.0","6.20","2.32","0.82",".272","76.0 %","45.9 %","8.5 %","3.20","3.78","4.01","2.6","2233"
"Jon Lester","Red Sox","33","33","210.1","6.50","2.82","0.60",".297","77.4 %","47.5 %","7.0 %","3.21","3.64","4.02","4.1","4930"
"Derek Lowe","Dodgers","34","34","211.0","6.27","1.92","0.60",".280","70.8 %","60.3 %","9.5 %","3.24","3.26","3.32","4.8","199"
"Edinson Volquez","Reds","32","32","194.1","9.45","4.26","0.60",".302","76.0 %","46.3 %","7.6 %","3.24","3.54","3.83","4.4","3990"
"Brandon Webb","Diamondbacks","34","34","226.2","7.27","2.58","0.52",".288","71.0 %","64.4 %","9.6 %","3.30","3.28","3.33","5.5","1692"
"John Danks","White Sox","33","33","195.0","7.34","2.63","0.69",".293","76.1 %","42.8 %","7.4 %","3.32","3.44","3.82","4.8","6329"
"Dan Haren","Diamondbacks","33","33","216.0","8.58","1.67","0.79",".303","73.4 %","44.2 %","8.9 %","3.33","3.01","3.16","6.2","1757"
"Mike Mussina","Yankees","34","34","200.1","6.74","1.39","0.76",".321","73.3 %","48.5 %","9.2 %","3.37","3.32","3.43","4.6","837"
"Lance Broadway","White Sox","1","1","5.1","1.69","3.38","0.00",".250","71.4 %","70.0 %","0.0 %","3.38","3.88","4.62","0.1","9885"
"Shaun Marcum","Blue Jays","25","25","151.1","7.31","2.97","1.25",".245","80.2 %","43.1 %","11.9 %","3.39","4.46","4.19","1.8","6204"
"Max Scherzer","Diamondbacks","7","7","37.0","11.68","3.41","0.73",".358","70.3 %","39.4 %","10.0 %","3.41","2.97","2.98","1.0","3137"
"Joe Saunders","Angels","31","31","198.0","4.68","2.41","0.95",".266","75.7 %","46.6 %","8.7 %","3.41","4.36","4.60","2.3","4366"
"Scott Baker","Twins","28","28","172.1","7.36","2.19","1.04",".284","78.7 %","32.9 %","8.5 %","3.45","3.79","4.08","3.3","6176"
"Felix Hernandez","Mariners","31","31","200.2","7.85","3.59","0.76",".314","76.7 %","52.1 %","9.9 %","3.45","3.80","3.83","3.3","4772"
