"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Cesar Ramos","Rays","1","1","2.2","6.75","10.12","0.00",".000","100.0 %","50.0 %","0.0 %","0.00","4.97","6.07","0.0","3357"
"Brad Mills","Angels","1","1","5.0","10.80","0.00","0.00",".250","100.0 %","33.3 %","0.0 %","0.00","0.69","2.16","0.3","4420"
"Jeurys Familia","Mets","1","1","4.0","6.75","13.50","0.00",".125","100.0 %","37.5 %","0.0 %","0.00","6.09","7.93","-0.1","5114"
"Shelby Miller","Cardinals","1","1","6.0","10.50","3.00","0.00",".091","100.0 %","27.3 %","0.0 %","0.00","2.26","3.97","0.2","10197"
"Alexi Ogando","Rangers","1","1","3.0","6.00","0.00","0.00",".000","100.0 %","71.4 %","0.0 %","0.00","1.76","2.74","0.1","10261"
"Kris Medlen","Braves","12","12","83.2","9.04","1.08","0.54",".248","93.3 %","54.7 %","8.3 %","0.97","2.22","2.50","2.8","9417"
"Felipe Paulino","Royals","7","7","37.2","9.32","3.58","0.72",".283","90.9 %","44.6 %","8.1 %","1.67","3.25","3.66","0.8","3777"
"Hector Santiago","White Sox","4","4","19.1","12.10","5.12","0.47",".262","88.5 %","55.8 %","6.7 %","1.86","2.94","3.41","0.5","4026"
"Brandon Beachy","Braves","13","13","81.0","7.56","3.22","0.67",".200","77.9 %","41.3 %","6.7 %","2.00","3.49","4.14","1.3","8851"
"Josh Stinson","Brewers","1","1","4.0","0.00","4.50","2.25",".143","100.0 %","60.0 %","20.0 %","2.25","7.84","6.43","-0.1","3219"
"B.J. Rosenberg","Phillies","1","1","4.0","6.75","4.50","0.00",".273","80.0 %","54.5 %","0.0 %","2.25","3.09","4.20","0.1","7183"
"Wily Peralta","Brewers","5","5","28.0","7.07","3.54","0.00",".280","78.1 %","54.2 %","0.0 %","2.25","2.70","3.65","0.8","7738"
"Mike Pelfrey","Mets","3","3","19.2","5.95","1.83","0.00",".353","82.1 %","53.0 %","0.0 %","2.29","2.38","3.35","0.6","5203"
"Tom Gorzelanny","Nationals","1","1","3.2","12.27","4.91","2.45",".333","100.0 %","60.0 %","100.0 %","2.45","5.55","2.40","0.0","6244"
"Clayton Kershaw","Dodgers","33","33","227.2","9.05","2.49","0.63",".262","77.9 %","46.9 %","8.1 %","2.53","2.89","3.25","5.9","2036"
"David Price","Rays","31","31","211.0","8.74","2.52","0.68",".285","81.1 %","53.1 %","10.5 %","2.56","3.05","3.12","5.0","3184"
"Brett Anderson","Athletics","6","6","35.0","6.43","1.80","0.26",".272","73.0 %","59.8 %","5.9 %","2.57","2.72","3.06","0.9","8223"
"Cory Luebke","Padres","5","5","31.0","6.68","2.32","0.29",".276","75.1 %","47.9 %","3.1 %","2.61","2.80","3.90","0.8","1984"
"Justin Verlander","Tigers","33","33","238.1","9.03","2.27","0.72",".273","76.4 %","42.3 %","8.3 %","2.64","2.94","3.31","6.8","8700"
"Hisashi Iwakuma","Mariners","16","16","95.0","7.39","2.65","1.04",".286","83.0 %","50.9 %","14.1 %","2.65","3.91","3.61","1.2","13048"
"R.A. Dickey","Mets","33","33","232.2","8.90","2.09","0.89",".276","80.2 %","46.0 %","10.9 %","2.67","3.22","3.26","5.1","1245"
