"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Matt Albers","White Sox","1","1","2.0","4.50","0.00","0.00",".167","0.0 %","66.7 %","0.0 %","0.00","2.15","2.98","0.1","4300"
"Trevor Cahill","Cubs","1","1","5.0","5.40","3.60","0.00",".167","100.0 %","66.7 %","0.0 %","0.00","3.15","4.15","0.1","6249"
"Erasmo Ramirez","Rays","1","1","5.2","6.35","0.00","0.00",".200","100.0 %","46.7 %","0.0 %","0.00","2.26","4.03","0.2","10314"
"Jake Buchanan","Cubs","1","1","5.0","5.40","1.80","0.00",".154","100.0 %","61.5 %","0.0 %","0.00","2.55","3.55","0.1","10962"
"Kendry Flores","Marlins","1","1","3.0","3.00","9.00","0.00",".111","100.0 %","11.1 %","0.0 %","0.00","5.48","8.81","0.0","12118"
"Rob Zastryzny","Cubs","1","1","3.2","9.82","4.91","0.00",".222","75.0 %","50.0 %","0.0 %","0.00","2.60","3.51","0.1","15094"
"Keyvius Sampson","Reds","2","2","9.0","13.00","4.00","0.00",".364","92.3 %","50.0 %","0.0 %","1.00","1.92","3.40","0.3","10039"
"Ty Blach","Giants","2","2","11.0","7.36","3.27","0.82",".214","93.8 %","63.0 %","14.3 %","1.64","3.78","3.66","0.2","14361"
"Clayton Kershaw","Dodgers","21","21","149.0","10.39","0.66","0.48",".254","80.0 %","49.4 %","7.5 %","1.69","1.80","2.28","6.5","2036"
"Adam Warren","Cubs","1","1","5.0","10.80","0.00","1.80",".182","100.0 %","25.0 %","14.3 %","1.80","3.35","3.08","0.1","9029"
"Ryan Merritt","Indians","1","1","5.0","7.20","0.00","0.00",".231","66.7 %","41.7 %","0.0 %","1.80","1.55","3.21","0.2","13688"
"Rich Hill","- - -","20","20","110.1","10.52","2.69","0.33",".275","79.2 %","45.3 %","4.2 %","2.12","2.39","3.36","3.8","4806"
"Jharel Cotton","Athletics","5","5","29.1","7.06","1.23","1.23",".198","76.1 %","37.6 %","9.8 %","2.15","3.76","4.32","0.7","13654"
"Kyle Hendricks","Cubs","30","30","188.0","8.09","2.06","0.72",".252","81.4 %","48.7 %","9.6 %","2.15","3.20","3.55","4.5","12049"
"Alex Reyes","Cardinals","5","5","28.2","9.10","4.08","0.00",".316","81.6 %","42.9 %","0.0 %","2.20","2.48","4.40","1.0","15015"
"David Phelps","Marlins","5","5","24.1","11.84","3.70","0.74",".264","82.6 %","52.7 %","12.5 %","2.22","2.94","2.97","0.6","6316"
"Jason Vargas","Royals","3","3","12.0","8.25","2.25","0.75",".219","83.3 %","36.4 %","6.3 %","2.25","3.15","4.28","0.3","8044"
"Alec Asher","Phillies","5","5","27.2","4.23","1.30","0.33",".231","63.9 %","35.2 %","2.7 %","2.28","3.33","5.08","0.6","13560"
"Garrett Richards","Angels","6","6","34.2","8.83","3.89","0.52",".302","70.1 %","45.8 %","7.1 %","2.34","3.32","3.91","0.7","9784"
"Josh Collmenter","Braves","3","3","19.0","7.58","2.37","1.42",".235","95.2 %","42.3 %","13.6 %","2.37","4.46","4.34","0.1","7312"
"Clayton Richard","Padres","9","9","52.1","5.33","3.78","0.69",".310","80.1 %","63.5 %","12.9 %","2.41","4.22","4.21","0.5","3551"
"Jon Lester","Cubs","32","32","202.2","8.75","2.31","0.93",".256","84.9 %","46.9 %","12.2 %","2.44","3.41","3.47","4.4","4930"
"Matt Koch","Diamondbacks","2","2","11.0","4.91","0.82","0.00",".182","62.5 %","48.4 %","0.0 %","2.45","2.60","4.42","0.4","13420"
"Noah Syndergaard","Mets","30","30","182.2","10.64","2.12","0.54",".335","76.9 %","51.2 %","8.7 %","2.61","2.30","2.68","6.3","11762"
"Robert Gsellman","Mets","7","7","41.0","8.78","2.63","0.22",".336","79.1 %","55.5 %","4.2 %","2.63","2.39","3.05","1.4","13696"
"Seth Lugo","Mets","8","8","47.0","5.55","2.87","1.34",".232","90.9 %","41.3 %","13.0 %","2.68","4.93","4.91","0.1","12447"
"Madison Bumgarner","Giants","34","34","226.2","9.97","2.14","1.03",".265","79.1 %","39.6 %","10.7 %","2.74","3.24","3.54","4.9","5524"
"Johnny Cueto","Giants","32","32","219.2","8.11","1.84","0.61",".293","78.0 %","50.2 %","8.4 %","2.79","2.96","3.42","5.5","6893"
"Andrew Triggs","Athletics","6","6","25.2","7.71","0.35","0.70",".225","64.0 %","45.2 %","8.3 %","2.81","2.68","3.22","0.7","13533"
"Junior Guerra","Brewers","20","20","121.2","7.40","3.18","0.74",".250","79.4 %","45.3 %","8.3 %","2.81","3.71","4.29","2.4","5702"
"Tanner Roark","Nationals","33","33","207.2","7.37","3.16","0.74",".271","79.5 %","48.8 %","9.6 %","2.86","3.82","4.18","3.1","8753"
"Jose Fernandez","Marlins","29","29","182.1","12.49","2.71","0.64",".332","76.6 %","40.2 %","10.0 %","2.86","2.30","2.56","6.2","11530"
"Max Scherzer","Nationals","34","34","228.1","11.19","2.21","1.22",".255","81.7 %","33.0 %","11.9 %","2.96","3.24","3.37","5.6","3137"
"Aaron Sanchez","Blue Jays","30","30","192.0","7.55","2.95","0.70",".267","76.9 %","54.4 %","10.7 %","3.00","3.55","3.75","3.8","11490"
"Jacob deGrom","Mets","24","24","148.0","8.70","2.19","0.91",".312","80.0 %","45.6 %","11.5 %","3.04","3.32","3.47","3.2","10954"
"Carlos Martinez","Cardinals","31","31","195.1","8.02","3.23","0.69",".286","79.5 %","56.4 %","10.6 %","3.04","3.61","3.81","3.3","11682"
"Justin Verlander","Tigers","34","34","227.2","10.04","2.25","1.19",".255","79.9 %","33.7 %","10.9 %","3.04","3.48","3.78","5.3","8700"
"Michael Fulmer","Tigers","26","26","159.0","7.47","2.38","0.91",".268","79.0 %","49.1 %","11.2 %","3.06","3.76","3.95","3.0","13218"
"Masahiro Tanaka","Yankees","31","31","199.2","7.44","1.62","0.99",".271","76.4 %","48.2 %","12.0 %","3.07","3.51","3.61","4.6","15764"
"Jake Arrieta","Cubs","31","31","197.1","8.67","3.47","0.73",".241","74.9 %","52.6 %","11.1 %","3.10","3.52","3.68","3.8","4153"
"Corey Kluber","Indians","32","32","215.0","9.50","2.39","0.92",".271","74.8 %","44.5 %","10.8 %","3.14","3.26","3.50","5.0","2429"
"Rick Porcello","Red Sox","33","33","223.0","7.63","1.29","0.93",".269","74.3 %","43.1 %","9.3 %","3.15","3.40","3.89","5.1","2717"
"Gabriel Ynoa","Mets","3","3","11.1","8.74","2.38","0.00",".378","76.5 %","54.3 %","0.0 %","3.18","2.00","2.88","0.4","12938"
"J.A. Happ","Blue Jays","32","32","195.0","7.52","2.77","1.02",".268","79.7 %","42.5 %","11.1 %","3.18","3.96","4.18","3.2","7410"
