"Name","Team","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Al Reyes","Cardinals","2","2","5.0","7.20","0.00","0.00",".000","100.0 %","36.4 %","0.0 %","0.00","1.45","2.87","0.2","1005"
"Chris Saenz","Brewers","1","1","6.0","10.50","4.50","0.00",".154","100.0 %","46.2 %","0.0 %","0.00","2.72","3.90","0.2","1913"
"Jason Stanford","Indians","2","2","11.0","4.09","4.09","0.00",".308","94.4 %","37.8 %","0.0 %","0.82","3.78","5.58","0.2","1763"
"Rick Bauer","Orioles","2","2","10.0","7.20","1.80","0.00",".276","80.0 %","62.1 %","0.0 %","1.80","2.05","2.76","0.4","125"
"Ricardo Rodriguez","Rangers","4","4","23.0","5.09","4.30","0.39",".282","76.7 %","46.8 %","3.7 %","1.96","3.92","5.02","0.5","1585"
"David Weathers","Marlins","2","2","9.0","6.00","4.00","1.00",".200","93.0 %","48.0 %","12.5 %","2.00","4.49","4.31","0.1","902"
"Jake Peavy","Padres","27","27","166.1","9.36","2.87","0.70",".300","83.9 %","42.3 %","8.0 %","2.27","3.14","3.51","4.1","1051"
"Horacio Ramirez","Braves","9","9","59.1","4.70","4.40","1.06",".226","80.7 %","53.5 %","14.9 %","2.28","5.00","4.60","0.3","110"
"Luke Hudson","Reds","9","9","48.1","7.08","4.66","0.56",".243","79.9 %","33.1 %","4.6 %","2.42","3.96","5.06","0.9","1542"
"Gustavo Chacin","Blue Jays","2","2","14.0","3.86","1.93","0.00",".190","66.7 %","42.9 %","0.0 %","2.57","3.05","4.77","0.4","2060"
"Randy Johnson","Diamondbacks","35","35","245.2","10.62","1.61","0.66",".264","69.5 %","43.1 %","8.0 %","2.60","2.30","2.64","9.6","60"
"Johan Santana","Twins","34","34","228.0","10.46","2.13","0.95",".250","80.4 %","40.6 %","10.6 %","2.61","2.92","2.96","6.8","755"
"Ben Sheets","Brewers","34","34","237.0","10.03","1.22","0.95",".288","75.3 %","42.6 %","10.7 %","2.70","2.65","2.68","8.0","710"
"Carlos Zambrano","Cubs","31","31","209.2","8.07","3.48","0.60",".274","79.1 %","50.7 %","8.0 %","2.75","3.57","3.89","4.7","305"
"Roger Clemens","Astros","33","33","214.1","9.15","3.32","0.63",".275","76.4 %","48.7 %","8.3 %","2.98","3.11","3.40","5.7","815"
"Oliver Perez","Pirates","30","30","196.0","10.97","3.72","1.01",".271","80.3 %","35.5 %","9.9 %","2.98","3.45","3.60","4.5","1514"
"Carl Pavano","Marlins","31","31","222.1","5.63","1.98","0.65",".282","76.9 %","47.6 %","7.3 %","3.00","3.54","4.01","4.5","790"
"Randy Flores","Cardinals","1","1","3.0","6.00","0.00","0.00",".400","80.0 %","44.4 %","0.0 %","3.00","2.72","5.08","0.1","1446"
"Brad Penny","- - -","24","24","143.0","6.99","2.83","0.76",".282","76.3 %","42.6 %","7.7 %","3.15","3.59","4.04","3.0","535"
"Jason Schmidt","Giants","32","32","225.0","10.04","3.08","0.72",".263","73.3 %","44.6 %","8.4 %","3.20","2.92","3.24","6.4","1131"
"Al Leiter","Mets","30","30","173.2","6.06","5.03","0.83",".240","81.0 %","40.6 %","7.8 %","3.21","4.76","5.24","1.5","883"
"Bruce Chen","Orioles","7","7","44.2","6.25","3.22","1.41",".235","79.2 %","38.2 %","11.9 %","3.22","4.77","4.61","0.6","769"
"Odalis Perez","Dodgers","31","31","196.1","5.87","2.02","1.19",".263","79.2 %","51.6 %","14.3 %","3.25","4.18","3.78","2.9","668"
"Curt Schilling","Red Sox","32","32","226.2","8.06","1.39","0.91",".284","75.8 %","40.5 %","9.2 %","3.26","3.11","3.35","6.5","73"
"Kazuhito Tadano","Indians","4","4","22.0","7.36","4.09","0.82",".279","70.5 %","33.8 %","6.5 %","3.27","4.37","5.19","0.3","1917"
"Jaret Wright","Braves","32","32","186.1","7.68","3.38","0.53",".292","71.8 %","46.1 %","6.1 %","3.28","3.29","3.90","4.5","415"
"Orlando Hernandez","Yankees","15","15","84.2","8.93","3.83","0.96",".284","81.9 %","36.5 %","8.9 %","3.30","3.90","4.21","1.7","823"
"Bobby Madritsch","Mariners","11","11","79.0","6.49","3.42","0.34",".268","72.2 %","40.6 %","3.6 %","3.30","3.35","4.35","2.2","2085"
"Wade Miller","Astros","15","15","88.2","7.51","4.47","1.12",".256","81.3 %","37.4 %","9.8 %","3.35","4.48","4.66","1.2","568"
"Doug Davis","Brewers","34","34","207.1","7.21","3.43","0.61",".290","75.1 %","47.5 %","7.0 %","3.39","3.57","4.06","4.4","1244"
"Tomo Ohka","Expos","15","15","84.2","4.04","2.13","1.17",".293","76.3 %","41.6 %","9.2 %","3.40","4.58","4.91","1.1","788"
"Chris Carpenter","Cardinals","28","28","182.0","7.52","1.88","1.19",".277","77.2 %","52.2 %","15.5 %","3.46","3.85","3.35","3.1","1292"
"Noah Lowry","Giants","14","14","88.0","7.26","2.56","0.92",".278","74.7 %","40.9 %","8.7 %","3.48","3.62","3.97","1.7","1833"
"Brad Radke","Twins","34","34","219.2","5.86","1.07","0.94",".293","73.9 %","43.0 %","8.6 %","3.48","3.55","3.91","5.0","748"
"Jake Westbrook","Indians","30","30","203.1","4.78","2.52","0.80",".276","71.4 %","62.5 %","12.4 %","3.50","4.05","3.91","2.9","412"
"Glendon Rusch","Cubs","16","16","97.2","6.63","1.84","0.83",".275","73.0 %","35.8 %","7.6 %","3.50","3.51","4.04","2.3","707"
"Roy Oswalt","Astros","35","35","236.0","7.78","2.36","0.65",".315","73.0 %","42.1 %","7.4 %","3.51","3.18","3.64","6.5","571"
"Tim Hudson","Athletics","27","27","188.2","4.91","2.10","0.38",".297","70.4 %","58.8 %","5.6 %","3.53","3.40","3.92","4.6","921"
"Brandon Webb","Diamondbacks","35","35","208.0","7.10","5.15","0.74",".285","71.0 %","64.3 %","16.8 %","3.59","4.41","4.04","2.6","1692"
"Livan Hernandez","Expos","35","35","255.0","6.56","2.93","0.92",".278","76.4 %","45.5 %","10.1 %","3.60","4.01","4.12","4.4","1116"
"Tom Glavine","Mets","33","33","212.1","4.62","2.97","0.85",".261","73.2 %","50.9 %","9.9 %","3.60","4.24","4.36","2.6","90"
"Joe Kennedy","Rockies","27","27","162.1","6.49","3.71","0.94",".294","79.4 %","48.1 %","10.4 %","3.66","4.35","4.43","2.8","1217"
"Matt Clement","Cubs","30","30","181.0","9.45","3.83","1.14",".279","77.9 %","49.4 %","15.4 %","3.68","4.08","3.59","3.0","271"
"Dave Bush","Blue Jays","16","16","97.2","5.90","2.30","1.01",".275","71.4 %","41.5 %","8.7 %","3.69","4.15","4.54","1.9","4635"
"Jason Marquis","Cardinals","32","32","201.1","6.17","3.13","1.16",".300","79.3 %","55.0 %","16.1 %","3.71","4.55","4.01","1.8","105"
"Kerry Wood","Cubs","22","22","140.1","9.24","3.27","1.03",".298","76.2 %","44.8 %","12.1 %","3.72","3.80","3.66","2.9","304"
"John Thomson","Braves","33","33","198.1","6.04","2.36","0.91",".305","72.9 %","47.4 %","10.4 %","3.72","3.90","3.97","3.2","453"
"David Wells","Padres","31","31","195.2","4.65","0.92","1.06",".274","72.6 %","47.6 %","10.5 %","3.73","3.88","3.94","3.1","855"
