"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Esteban Yan","Devil Rays","1","1","1","1","0","0","1.000","5.000","0.3","0","1236"
"Eric Cammack","Mets","1","1","0","1","0","0","1.000","4.000","0.1","0","1001864"
"Jeff Manto","Rockies","5","4","1","4","2","0",".800","2.657","0.4","0","1008083"
"Scott Linebrink","Astros","1","1","0","0","0","0","1.000","2.000","0.1","0","564"
"T.J. Tucker","Expos","1","1","0","0","0","0","1.000","2.000","0.1","0","800"
"Mike Stanton","Yankees","1","1","0","0","0","0","1.000","2.000","0.1","0","849"
"Vicente Padilla","Diamondbacks","1","1","0","0","0","0","1.000","2.000","0.1","0","964"
"Xavier Nady","Padres","1","1","0","0","0","0","1.000","2.000","0.0","0","1658"
"Justin Brunette","Cardinals","1","1","0","0","0","0","1.000","2.000","0.1","0","1001592"
"Rich Croushore","Rockies","1","1","0","0","0","0","1.000","2.000","0.1","0","1002819"
"Mike Judd","Dodgers","1","1","0","0","0","0","1.000","2.000","0.1","0","1006639"
"Mike Mohler","Cardinals","1","1","0","0","0","0","1.000","2.000","0.1","0","1009033"
"Omar Olivares","Athletics","1","1","0","0","0","0","1.000","2.000","0.1","0","1009771"
"Hector Ramirez","Brewers","1","1","0","0","0","0","1.000","2.000","0.1","0","1010669"
"Anthony Sanders","Mariners","1","1","0","0","0","0","1.000","2.000","0.0","0","1011412"
"Danny Graves","Reds","2","1","1","1","1","0",".500","2.667","0.2","0","326"
"Brian Lesher","Mariners","5","4","0","3","1","0",".800","2.233","0.4","1","1309"
"Keith McDonald","Cardinals","7","3","3","5","2","1",".429","2.270","0.3","0","1008467"
"Brad Clontz","Pirates","0","0","0","0","0","0",".000","1.000","0.0","0","1002360"
"Damon Minor","Giants","9","4","3","6","2","1",".444","1.990","0.4","0","1411"
"Jose Parra","Pirates","0","0","0","0","2","0",".000","1.000","0.1","0","70"
"T.J. Mathews","Athletics","0","0","0","0","1","0",".000","1.000","0.0","0","567"
"Paul Quantrill","Blue Jays","0","0","0","0","1","0",".000","1.000","0.0","0","669"
"Mark Brownson","Phillies","0","0","0","0","1","0",".000","1.000","0.0","0","1001544"
"Matt Karchner","Cubs","0","0","0","0","1","0",".000","1.000","0.1","0","1006697"
"Sean Bergman","Twins","2","1","0","0","0","1",".500","1.500","0.1","0","1000881"
"Brian Williams","Cubs","2","1","0","1","0","0",".500","1.500","0.1","0","1013978"
"Jeremy Powell","Expos","5","3","0","1","0","1",".600","1.400","0.2","0","1010490"
"Freddy Garcia","Mariners","3","2","0","0","0","0",".667","1.333","0.2","0","1077"
"Phil Norton","Cubs","3","2","0","0","0","0",".667","1.333","0.1","0","1714"
"Bobby Jones","Mets","2","1","0","0","1","1",".500","1.167","0.1","0","1454"
"Keith Johnson","Angels","4","2","0","0","2","0",".500","1.167","0.2","0","1006479"
"Shawn Wooten","Angels","9","5","0","1","0","0",".556","1.222","0.2","0","43"
"Alan Benes","Cardinals","4","2","0","0","0","1",".500","1.250","0.1","0","265"
"Ron Mahay","Marlins","4","2","0","0","0","1",".500","1.250","0.1","0","290"
"Terrell Lowery","Giants","34","15","1","5","7","8",".441","1.195","0.6","1","1007791"
"Rod Lindsey","Tigers","3","1","0","0","0","1",".333","1.167","0.0","2","1007633"
"Mark McGwire","Cardinals","236","72","32","73","76","78",".305","1.229","4.6","1","1008559"
"Jason Grimsley","Yankees","1","0","0","0","2","1",".000",".667","0.1","0","602"
"Manny Ramirez","Indians","439","154","38","122","86","117",".351","1.154","4.8","1","210"
"Todd Helton","Rockies","580","216","42","147","103","61",".372","1.162","8.3","5","432"
"Carlos Delgado","Blue Jays","569","196","41","137","123","104",".344","1.134","7.4","0","1297"
"Jason Giambi","Athletics","510","170","43","137","137","96",".333","1.123","7.7","2","818"
"Barry Bonds","Giants","480","147","49","106","117","77",".306","1.127","7.6","11","1109"
"Gary Sheffield","Dodgers","501","163","43","109","101","71",".325","1.081","6.6","4","114"
"Jose Jimenez","Rockies","4","2","0","1","0","2",".500","1.000","0.1","0","435"
"Justin Speier","Indians","2","1","0","0","0","1",".500","1.000","0.0","0","451"
"Jason Grilli","Marlins","2","1","0","1","0","0",".500","1.000","0.0","0","521"
"John Halama","Mariners","2","1","0","0","0","1",".500","1.000","0.1","0","1080"
"Kenny Rogers","Rangers","4","2","0","0","0","1",".500","1.000","0.1","0","1277"
