"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Felix Hernandez","Mariners","1","1","1","4","0","0","1.000","5.000","0.3","0","4772"
"Mark Worrell","Cardinals","2","1","1","3","0","0",".500","2.500","0.1","0","8045"
"Hector Luna","Blue Jays","1","1","0","0","0","0","1.000","2.000","0.0","0","1874"
"Charlie Haeger","Padres","1","1","0","0","0","0","1.000","2.000","0.1","0","3545"
"Matt Tupman","Royals","1","1","0","0","0","0","1.000","2.000","0.1","0","4381"
"Bobby Korecky","Twins","1","1","0","0","0","0","1.000","2.000","0.1","0","4608"
"Tim Dillard","Brewers","1","1","0","0","0","0","1.000","2.000","0.1","0","5518"
"Tyler Clippard","Nationals","1","1","0","0","0","0","1.000","2.000","0.1","0","5640"
"Jeff Fiorentino","Athletics","1","1","0","1","0","0","1.000","2.000","0.0","0","8024"
"Chris Snelling","Phillies","4","2","1","1","0","0",".500","2.000","0.2","0","1480"
"Lou Marson","Phillies","4","2","1","2","0","2",".500","1.750","0.2","0","7610"
"Will Ohman","Braves","0","0","0","0","1","0",".000","1.000","0.0","0","296"
"Marco Estrada","Nationals","0","0","0","0","1","0",".000","1.000","0.1","0","1118"
"Taylor Buchholz","Rockies","0","0","0","1","1","0",".000","1.000","0.0","0","2168"
"Cedrick Bowers","Rockies","0","0","0","0","1","0",".000","1.000","0.0","0","3293"
"Cory Wade","Dodgers","0","0","0","0","1","0",".000","1.000","0.0","0","7570"
"Mat Gamel","Brewers","2","1","0","0","0","1",".500","1.500","0.1","0","4034"
"Ty Taubenheim","Pirates","2","1","0","1","0","0",".500","1.500","0.1","0","5561"
"Brian Stokes","Mets","3","2","0","0","0","1",".667","1.333","0.1","0","8653"
"Mike Hessman","Tigers","27","8","5","7","2","9",".296","1.276","0.4","0","1808"
"Taylor Teagarden","Rangers","47","15","6","17","5","19",".319","1.205","1.0","0","5199"
"Cameron Maybin","Marlins","32","16","0","2","3","8",".500","1.105","1.0","4","5223"
"Josh Whitesell","Diamondbacks","7","2","1","1","1","2",".286","1.159","0.1","0","6713"
"Darrell Rasner","Yankees","1","0","0","0","2","1",".000",".667","0.1","0","4770"
"Jaime Garcia","Cardinals","1","0","0","0","2","1",".000",".667","0.1","0","8137"
"Albert Pujols","Cardinals","524","187","37","116","104","54",".357","1.114","8.7","7","1177"
"Andy Sonnanstine","Rays","5","2","0","0","2","3",".400",".971","0.2","0","7667"
"Erik Bedard","Mariners","4","2","0","0","0","2",".500","1.000","0.1","0","126"
"Greg Smith","Athletics","2","1","0","0","0","1",".500","1.000","0.1","0","3455"
"Scott Baker","Twins","2","1","0","0","0","1",".500","1.000","0.1","0","6176"
"Aaron Laffey","Indians","2","1","0","0","0","0",".500","1.000","0.0","0","6248"
"Alcides Escobar","Brewers","4","2","0","0","0","1",".500","1.000","0.1","0","6310"
"Eric Hurley","Rangers","2","1","0","0","0","1",".500","1.000","0.0","0","8364"
"Chipper Jones","Braves","439","160","22","75","90","61",".364","1.044","7.1","4","97"
"Cody Ransom","Yankees","43","13","4","8","6","12",".302","1.051","0.4","0","1126"
"Rafael Furcal","Dodgers","143","51","5","16","20","17",".357","1.012","2.0","8","88"
"Justin Germano","Padres","9","4","0","1","0","3",".444","1.000","0.3","0","1938"
"Nelson Cruz","Rangers","115","38","7","26","17","28",".330","1.030","1.8","3","2434"
"Juan Miranda","Yankees","10","4","0","1","2","4",".400","1.000","0.2","0","7783"
"Chris Dickerson","Reds","102","31","6","15","17","35",".304","1.021","1.4","5","7095"
"Manny Ramirez","- - -","552","183","37","121","87","124",".332","1.031","5.9","3","210"
"T.J. Bohn","Phillies","5","2","0","3","0","1",".400","1.000","0.3","0","4592"
"Gaby Sanchez","Marlins","8","3","0","1","0","2",".375","1.000","0.1","0","3361"
"Armando Galarraga","Tigers","2","0","0","0","3","1",".000",".600","0.1","0","4222"
"Milton Bradley","Rangers","414","133","22","77","80","112",".321",".999","4.2","5","369"
"Clay Condrey","Phillies","3","1","0","0","0","2",".333","1.000","0.1","0","1579"
"Sean Burnett","Pirates","3","1","0","0","0","2",".333","1.000","0.1","0","1886"
"Jason Bourgeois","White Sox","3","1","0","0","0","0",".333","1.000","0.0","0","2225"
"Lance Berkman","Astros","554","173","29","106","99","108",".312",".986","7.7","18","548"
"Carlos Quentin","White Sox","480","138","36","100","66","80",".288",".965","4.7","7","6274"
"Mark Teixeira","- - -","574","177","33","121","97","93",".308",".962","6.9","2","1281"
"Alex Rodriguez","Yankees","510","154","35","103","65","117",".302",".965","5.8","18","1274"
"Matt Holliday","Rockies","539","173","25","88","74","104",".321",".947","5.9","28","1873"
"Ryan Ludwick","Cardinals","538","161","37","113","62","146",".299",".966","5.4","4","1260"
"Ryan Shealy","Royals","73","22","7","20","5","19",".301",".957","0.4","0","4443"
"Micah Hoffpauir","Cubs","73","25","2","8","6","24",".342",".934","0.4","1","4342"
"Kevin Youkilis","Red Sox","538","168","29","115","62","108",".312",".958","6.1","3","1935"
"Shin-Soo Choo","Indians","317","98","14","66","44","78",".309",".946","3.2","4","3174"
"Brad Nelson","Brewers","7","2","0","0","1","0",".286",".946","0.1","0","3821"
"Hanley Ramirez","Marlins","589","177","33","67","92","122",".301",".940","7.5","35","8001"
"J.D. Drew","Red Sox","368","103","19","64","79","80",".280",".927","4.0","4","1152"
"Mike Napoli","Angels","227","62","20","49","35","70",".273",".960","2.6","7","3057"
"Craig Stansberry","Padres","16","6","0","2","2","3",".375",".882","0.0","0","6256"
"David Wright","Mets","626","189","33","124","94","118",".302",".924","7.0","15","3787"
"Carlos Lee","Astros","436","137","28","100","37","49",".314",".937","3.2","4","243"
"Mike Fontenot","Cubs","243","74","9","40","34","51",".305",".909","3.1","2","3912"
"Kevin Millwood","Rangers","4","1","0","0","1","2",".250",".900","0.1","0","106"
"Nick Markakis","Orioles","595","182","20","87","99","113",".306",".897","6.0","10","5930"
"Chris Iannetta","Rockies","333","88","18","65","56","92",".264",".895","3.1","0","8267"
"Ramon Santiago","Tigers","124","35","4","18","22","17",".282",".870","1.2","1","1417"
"Chase Utley","Phillies","607","177","33","104","64","104",".292",".915","8.2","14","1679"
"Ryan Spilborghs","Rockies","233","73","6","36","38","41",".313",".875","0.7","7","4521"
"Aubrey Huff","Orioles","598","182","32","108","53","89",".304",".912","3.9","4","1213"
"Brian McCann","Braves","509","153","23","87","57","64",".301",".896","5.1","5","4810"
"Aramis Ramirez","Cubs","554","160","27","111","74","94",".289",".898","4.5","2","1002"
"Ian Kinsler","Rangers","518","165","18","71","45","67",".319",".892","4.8","26","6195"
"Adam Dunn","- - -","517","122","40","100","122","164",".236",".898","0.6","2","319"
"Jason Bay","- - -","577","165","31","101","81","137",".286",".895","3.0","10","1717"
"Josh Hamilton","Rangers","624","190","32","130","64","126",".304",".901","4.2","9","1875"
"Andre Ethier","Dodgers","525","160","20","77","59","88",".305",".885","3.4","6","6265"
"Russell Branyan","Brewers","132","33","12","20","19","42",".250",".925","1.3","1","370"
"Carlos Zambrano","Cubs","83","28","4","14","0","24",".337",".892","1.4","0","305"
"Dusty Ryan","Tigers","44","14","2","7","5","13",".318",".880","0.4","0","2312"
"Oscar Salazar","Orioles","81","23","5","15","12","13",".284",".879","0.5","0","495"
"Jerry Hairston","Reds","261","85","6","36","23","36",".326",".871","2.7","15","144"
"Brad Hawpe","Rockies","488","138","25","85","76","134",".283",".879","-0.7","2","1885"
"Daniel Murphy","Mets","131","41","2","17","18","28",".313",".871","0.8","0","4316"
"Elijah Dukes","Nationals","276","73","13","44","50","79",".264",".864","2.7","13","4946"
"Joe Mauer","Twins","536","176","9","85","84","50",".328",".864","5.7","1","1857"
"Magglio Ordonez","Tigers","561","178","21","103","53","76",".317",".869","1.6","1","248"
"Jason Giambi","Yankees","458","113","32","96","76","111",".247",".876","2.4","2","818"
"Brian Giles","Padres","559","171","12","63","87","52",".306",".854","4.1","2","990"
"Nate Schierholtz","Giants","75","24","1","5","3","8",".320",".864","1.3","0","6201"
