"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Brad Lidge","Astros","2","2","0","2","0","0","1.000","2.500","0.1","0","563"
"Grant Roberts","Mets","1","1","0","0","0","0","1.000","2.000","0.1","0","894"
"Felix Rodriguez","Giants","1","1","0","0","0","0","1.000","2.000","0.1","0","1127"
"Chris Carpenter","Blue Jays","1","1","0","0","0","0","1.000","2.000","0.1","0","1292"
"Trey Lunsford","Giants","3","2","0","1","0","1",".667","1.667","0.1","0","1614"
"Jesse Orosco","Dodgers","0","0","0","0","1","0",".000","1.000","0.0","0","667"
"T.J. Tucker","Expos","4","3","0","0","0","0",".750","1.500","0.2","0","800"
"Dusty Wathan","Royals","5","3","0","1","0","1",".600","1.467","0.2","0","1648"
"Kenny Rogers","Rangers","3","2","0","1","1","0",".667","1.417","0.2","1","1277"
"Antonio Alfonseca","Cubs","3","2","0","2","0","0",".667","1.333","0.1","0","260"
"Cody Ransom","Giants","3","2","0","1","1","1",".667","1.417","0.1","0","1126"
"Barry Bonds","Giants","403","149","46","110","198","47",".370","1.381","12.7","9","1109"
"Roger Clemens","Yankees","3","2","0","1","0","1",".667","1.500","0.1","0","815"
"Pat Borders","Mariners","4","2","0","1","0","1",".500","1.250","0.1","0","1068"
"Alfredo Amezaga","Angels","13","7","0","2","0","1",".538","1.231","0.2","1","1"
"Mike Mussina","Yankees","5","3","0","0","0","0",".600","1.200","0.2","0","837"
"Jason Grabowski","Athletics","8","3","0","1","3","1",".375","1.295","0.2","0","1604"
"Ryan Jackson","Tigers","6","2","0","0","1","2",".333","1.262","0.1","0","472"
"Juan Diaz","Red Sox","7","2","1","2","1","2",".286","1.232","0.1","0","187"
"Willie Bloomquist","Mariners","33","15","0","7","5","2",".455","1.102","0.7","3","1066"
"Mike Kinkade","Dodgers","50","19","2","11","4","10",".380","1.083","0.9","1","660"
"Jim Thome","Indians","480","146","52","118","122","139",".304","1.122","7.3","1","409"
"Manny Ramirez","Red Sox","436","152","33","107","73","85",".349","1.097","5.3","0","210"
"Raul Chavez","Astros","4","1","0","0","1","0",".250","1.000","0.1","0","553"
"Aaron Sele","Angels","2","1","0","0","0","1",".500","1.000","0.0","0","34"
"Byung-Hyun Kim","Diamondbacks","2","1","0","0","0","0",".500","1.000","0.0","0","61"
"Victor Santos","Rockies","2","1","0","0","0","0",".500","1.000","0.0","0","446"
"Jeff Williams","Dodgers","2","1","0","0","0","1",".500","1.000","0.0","0","674"
"Javier Valentin","Twins","4","2","0","0","0","0",".500","1.000","0.1","0","759"
"James Baldwin","Mariners","2","1","0","0","0","0",".500","1.000","0.0","0","1064"
"Robb Nen","Giants","2","1","0","0","0","1",".500","1.000","0.0","0","1123"
"Mac Suzuki","Royals","2","1","0","0","0","1",".500","1.000","0.0","0","1485"
"Cody McKay","Athletics","3","2","0","2","0","1",".667","1.167","0.1","0","1615"
"Brian Giles","Pirates","497","148","38","103","135","74",".298","1.072","6.9","15","990"
"Jason Giambi","Yankees","560","176","41","122","109","112",".314","1.034","6.6","2","818"
"Larry Walker","Rockies","477","161","26","104","65","73",".338","1.023","5.4","6","455"
"Alex Rodriguez","Rangers","624","187","57","142","87","122",".300","1.015","10.0","9","1274"
"Greg Colbrunn","Diamondbacks","171","57","10","27","13","19",".333","1.004","1.4","0","51"
"Todd Helton","Rockies","553","182","30","109","99","91",".329","1.006","5.5","5","432"
"Ivan Cruz","Cardinals","14","5","1","3","1","3",".357",".971","0.1","0","1596"
"Vladimir Guerrero","Expos","614","206","39","111","84","70",".336","1.010","7.1","40","778"
"Sidney Ponson","Orioles","3","1","0","0","0","1",".333","1.000","0.1","0","161"
"Andy Pettitte","Yankees","3","1","0","1","0","1",".333","1.000","0.1","0","840"
"David Ross","Dodgers","10","2","1","2","2","4",".200",".985","0.1","0","1551"
"Sammy Sosa","Cubs","556","160","49","108","103","144",".288",".993","5.1","2","302"
"Magglio Ordonez","White Sox","590","189","38","135","53","77",".320",".978","4.5","7","248"
"Mike Sweeney","Royals","471","160","24","86","61","46",".340",".979","4.5","9","634"
"Jim Edmonds","Cardinals","476","148","28","83","86","134",".311",".981","6.7","4","1153"
"Chipper Jones","Braves","548","179","26","100","107","89",".327",".972","5.9","8","97"
"Lance Berkman","Astros","578","169","42","128","107","118",".292",".982","6.1","8","548"
"Joe Thurston","Dodgers","13","6","0","1","0","1",".462",".967","0.2","0","673"
"Albert Pujols","Cardinals","590","185","34","127","72","69",".314",".955","5.4","2","1177"
"Todd Pratt","Phillies","106","33","3","16","24","28",".311",".949","1.4","2","968"
"Rafael Palmeiro","Rangers","546","149","43","105","104","94",".273",".962","4.5","2","1266"
"Erubiel Durazo","Diamondbacks","222","58","16","48","49","60",".261",".944","1.7","0","1413"
"Jeremy Giambi","- - -","313","81","20","45","79","94",".259",".919","2.1","0","913"
"Carlos Delgado","Blue Jays","505","140","33","108","102","126",".277",".955","4.3","1","1297"
"Bobby Abreu","Phillies","572","176","20","85","104","117",".308",".934","5.2","31","945"
"Jason Phillips","Mets","19","7","1","3","1","1",".368",".935","0.2","0","892"
"Derek Lowe","Red Sox","3","1","0","0","1","0",".333",".833","0.1","0","199"
"Rheal Cormier","Phillies","3","1","0","0","1","0",".333",".833","0.1","0","952"
"McKay Christensen","Mets","3","1","0","0","1","1",".333",".833","0.1","0","1421"
"Gary Sheffield","Braves","492","151","25","84","72","53",".307",".916","4.8","12","114"
"So Taguchi","Cardinals","15","6","0","2","2","1",".400",".871","0.4","1","1186"
"Jeff Kent","Giants","623","195","37","108","52","101",".313",".933","6.7","5","1119"
"Bernie Williams","Yankees","612","204","19","102","83","97",".333",".908","4.9","8","857"
"Josh Phelps","Blue Jays","265","82","15","58","19","82",".309",".925","1.5","0","1318"
"Jeff Bagwell","Astros","571","166","31","98","101","130",".291",".919","4.8","7","547"
"Austin Kearns","Reds","372","117","13","56","54","81",".315",".907","5.0","6","332"
"Shawn Green","Dodgers","582","166","42","114","93","112",".285",".944","4.9","8","651"
"Ryan Klesko","Padres","540","162","29","95","76","86",".300",".925","4.6","6","1041"
"Matt Franco","Braves","205","65","6","30","27","31",".317",".912","1.0","1","1499"
"Pat Burrell","Phillies","586","165","37","116","89","153",".282",".920","4.4","1","949"
"Dennis Tankersley","Padres","13","4","1","1","0","2",".308",".923","0.2","0","1054"
"Cliff Floyd","- - -","520","150","28","79","76","106",".288",".920","3.7","15","518"
"Bobby Kielty","Twins","289","84","12","46","52","66",".291",".890","2.7","4","736"
"Luis Gonzalez","Diamondbacks","524","151","28","103","97","76",".288",".896","5.2","9","55"
"Ellis Burks","Indians","518","156","32","91","44","108",".301",".903","3.1","2","372"
"John Olerud","Mariners","553","166","22","102","98","66",".300",".893","4.5","0","1093"
"Mike Restovich","Twins","13","4","1","1","1","4",".308",".896","-0.1","1","751"
"Esix Snead","Mets","13","4","1","3","1","4",".308",".896","0.1","4","1626"
"Jason Lane","Astros","69","20","4","10","10","12",".290",".911","0.3","1","1397"
"Brandon Larson","Reds","51","14","4","13","6","10",".275",".911","0.3","1","336"
