"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Guillermo Mota","Expos","1","1","1","3","0","0","1.000","5.000","0.1","0","1467"
"Julio Santana","Devil Rays","1","1","0","1","0","0","1.000","2.000","0.1","0","496"
"Josias Manzanillo","Mets","1","1","0","0","0","0","1.000","2.000","0.1","0","996"
"Rich Rodriguez","Giants","1","1","0","1","0","0","1.000","2.000","0.1","0","1276"
"Danny Klassen","Diamondbacks","1","1","0","0","0","0","1.000","2.000","0.0","0","1455"
"Jeff Kubenka","Dodgers","1","1","0","0","0","0","1.000","2.000","0.1","0","1007189"
"Steve Montgomery","Phillies","1","1","0","0","0","0","1.000","2.000","0.1","0","1009074"
"Dwight Gooden","Indians","2","1","1","2","1","1",".500","2.667","0.2","0","1004852"
"James Baldwin","White Sox","2","1","0","1","0","1",".500","2.000","0.1","0","1064"
"Vic Darensbourg","Marlins","0","0","0","0","1","0",".000","1.000","0.0","0","516"
"Jim Dougherty","Pirates","0","0","0","0","1","0",".000","1.000","0.0","0","1003429"
"Mike Duvall","Devil Rays","0","0","0","0","1","0",".000","1.000","0.0","0","1003603"
"Gregg Olson","Diamondbacks","0","0","0","0","1","0",".000","1.000","0.0","0","1009791"
"Jeff Wallace","Pirates","0","0","0","0","1","0",".000","1.000","0.0","0","1013550"
"Bryan Ward","White Sox","0","0","0","0","1","0",".000","1.000","0.0","0","1013603"
"Curtis Leskanic","Rockies","4","2","1","3","0","2",".500","1.750","0.2","0","694"
"Tim Byrdak","Royals","2","1","0","0","0","0",".500","1.500","0.1","0","1995"
"Mike Kelly","Rockies","2","1","0","1","0","0",".500","1.500","0.0","0","1006809"
"Mickey Callaway","Devil Rays","3","2","0","1","0","0",".667","1.333","0.1","0","7"
"Brad Woodall","Cubs","2","1","0","0","2","0",".500","1.250","0.1","0","1014206"
"Felix Rodriguez","Giants","6","2","1","3","0","1",".333","1.429","0.3","0","1127"
"Edwin Diaz","Diamondbacks","5","2","0","1","3","1",".400","1.425","0.2","0","1003266"
"Mike Colangelo","Angels","2","1","0","0","1","0",".500","1.167","0.1","0","907"
"Jamie Moyer","Mariners","2","1","0","0","1","1",".500","1.167","0.1","0","1091"
"Jeff Weaver","Tigers","4","2","0","0","0","1",".500","1.250","0.1","0","503"
"Wendell Magee","Phillies","14","5","2","5","1","4",".357","1.257","0.3","0","477"
"Jay Canizaro","Giants","18","8","1","9","1","2",".444","1.196","0.3","1","722"
"Jose Macias","Tigers","4","1","1","2","0","1",".250","1.250","0.2","0","476"
"Larry Walker","Rockies","438","166","37","115","57","52",".379","1.168","4.7","11","455"
"Darryl Strawberry","Yankees","49","16","3","6","17","16",".327","1.112","0.8","2","1012606"
"Kevin Brown","Blue Jays","9","4","0","1","0","3",".444","1.111","0.1","0","178"
"Ivan Cruz","Pirates","10","4","1","2","0","2",".400","1.100","0.1","0","1596"
"Mark Quinn","Royals","60","20","6","18","4","11",".333","1.118","0.7","1","621"
"Manny Ramirez","Indians","522","174","44","165","96","131",".333","1.105","7.5","2","210"
"Mark McGwire","Cardinals","521","145","65","147","133","141",".278","1.120","6.0","0","1008559"
"Felix Heredia","Cubs","4","2","0","1","0","0",".500","1.000","0.1","0","1304"
"Mark Langston","Indians","2","1","0","0","0","1",".500","1.000","0.0","0","1007323"
"Dan Perkins","Twins","2","1","0","0","0","1",".500","1.000","0.0","0","1010194"
"Mike Simms","Rangers","2","1","0","0","0","1",".500","1.000","0.0","0","1011987"
"Mark Sweeney","Reds","31","11","2","7","4","9",".355","1.074","0.4","0","1408"
"Chipper Jones","Braves","567","181","45","110","126","94",".319","1.074","7.3","25","97"
"Jeff Bagwell","Astros","562","171","42","126","149","127",".304","1.045","7.8","30","547"
"D'Angelo Jimenez","Yankees","20","8","0","4","3","4",".400",".978","0.3","0","1038"
"Rafael Palmeiro","Rangers","565","183","47","148","97","69",".324","1.050","5.4","2","1266"
"Rodney Myers","Cubs","7","3","0","1","0","2",".429","1.000","0.1","0","1511"
"Nomar Garciaparra","Red Sox","532","190","27","104","51","39",".357","1.022","6.3","14","190"
"Edgar Martinez","Mariners","502","169","24","86","97","99",".337","1.001","5.3","7","1086"
"Brian Giles","Pirates","521","164","39","115","95","80",".315","1.032","6.7","6","990"
"David Dellucci","Diamondbacks","109","43","1","15","11","24",".394",".968","1.0","2","1402"
"Erubiel Durazo","Diamondbacks","155","51","11","30","26","43",".329","1.015","1.6","1","1413"
"Bobby Abreu","Phillies","546","183","20","93","109","113",".335",".995","6.3","27","945"
"Eduardo Perez","Cardinals","32","11","1","9","7","6",".344",".962","0.5","0","1409"
"Derek Jeter","Yankees","627","219","24","102","91","116",".349",".989","7.4","19","826"
"Ben Petrick","Rockies","62","20","4","12","10","13",".323",".981","0.0","1","1471"
"Terry Shumpert","Rockies","262","91","10","37","31","41",".347",".997","2.2","14","449"
"Jason Giambi","Athletics","575","181","33","123","105","106",".315",".975","5.2","1","818"
"John Jaha","Athletics","457","126","35","111","101","129",".276",".970","4.1","2","1006336"
"Howard Battle","Braves","17","6","1","5","2","3",".353",".950","0.3","0","1000674"
"Steve Sparks","Angels","3","1","0","2","0","1",".333","1.000","0.1","0","499"
"Trevor Hoffman","Padres","3","1","0","2","0","0",".333","1.000","0.1","0","1035"
"David Cone","Yankees","3","1","0","1","0","0",".333","1.000","0.1","0","1680"
"Bernie Williams","Yankees","591","202","25","115","100","95",".342",".971","4.9","9","857"
"Barry Bonds","Giants","355","93","34","83","73","62",".262","1.006","3.3","15","1109"
"Todd Helton","Rockies","578","185","35","113","68","77",".320",".981","3.0","7","432"
"Sammy Sosa","Cubs","625","180","63","141","78","171",".288","1.002","5.3","7","302"
"Jim Thome","Indians","494","137","33","108","127","171",".277",".967","4.2","0","409"
"Roberto Alomar","Indians","563","182","24","120","99","96",".323",".955","7.3","37","860"
"Armando Rios","Giants","150","49","7","29","24","35",".327",".947","1.6","7","1006"
"Shawn Green","Blue Jays","614","190","42","123","66","117",".309",".972","6.0","20","651"
