"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Scott Munter","Giants","1","1","0","1","0","0","1.000","3.000","0.1","0","3470"
"Bob Howry","Cubs","1","1","0","0","0","0","1.000","2.000","0.1","0","237"
"Will Ohman","Cubs","1","1","0","0","0","0","1.000","2.000","0.1","0","296"
"Scott Linebrink","Padres","1","1","0","0","0","0","1.000","2.000","0.1","0","564"
"Bruce Chen","Orioles","1","1","0","0","0","0","1.000","2.000","0.1","0","769"
"Javier Vazquez","White Sox","1","1","0","0","0","0","1.000","2.000","0.1","0","801"
"Travis Hughes","Nationals","1","1","0","0","0","0","1.000","2.000","0.1","0","2045"
"Ryan Klesko","Padres","4","3","0","2","2","0",".750","1.833","0.2","0","1041"
"John Rheinecker","Rangers","0","0","0","0","0","0",".000","1.000","0.0","0","2165"
"Tyler Walker","- - -","0","0","0","0","1","0",".000","1.000","0.0","0","901"
"Brandon Lyon","Diamondbacks","0","0","0","0","1","0",".000","1.000","0.0","0","1312"
"Adam Wainwright","Cardinals","6","3","1","1","0","0",".500","1.667","0.3","0","2233"
"Sun-Woo Kim","- - -","2","1","0","0","0","0",".500","1.500","0.1","0","197"
"Braden Looper","Cardinals","2","1","0","0","0","0",".500","1.500","0.1","0","526"
"Robby Hammock","Diamondbacks","2","1","0","0","0","0",".500","1.500","0.1","0","1686"
"Einar Diaz","Dodgers","3","2","0","0","0","0",".667","1.333","0.1","0","378"
"Oswaldo Navarro","Mariners","3","2","0","0","0","1",".667","1.333","0.1","0","3868"
"Chad Santos","Giants","7","3","1","2","1","2",".429","1.357","0.1","0","2657"
"Josh Beckett","Red Sox","7","3","1","3","0","2",".429","1.286","0.2","0","510"
"Eric Stults","Dodgers","5","3","0","0","0","1",".600","1.200","0.2","0","8011"
"Joaquin Arias","Rangers","11","6","0","1","1","0",".545","1.220","0.3","0","3817"
"Jake Westbrook","Indians","4","2","0","1","0","1",".500","1.250","0.2","0","412"
"Kerry Wood","Cubs","6","3","0","2","0","0",".500","1.167","0.2","0","304"
"Jeff Baker","Rockies","57","21","5","21","1","14",".368","1.204","0.9","2","2073"
"Beltran Perez","Nationals","6","3","0","0","1","2",".500","1.071","0.2","0","2116"
"Jason Wood","Marlins","13","6","0","1","1","2",".462","1.115","0.3","1","1999"
"Charlton Jimerson","Astros","6","2","1","1","0","3",".333","1.167","0.1","2","2171"
"Ryan Vogelsong","Pirates","3","1","0","0","2","2",".333",".933","0.1","0","1011"
"Travis Hafner","Indians","454","140","42","117","100","111",".308","1.097","6.0","0","1573"
"Albert Pujols","Cardinals","535","177","49","137","92","50",".331","1.102","8.1","7","1177"
"Curt Schilling","Red Sox","2","1","0","0","0","1",".500","1.000","0.0","0","73"
"Jose Garcia","Marlins","2","1","0","0","0","1",".500","1.000","0.0","0","3727"
"Brad Thompson","Cardinals","2","1","0","0","0","1",".500","1.000","0.0","0","4911"
"Tim Stauffer","Padres","2","1","0","0","0","1",".500","1.000","0.0","0","6432"
"Ramon Ramirez","Rockies","4","2","0","0","0","2",".500","1.000","0.1","0","7986"
"Luke Scott","Astros","214","72","10","37","30","43",".336","1.047","2.9","2","3469"
"Fred Lewis","Giants","11","5","0","2","0","3",".455","1.000","0.2","0","4693"
"Ryan Howard","Phillies","581","182","58","149","108","181",".313","1.084","5.9","0","2154"
"Manny Ramirez","Red Sox","449","144","35","102","100","102",".321","1.058","2.9","0","210"
