"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Danys Baez","Orioles","1","1","0","0","0","0","1.000","2.000","0.1","0","367"
"Edgar Gonzalez","Athletics","2","2","0","0","0","0","1.000","2.000","0.1","0","1727"
"Osiris Matos","Giants","1","1","0","1","0","0","1.000","2.000","0.1","0","4100"
"Dave Davidson","Marlins","1","1","0","0","0","0","1.000","2.000","0.1","0","4929"
"Carlos Corporan","Brewers","1","1","0","0","0","0","1.000","2.000","0.0","0","5587"
"Bruce Chen","Royals","1","1","0","0","1","0","1.000","2.000","0.1","0","769"
"Adam Eaton","- - -","0","0","0","1","1","0",".000","1.000","0.0","0","1029"
"Pedro Feliciano","Mets","0","0","0","0","1","0",".000","1.000","0.0","0","1601"
"Bobby Keppel","Twins","0","0","0","0","1","0",".000","1.000","0.0","0","2229"
"Hayden Penn","Marlins","0","0","0","0","1","0",".000","1.000","0.1","0","4893"
"Dusty Brown","Red Sox","3","1","1","1","1","0",".333","1.833","0.2","0","3420"
"Paul Hoover","Phillies","4","3","0","1","0","1",".750","1.500","0.1","0","1212"
"Wilkin Castillo","Reds","3","2","0","1","0","0",".667","1.333","0.1","0","5124"
"Luis Durango","Padres","11","6","0","0","2","2",".545","1.161","0.3","2","6533"
"Mark Buehrle","White Sox","4","1","1","1","0","1",".250","1.250","0.1","0","225"
"Juan Francisco","Reds","21","9","1","7","3","7",".429","1.139","0.5","0","6978"
"Jonathan Van Every","Red Sox","11","4","1","3","2","5",".364","1.098","0.2","0","3409"
"Wilkin Ramirez","Tigers","11","4","1","3","1","3",".364","1.203","0.1","0","5219"
"Tim Wakefield","Red Sox","2","1","0","0","0","1",".500","1.000","0.0","0","219"
"Will Ohman","Dodgers","2","1","0","1","0","1",".500","1.000","0.1","0","296"
"Jeremy Affeldt","Giants","2","1","0","0","0","0",".500","1.000","0.0","0","583"
"Justin Huber","Twins","2","1","0","0","0","0",".500","1.000","-0.1","0","3147"
"Tim Wood","Marlins","2","1","0","0","0","0",".500","1.000","0.0","0","3775"
"Kevin Richardson","Rangers","6","3","0","0","0","2",".500","1.000","0.1","0","4852"
"Trevor Cahill","Athletics","2","1","0","0","0","0",".500","1.000","0.0","0","6249"
"Albert Pujols","Cardinals","568","186","47","135","115","64",".327","1.101","8.4","16","1177"
"Joe Mauer","Twins","523","191","28","96","76","63",".365","1.031","7.6","4","1857"
"Tim Hudson","Braves","12","4","1","2","2","1",".333","1.012","0.3","0","921"
"Randy Ruiz","Blue Jays","115","36","10","17","10","35",".313","1.019","1.0","1","2761"
"Andy Tracy","Phillies","12","5","0","1","0","3",".417","1.000","0.1","0","2024"
"Juan Miranda","Yankees","9","3","1","3","0","4",".333","1.000","0.1","0","7783"
"Prince Fielder","Brewers","591","177","46","141","110","138",".299","1.014","5.9","2","4613"
"Jeff Fulchino","Astros","3","1","0","0","0","0",".333","1.000","0.1","0","3532"
"Joey Votto","Reds","469","151","25","84","70","106",".322",".981","4.6","4","4314"
"Aaron Bates","Red Sox","11","4","0","2","1","4",".364",".962","0.0","0","2777"
"Kevin Youkilis","Red Sox","491","150","27","94","77","125",".305",".961","5.9","7","1935"
"Derrek Lee","Cubs","532","163","35","111","76","109",".306",".972","5.2","1","525"
"Brett Hayes","Marlins","11","3","1","2","0","4",".273",".970","0.1","0","4293"
"Alex Avila","Tigers","61","17","5","14","10","18",".279",".965","0.7","0","7476"
"Ben Zobrist","Rays","501","149","27","91","91","104",".297",".948","8.6","17","7435"
"Hanley Ramirez","Marlins","576","197","24","106","61","101",".342",".954","7.1","27","8001"
"Josh Beckett","Red Sox","5","1","1","1","0","3",".200","1.000","0.1","0","510"
"Jeff Samardzija","Cubs","5","1","1","1","0","1",".200","1.000","0.1","0","3254"
"Adrian Gonzalez","Padres","552","153","40","99","119","109",".277",".958","5.8","1","1908"
"Ryan Braun","Brewers","635","203","32","114","57","121",".320",".937","5.1","20","3410"
"Mark Teixeira","Yankees","609","178","39","122","81","114",".292",".948","5.1","2","1281"
"Miguel Cabrera","Tigers","611","198","34","103","68","107",".324",".942","5.0","6","1744"
"Alex Rodriguez","Yankees","444","127","30","100","80","97",".286",".933","4.0","14","1274"
"Saul Rivera","Nationals","3","1","0","0","1","0",".333",".833","0.1","0","2027"
"Pablo Sandoval","Giants","572","189","25","90","52","83",".330",".943","5.2","5","5409"
"Manny Ramirez","Dodgers","352","102","19","63","71","81",".290",".949","2.5","0","210"
"Adam Lind","Blue Jays","587","179","35","114","58","110",".305",".932","3.3","1","8027"
"Adam Dunn","Nationals","546","146","38","105","116","177",".267",".928","1.1","0","319"
"Jason Bay","Red Sox","531","142","36","119","94","162",".267",".921","4.6","13","1717"
"Troy Tulowitzki","Rockies","543","161","32","92","73","112",".297",".930","5.4","20","3531"
"Carlos Delgado","Mets","94","28","4","23","12","20",".298",".914","0.4","0","1297"
"Chase Utley","Phillies","571","161","31","93","88","110",".282",".905","8.2","23","1679"
"J.D. Drew","Red Sox","452","126","24","68","82","109",".279",".914","4.8","2","1152"
"Todd Helton","Rockies","544","177","15","86","89","73",".325",".904","2.7","0","432"
"Garrett Jones","Pirates","314","92","21","44","40","76",".293",".938","2.7","10","2714"
"Roger Bernadina","Nationals","4","1","0","0","1","1",".250",".900","0.1","1","6421"
"Carlos Beltran","Mets","308","100","10","48","47","43",".325",".915","2.9","11","589"
"Aramis Ramirez","Cubs","306","97","15","65","28","43",".317",".905","2.1","2","1002"
"Ryan Howard","Phillies","616","172","45","141","75","186",".279",".931","4.5","8","2154"
"Rusty Ryal","Diamondbacks","59","16","3","9","6","21",".271",".946","0.6","0","9698"
"Matt Holliday","- - -","581","182","24","109","72","101",".313",".909","5.4","14","1873"
"Jarrett Hoffpauir","Cardinals","12","3","0","2","4","2",".250",".854","0.2","0","7554"
"Mike Carp","Mariners","54","17","1","5","8","10",".315",".878","0.6","0","7480"
"Lance Berkman","Astros","460","126","25","80","97","98",".274",".907","2.7","7","548"
"Brad Hawpe","Rockies","501","143","23","86","79","145",".285",".903","1.2","1","1885"
"Kendrys Morales","Angels","566","173","34","108","46","117",".306",".924","3.7","3","8610"
"David Ross","Braves","128","35","7","20","21","39",".273",".888","2.0","0","1551"
"Michael Young","Rangers","541","174","22","68","47","90",".322",".892","2.6","8","1286"
"Jason Kubel","Twins","514","154","28","103","56","106",".300",".907","2.3","1","2161"
"Justin Upton","Diamondbacks","526","158","26","86","55","137",".300",".899","4.9","20","5222"
"Derek Jeter","Yankees","634","212","18","66","72","90",".334",".871","6.6","30","826"
"Matt Diaz","Braves","371","116","13","58","35","90",".313",".878","2.2","12","1771"
"Shin-Soo Choo","Indians","583","175","20","86","78","151",".300",".883","5.0","21","3174"
"Jason Bartlett","Rays","500","160","14","66","54","89",".320",".879","5.2","30","8219"
"Seth Smith","Rockies","335","98","15","55","46","67",".293",".889","2.8","4","7331"
