"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Eddie Rogers","Orioles","1","1","1","2","0","0","1.000","5.000","0.0","0","1621"
"Jason Johnson","Tigers","2","1","1","1","0","0",".500","2.500","0.1","0","147"
"Zack Greinke","Royals","2","1","1","1","0","0",".500","2.500","0.1","0","1943"
"Matt Wise","Brewers","1","1","0","1","0","0","1.000","2.000","0.1","0","42"
"Adam Bernero","Braves","1","1","0","0","0","0","1.000","2.000","0.1","0","460"
"Cliff Politte","White Sox","1","1","0","1","0","0","1.000","2.000","0.1","0","967"
"Cliff Bartosh","Cubs","1","1","0","0","0","0","1.000","2.000","0.1","0","1871"
"Chuck James","Braves","1","1","0","1","0","0","1.000","2.000","0.1","0","4886"
"Esteban German","Rangers","4","3","0","1","0","1",".750","1.750","0.1","2","1449"
"Adam Greenberg","Cubs","0","0","0","0","0","0",".000","1.000","0.0","0","4647"
"Brandon Duckworth","Astros","3","2","0","0","0","0",".667","1.667","0.1","0","954"
"Jermaine Clark","Athletics","0","0","0","0","1","0",".000","1.000","0.0","0","1664"
"Kevin Brown","Yankees","2","1","0","0","0","1",".500","1.500","0.1","0","642"
"Dae-Sung Koo","Mets","2","1","0","0","0","1",".500","1.500","0.1","0","8619"
"Wade Miller","Red Sox","3","2","0","0","0","1",".667","1.333","0.1","0","568"
"Rick Short","Nationals","15","6","2","4","1","1",".400","1.404","0.3","0","2263"
"CC Sabathia","Indians","6","2","1","4","0","1",".333","1.333","0.2","0","404"
"David McCarty","Red Sox","4","2","0","2","2","0",".500","1.167","0.2","0","1462"
"Kenny Rogers","Rangers","3","1","0","1","0","1",".333","1.333","0.1","0","1277"
"Mike Maroth","Tigers","4","2","0","1","1","2",".500","1.100","0.2","0","1508"
"Ronny Paulino","Pirates","4","2","0","0","1","0",".500","1.100","0.1","0","2129"
"Brendan Harris","Nationals","9","3","1","3","0","0",".333","1.178","0.0","0","2178"
"Mike Jacobs","Mets","100","31","11","23","10","22",".310","1.085","1.1","0","2231"
"Jon Garland","White Sox","2","1","0","1","0","1",".500","1.000","0.0","0","232"
"Brian Cooper","Giants","2","1","0","0","0","0",".500","1.000","0.0","0","1295"
"Salomon Torres","Pirates","4","2","0","0","0","2",".500","1.000","0.1","0","1628"
"Juan Padilla","Mets","2","1","0","0","0","1",".500","1.000","0.0","0","2532"
"Ryan Spilborghs","Rockies","4","2","0","1","0","1",".500","1.000","0.0","0","4521"
"Jeremy Accardo","Giants","2","1","0","0","0","0",".500","1.000","0.0","0","6428"
"Derrek Lee","Cubs","594","199","46","107","85","109",".335","1.080","7.0","15","525"
"Alex Rodriguez","Yankees","605","194","48","130","91","139",".321","1.031","9.1","21","1274"
"Albert Pujols","Cardinals","591","195","41","117","97","65",".330","1.039","7.7","16","1177"
"Joe Borchard","White Sox","12","5","0","0","0","4",".417","1.000","0.1","0","224"
"Dan Haren","Athletics","5","2","0","2","0","0",".400","1.000","0.1","0","1757"
"Mike Fontenot","Cubs","2","0","0","0","2","0",".000",".600","0.1","0","3912"
"Barry Bonds","Giants","42","12","5","10","9","6",".286","1.071","0.7","0","1109"
"Travis Hafner","Indians","486","148","33","108","79","123",".305","1.003","5.3","0","1573"
"Ryan Zimmerman","Nationals","58","23","0","6","3","12",".397",".988","0.7","0","4220"
"Jeremy Hermida","Marlins","41","12","4","11","6","12",".293","1.017","0.8","2","7208"
"Jason Giambi","Yankees","417","113","32","87","108","109",".271",".975","4.2","0","818"
"David Ortiz","Red Sox","601","180","47","148","102","124",".300","1.001","5.3","1","745"
"John-Ford Griffin","Blue Jays","13","4","1","6","0","4",".308","1.000","0.1","0","2182"
"Todd Helton","Rockies","509","163","20","79","106","80",".320",".979","4.1","3","432"
"Tony Clark","Diamondbacks","349","106","30","87","37","88",".304","1.003","3.1","0","182"
"Chipper Jones","Braves","358","106","21","72","72","56",".296",".968","4.9","5","97"
"Manny Ramirez","Red Sox","554","162","45","144","80","119",".292",".982","2.9","1","210"
"Carlos Delgado","Marlins","521","157","33","115","72","121",".301",".981","3.3","0","1297"
"Jason Bay","Pirates","599","183","32","101","95","142",".306",".961","5.7","21","1717"
"Rene Rivera","Mariners","48","19","1","6","1","11",".396",".929","0.4","0","3648"
"Mark Teixeira","Rangers","644","194","43","144","72","124",".301",".954","5.9","4","1281"
"Willy Aybar","Dodgers","86","28","1","10","18","11",".326",".901","1.0","3","2192"
"Glenn Williams","Twins","40","17","0","3","2","7",".425",".902","0.3","1","1991"
"J.D. Drew","Dodgers","252","72","15","36","51","50",".286",".931","2.7","1","1152"
"Morgan Ensberg","Astros","526","149","36","101","85","119",".283",".945","6.1","6","556"
"Miguel Cabrera","Marlins","613","198","33","116","64","125",".323",".947","5.1","1","1744"
"Ken Griffey Jr.","Reds","491","148","35","92","54","93",".301",".946","2.9","0","327"
"Lance Berkman","Astros","468","137","24","82","91","72",".293",".934","2.7","4","548"
"Bruce Chen","Orioles","3","1","0","0","1","0",".333",".833","0.1","0","769"
"Randy Messenger","Marlins","3","1","0","0","1","1",".333",".833","0.1","0","2658"
"Jason Bergmann","Nationals","3","1","0","0","1","0",".333",".833","0.1","0","4640"
"Jorge Piedra","Rockies","112","35","6","16","10","15",".313",".933","0.7","2","2211"
"Vladimir Guerrero","Angels","520","165","32","108","61","48",".317",".959","5.3","13","778"
"Moises Alou","Giants","427","137","19","63","56","43",".321",".918","3.3","5","261"
"David Wright","Mets","575","176","27","102","72","113",".306",".912","5.8","17","3787"
"Brian Giles","Padres","545","164","15","83","119","64",".301",".905","5.9","13","990"
"Adam Dunn","Reds","543","134","40","101","114","168",".247",".927","3.3","4","319"
"Aramis Ramirez","Cubs","463","140","31","92","35","60",".302",".926","2.9","0","1002"
"Ryan Shealy","Rockies","91","30","2","16","13","22",".330",".886","0.5","1","4443"
"Michael Young","Rangers","668","221","24","91","58","91",".331",".899","4.1","5","1286"
"Jim Edmonds","Cardinals","467","123","29","89","91","139",".263",".918","6.1","5","1153"
"Chase Utley","Phillies","543","158","28","105","69","109",".291",".915","7.2","16","1679"
"Richie Sexson","Mariners","558","147","39","121","89","167",".263",".910","4.0","1","709"
"Brian Roberts","Orioles","561","176","18","73","67","83",".314",".903","6.8","27","166"
"Jonny Gomes","Devil Rays","348","98","21","54","39","113",".282",".906","2.7","9","1845"
"Paul Konerko","White Sox","575","163","40","100","81","109",".283",".909","3.8","0","242"
"Nick Johnson","Nationals","453","131","15","74","80","87",".289",".887","4.2","3","828"
"Chad Tracy","Diamondbacks","503","155","27","72","35","78",".308",".911","3.9","3","1888"
"Ryan Howard","Phillies","312","90","22","63","33","100",".288",".924","2.2","0","2154"
"Pat Burrell","Phillies","562","158","32","117","99","160",".281",".892","3.2","0","949"
"Andruw Jones","Braves","586","154","51","128","64","112",".263",".922","7.9","5","96"
