"Name","Team","AB","H","HR","RBI","BB","SO","AVG","OPS","WAR","SB","playerid"
"Trey Moore","Braves","1","1","0","0","0","0","1.000","3.000","0.1","0","1009130"
"Gene Stechschulte","Cardinals","3","2","1","3","1","1",".667","2.417","0.2","0","1184"
"Pat Mahomes","Rangers","1","1","0","0","0","0","1.000","2.000","0.1","0","291"
"Charles Nagy","Indians","1","1","0","0","0","0","1.000","2.000","0.1","0","397"
"Matt Walbeck","Phillies","1","1","0","0","0","0","1.000","2.000","0.0","0","501"
"Juan Rincon","Twins","1","1","0","0","0","0","1.000","2.000","0.1","0","752"
"Manny Aybar","Cubs","3","3","0","0","0","0","1.000","2.000","0.2","0","1107"
"Joe Davenport","Rockies","1","1","0","0","0","0","1.000","2.000","0.1","0","1003018"
"Wayne Gomes","Phillies","1","1","0","1","1","0","1.000","2.000","0.1","0","191"
"Scott Schoeneweis","Angels","0","0","0","0","2","0",".000","1.000","0.1","0","33"
"Mike Morgan","Diamondbacks","0","0","0","0","1","0",".000","1.000","0.0","0","67"
"Tom Davey","Padres","0","0","0","0","1","0",".000","1.000","0.0","0","1026"
"Nick Bierbrodt","Diamondbacks","6","4","0","0","2","0",".667","1.583","0.4","0","1194"
"J.C. Romero","Twins","2","1","0","0","0","0",".500","1.500","0.1","0","754"
"Yorvit Torrealba","Giants","4","2","0","2","0","0",".500","1.500","0.1","0","1135"
"Jarrod Washburn","Angels","5","3","0","0","1","2",".600","1.267","0.2","0","40"
"Barry Bonds","Giants","476","156","73","137","177","93",".328","1.379","12.5","13","1109"
"Erick Almonte","Yankees","4","2","0","0","0","1",".500","1.250","0.1","2","808"
"Andy Ashby","Dodgers","2","1","0","1","1","0",".500","1.167","0.2","0","637"
"Jack Cust","Diamondbacks","2","1","0","0","1","0",".500","1.167","0.1","0","1564"
"Chris Michalak","Blue Jays","3","1","0","0","0","1",".333","1.333","0.1","0","1415"
"Tim Bogar","Dodgers","15","5","2","2","2","1",".333","1.278","0.3","0","1001120"
"Brandon Berger","Royals","16","5","2","2","2","2",".313","1.264","0.3","0","590"
"Matthew LeCroy","Twins","40","17","3","12","0","8",".425","1.204","0.6","0","1456"
"Danny Graves","Reds","4","1","1","2","0","2",".250","1.250","0.1","0","326"
"Matt Blank","Expos","8","4","0","1","0","2",".500","1.125","0.2","0","1001053"
