date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/11/2017,PHI,NYM,6,7,-114,+105
08/11/2017,NYY,BOS,5,4,-124,+115
08/11/2017,TOR,PIT,2,4,-140,+129
08/11/2017,TB,CLE,0,5,+112,-121
08/11/2017,MIA,COL,6,3,+102,-110
08/11/2017,DET,MIN,4,9,-100,-108
08/11/2017,TEX,HOU,6,4,+106,-115
08/11/2017,MIL,CIN,10,11,-183,+168
08/11/2017,CWS,KC,6,3,+116,-126
08/11/2017,STL,ATL,8,5,-160,+147
08/11/2017,ARI,CHC,3,8,-114,+105
08/11/2017,OAK,BAL,5,4,+108,-117
08/11/2017,LAD,SD,3,4,-270,+245
08/11/2017,SEA,LAA,5,6,-135,+125
