date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/30/2017,PHI,ATL,1,9,+100,-108
08/30/2017,NYY,CLE,1,2,-133,+123
08/30/2017,MIL,STL,6,5,+104,-113
08/30/2017,BAL,SEA,8,7,-125,+115
08/30/2017,COL,DET,2,6,-152,+140
08/30/2017,PHI,ATL,2,5,-102,-106
08/30/2017,WSH,MIA,4,0,-213,+195
08/30/2017,NYY,CLE,4,9,-170,+156
08/30/2017,TOR,BOS,1,7,+126,-137
08/30/2017,HOU,TEX,1,8,-224,+205
08/30/2017,CIN,NYM,0,2,-163,+150
08/30/2017,CHC,PIT,17,3,-193,+177
08/30/2017,MIN,CWS,11,1,-267,+242
08/30/2017,KC,TB,3,5,-128,+118
08/30/2017,SD,SF,5,0,-153,+141
08/30/2017,ARI,LAD,6,4,+115,-125
08/30/2017,LAA,OAK,10,8,-147,+136
