date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/19/2017,CHC,TOR,4,3,-240,+219
08/19/2017,PIT,STL,6,4,-101,-107
08/19/2017,DET,LAD,0,3,+130,-141
08/19/2017,TB,SEA,6,7,-113,+104
08/19/2017,BAL,LAA,1,5,-156,+144
08/19/2017,HOU,OAK,3,0,-156,+144
08/19/2017,NYM,MIA,8,1,-108,+100
08/19/2017,ATL,CIN,8,11,-153,+141
08/19/2017,MIN,ARI,5,0,+126,-137
08/19/2017,BOS,NYY,3,4,-260,+236
08/19/2017,KC,CLE,0,5,+135,-146
08/19/2017,TEX,CWS,17,7,-230,+210
08/19/2017,COL,MIL,3,6,-127,+117
08/19/2017,SD,WSH,3,1,+143,-155
08/19/2017,SF,PHI,9,12,-137,+126
