date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/13/2017,WSH,SF,2,4,-145,+134
08/13/2017,TOR,PIT,7,1,-104,-104
08/13/2017,MIA,COL,5,3,+100,-108
08/13/2017,DET,MIN,4,6,+112,-121
08/13/2017,TB,CLE,3,4,+151,-164
08/13/2017,PHI,NYM,2,6,+101,-109
08/13/2017,CWS,KC,6,14,+123,-133
08/13/2017,MIL,CIN,7,4,-117,+108
08/13/2017,STL,ATL,3,6,-187,+172
08/13/2017,TEX,HOU,1,2,+125,-135
08/13/2017,OAK,BAL,9,3,+101,-109
08/13/2017,LAD,SD,6,4,-274,+248
08/13/2017,SEA,LAA,2,4,-129,+119
08/13/2017,ARI,CHC,2,7,-106,-102
08/13/2017,WSH,SF,6,2,-271,+246
08/13/2017,NYY,BOS,2,3,+138,-150
