date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/02/2017,NYY,DET,0,2,-265,+241
08/02/2017,CWS,TOR,1,5,+194,-212
08/02/2017,SD,MIN,2,5,-108,-100
08/02/2017,BAL,KC,6,0,-140,+129
08/02/2017,PIT,CIN,2,5,-166,+153
08/02/2017,MIA,WSH,7,0,-105,-103
08/02/2017,ATL,LAD,5,3,+153,-166
08/02/2017,CHC,ARI,0,3,-148,+136
08/02/2017,TEX,SEA,5,1,-113,+104
08/02/2017,MIL,STL,4,5,-113,+104
08/02/2017,HOU,TB,0,3,-208,+190
08/02/2017,COL,NYM,5,10,-128,+118
08/02/2017,LAA,PHI,7,0,-220,+201
08/02/2017,SF,OAK,1,6,-145,+134
