date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/06/2017,CLE,NYY,1,8,-120,+111
08/06/2017,CIN,STL,4,13,-121,+112
08/06/2017,TB,MIL,2,1,-170,+156
08/06/2017,ATL,MIA,1,4,-138,+127
08/06/2017,BOS,CWS,6,3,-205,+188
08/06/2017,BAL,DET,12,3,-153,+141
08/06/2017,PIT,SD,5,4,-188,+173
08/06/2017,MIN,TEX,6,5,-139,+128
08/06/2017,HOU,TOR,7,6,-105,-103
08/06/2017,KC,SEA,7,8,-134,+124
08/06/2017,CHC,WSH,4,9,-190,+174
08/06/2017,COL,PHI,2,3,-110,+102
08/06/2017,LAA,OAK,10,11,-133,+123
08/06/2017,SF,ARI,6,3,+101,-109
08/06/2017,KC,SEA,9,1,-115,+106
08/06/2017,NYM,LAD,0,8,+150,-163
