date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/18/2017,CHC,TOR,7,4,-172,+158
08/18/2017,BAL,LAA,9,7,-123,+114
08/18/2017,PIT,STL,10,11,+117,-127
08/18/2017,TB,SEA,1,7,-130,+120
08/18/2017,NYM,MIA,1,3,-104,-104
08/18/2017,BOS,NYY,9,6,-135,+125
08/18/2017,DET,LAD,5,8,+200,-219
08/18/2017,ATL,CIN,3,5,-117,+108
08/18/2017,TEX,CWS,3,4,-253,+230
08/18/2017,HOU,OAK,3,1,-200,+183
08/18/2017,MIN,ARI,10,3,-101,-107
08/18/2017,KC,CLE,1,10,+179,-195
08/18/2017,COL,MIL,8,4,-180,+165
08/18/2017,SD,WSH,1,7,-108,+100
08/18/2017,SF,PHI,10,2,-175,+161
