date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
08/01/2017,NYY,DET,3,4,-170,+156
08/01/2017,PIT,CIN,1,9,-167,+154
08/01/2017,BAL,KC,7,2,-121,+112
08/01/2017,BOS,CLE,12,10,-160,+147
08/01/2017,MIA,WSH,7,6,+192,-210
08/01/2017,ATL,LAD,2,3,+164,-178
08/01/2017,MIL,STL,3,2,-113,+104
08/01/2017,CHC,ARI,16,4,-185,+170
08/01/2017,TEX,SEA,7,8,-104,-104
08/01/2017,HOU,TB,4,6,+105,-114
08/01/2017,CWS,TOR,4,8,+201,-220
08/01/2017,COL,NYM,5,4,-110,+102
08/01/2017,OAK,SF,4,10,-126,+116
08/01/2017,LAA,PHI,7,1,-125,+115
08/01/2017,SD,MIN,3,0,-104,-104
