date,homeTeam,awayTeam,homeScore,awayScore,homeLine,awayLine
05/09/2017,COL,CHC,10,4,+133,-144
05/09/2017,SD,TEX,0,11,+104,-113
05/09/2017,PHI,SEA,9,10,-115,+106
05/09/2017,BAL,WSH,5,4,+149,-162
05/09/2017,TOR,CLE,0,6,+160,-174
05/09/2017,MIA,STL,5,6,-115,+106
05/09/2017,CIN,NYY,5,3,-104,-104
05/09/2017,NYM,SF,6,1,-111,+103
05/09/2017,TB,KC,6,7,-166,+153
05/09/2017,MIL,BOS,11,7,+114,-123
05/09/2017,CWS,MIN,2,7,+102,-110
05/09/2017,HOU,ATL,8,3,-188,+173
05/09/2017,COL,CHC,1,8,+130,-141
05/09/2017,ARI,DET,3,7,-108,+100
05/09/2017,OAK,LAA,3,7,-143,+132
05/09/2017,LAD,PIT,4,3,-187,+172
